#asn|announced_prefixes|prepended_prefixes|region|country|as_type|prepend_percentage
23911|2|2|apnic|CN|education|100.00
2514|4|3|apnic|JP|isp|75.00
7514|1|1|apnic|JP|hosting|100.00
9607|1|1|apnic|JP|hosting|100.00
2527|2|2|apnic|JP|isp|100.00
9595|1|1|apnic|JP|business|100.00
271|12|7|arin|CA|education|58.33
8111|3|3|arin|CA|education|100.00
12008|71|1|arin|US|hosting|1.41
35994|124|124|arin|US|hosting|100.00
19604|1|1|arin|US|none|100.00
2560|1|1|arin|US|none|100.00
18703|1|1|arin|US|none|100.00
26062|1|1|arin|US|none|100.00
706|1|1|arin|US|business|100.00
278|4|1|lacnic|MX|education|25.00
14041|1|1|arin|US|education|100.00
14325|3|3|arin|US|isp|100.00
20080|2|1|arin|US|education|50.00
54728|2|2|arin|US|none|100.00
302|2|2|arin|US|education|100.00
3676|3|3|arin|US|education|100.00
198362|2|1|ripencc|GB|hosting|50.00
394337|1|1|arin|US|business|100.00
2381|2|2|arin|US|education|100.00
13|2|1|arin|US|government|50.00
12041|224|222|arin|CA|business|99.11
15135|17|1|arin|US|none|5.88
36619|10|10|arin|US|none|100.00
36621|13|13|arin|US|none|100.00
36629|7|7|arin|US|none|100.00
36616|1|1|arin|US|none|100.00
36630|1|1|arin|US|none|100.00
36626|1|1|arin|US|none|100.00
36625|1|1|arin|US|none|100.00
36620|1|1|arin|US|none|100.00
36617|1|1|arin|US|none|100.00
36631|1|1|arin|US|none|100.00
36627|1|1|arin|US|none|100.00
36624|1|1|arin|US|none|100.00
36622|1|1|arin|US|none|100.00
36632|1|1|arin|US|none|100.00
36618|1|1|arin|US|none|100.00
36623|1|1|arin|US|none|100.00
36628|1|1|arin|US|none|100.00
62604|2|1|arin|US|none|50.00
18531|1|1|arin|US|isp|100.00
18530|1|1|arin|US|hosting|100.00
852|18|15|arin|CA|isp|83.33
4436|5|2|arin|US|none|40.00
20940|301|276|ripencc|EU|hosting|91.69
34164|60|59|ripencc|GB|hosting|98.33
6453|18|18|arin|US|isp|100.00
