#asn|region|country|as_type|use_moreSpecific(yes;no)|announced_prefixes|moreSpecific_prefixes|moreSpecific_proportion_usage|announced_prefixes(list)
9498|apnic|IN|isp|yes|14|1|7.14|::/24,2404:a800::/32,2404:a800:b::/48,2404:a800:c::/48,2404:a800:d::/48,2404:a800:e::/48,2404:a800:2001::/48,2404:a800:3000::/48,2404:a800:3100::/48,2600:140f:b::/48,2600:140f:d::/48,2600:140f:e::/48,2600:1417:20::/48,2600:1417:2c::/48
6939|arin|US|isp|yes|13|1|7.69|2001::/32,2001:470::/32,2001:470:1a::/48,2001:470:20::/48,2001:49e8::/32,2400:7a00::/32,2403:ce00:c0da::/48,2600:3c01::/32,2600:7000::/24,2604:6700::/48,2604:a100::/32,2620:0:50c0::/48,2a00:15d0::/32
2500|apnic|JP|hosting|no|1|0|0.00|2001:200::/32
7660|apnic|JP|hosting|yes|5|1|20.00|2001:200:900::/40,2001:200:e000::/35,2001:200:e101::/48,2001:200:e103::/48,2001:200:e104::/48
7530|apnic|JP|hosting|no|2|0|0.00|2001:200:c00::/40,2405:f000::/32
23634|apnic|JP|business|no|1|0|0.00|2001:200:c000::/35
7472|apnic|SG|education|no|1|0|0.00|2001:208::/32
2914|arin|US|isp|no|7|0|0.00|2001:218::/32,2001:418::/32,2001:728::/32,2001:d38::/32,2402:f00::/32,2620:b3::/48,2804:8f8::/32
17832|apnic|KR|none|yes|59|2|3.39|2001:220::/35,2001:2b8::/32,2001:2b8:2::/48,2001:2b8:11::/48,2001:2b8:16::/48,2001:2b8:17::/48,2001:2b8:19::/48,2001:2b8:20::/48,2001:2b8:21::/48,2001:2b8:22::/48,2001:2b8:26::/48,2001:2b8:28::/48,2001:2b8:30::/48,2001:2b8:31::/48,2001:2b8:32::/48,2001:2b8:35::/48,2001:2b8:36::/48,2001:2b8:37::/48,2001:2b8:39::/48,2001:2b8:40::/48,2001:2b8:43::/48,2001:2b8:45::/48,2001:2b8:48::/48,2001:2b8:49::/48,2001:2b8:50::/48,2001:2b8:f2::/48,2001:2b8:200::/48,2001:7fa::/32,2001:ea0::/32,2001:eb8:ffff::/48,2001:ef0:4000::/34,2001:ef0:a000::/35,2001:ef8::/32,2001:44d0::/28,2400:3300::/32,2400:ab00::/32,2401:a000::/32,2401:a000:110::/48,2401:a000:116::/48,2401:a000:22b::/48,2401:a000:22c::/48,2402:1::/36,2402:5800::/32,2402:f400::/32,2403:3e00::/32,2403:6500::/32,2404:2300::/32,2405:3d00:200::/48,2405:3d00:201::/48,2405:3d00:202::/48,2405:3d00:224::/48,2405:3d00:5200::/48,2405:3d00:5201::/48,2405:3d00:5202::/48,2405:3d00:5224::/48,2406:6600::/32,2407:b20::/32,2407:3500::/32,2407:c000::/32
2497|apnic|JP|isp|no|6|0|0.00|2001:240::/32,2001:48b0::/32,2400:3980::/32,2400:6b00::/32,240a:71:8000::/36,240a:71:9000::/36
