#date|total_prefixes|removed_invalid_prefix|removed_invalid_lenght|removed_invalid_region
20140615|18714|35|37|839
20140715|19190|37|39|1263
20140815|19696|40|43|1312
20140915|20247|42|42|1366
20141015|20393|38|40|1436
20141115|21459|41|42|1628
20141215|21796|42|37|2355
20150115|22207|41|37|1719
20150215|22443|38|41|1610
20150315|23119|36|43|1683
20150415|23246|40|35|1834
20150515|23177|38|34|1933
20150615|23968|36|36|1641
20150715|24360|34|37|1743
20150815|24786|42|31|1816
20150915|25414|49|36|2147
20151015|26285|50|33|2166
20151115|26426|51|41|2386
20151215|27032|51|38|2554
20160115|27565|55|35|2467
20160215|28460|57|37|3196
20160315|30023|54|39|3718
20160415|30790|56|42|3903
20160515|31169|53|40|3936
20160615|32484|60|41|3984
20160715|33310|61|40|3963
20160815|34161|60|41|3931
20160915|34894|60|35|3375
20161015|35228|60|34|3799
20161115|35894|61|37|3282
20161215|36924|63|38|3292
20170115|37499|64|53|3327
20170215|38579|64|31|3229
20170315|39871|63|31|3505
20170415|40981|63|32|3472
20170515|41954|61|37|3554
20170615|42926|61|47|4746
20170715|45341|60|41|5096
20170815|45238|62|42|5558
20170915|46027|70|45|6028
20171015|45950|67|46|5935
20171115|47735|72|54|6219
20171215|47939|66|58|5948
20180115|49495|66|51|6435
20180215|51163|66|51|6573
20180315|60699|66|51|7612
20180415|52209|66|51|9874
20180515|53598|66|47|10029
20180615|54748|69|50|9871
20180715|57886|71|50|10460
20180815|58278|71|51|11288
20180915|59766|72|54|8816
20181015|61936|66|59|9335
20181115|63292|65|63|9577
20181215|65267|65|60|6548
20190115|65881|65|55|6855
20190215|67510|60|55|7010
20190315|68508|52|59|6433
20190415|70853|52|55|4580
20190515|72528|46|56|4794
20190615|73635|54|59|5080
20190715|75223|50|70|3777
20190815|78130|55|75|4494
20190915|80283|60|81|5003
20191015|81848|55|88|5052
20191115|83263|54|90|5311
20191215|84251|64|92|5385
20200115|85042|74|96|5678
20200215|86382|64|94|5530
20200315|87777|58|90|4291
20200415|90798|63|86|4565
20200515|93947|62|104|4435
20200615|97152|61|109|5752
20200715|98047|64|112|4110
20200815|99148|64|110|4014
20200915|104924|64|113|4134
20201015|106147|64|110|7439
20201115|108710|68|121|7377
20201215|111768|65|120|4821
20210115|117905|70|126|5237
20210215|118901|75|125|5714
20210315|122102|76|131|6153
20210415|129580|66|106|6250
20210515|134787|73|119|6533
20210615|144622|75|117|6808
20210715|145018|65|105|7100
20210815|149303|67|106|9766
20210915|152938|62|106|7146
20211015|153170|66|97|6946
20211115|153589|64|108|7408
20211215|154862|59|98|6795
20220115|157959|60|92|6683
20220215|160544|57|92|7395
20220315|163170|65|99|7436
20220415|166550|63|99|7527
20220515|166742|42|102|6403
20220615|167694|73|94|28676
20220715|171847|84|113|28801
20220815|175874|90|112|28663
20220915|177862|93|125|29206
20221015|177285|87|125|29081
20221115|179614|93|124|29514
20221215|183976|107|118|30375
20230115|185040|102|94|30505
20230215|191127|109|132|31654
20230315|194382|109|140|32001
20230415|194088|76|165|32465
20230515|199690|68|150|8453
20230615|204417|71|145|8011
20230715|208748|70|132|8423
20230815|213109|66|127|7856
20230915|219736|61|154|7758
20231015|220322|65|101|8216
20231115|219307|64|113|7921
20231215|219629|64|124|8291
20240115|221875|63|122|8449
20240215|219362|67|141|7927
20240315|222693|60|149|8296
20240415|230000|62|154|9229
20240515|234138|68|163|10170
20240615|228996|66|158|9739
