#as_origin|region|country|as_type|prefix01(neighbors_announced);prefix02(neighbors_announced);...
3|arin|US|education|2001:4830:2446::/48(6939,30071)
6|arin|US|business|2a02:6e80::/48(16128)
8|arin|US|education|2604:5e80::/32(4557,3356,2914)
9|arin|US|education|2607:fb28::/32(14877,5050)
12|arin|US|education|2607:f600::/32(3754,3356,6453)
13|arin|US|government|2001:480:30::/48(668);2001:500:1::/48(668)
14|arin|US|education|2001:18d8::/32(3754,174,3356)
16|arin|US|government|2620:83:8000::/48(293)
20|arin|US|education|2620:107:a000::/40(3754,4323)
22|arin|US|government|2001:480:10::/48(668);2001:480:560::/48(668)
24|arin|US|government|2001:4d0:108::/48(11537,6939)
25|arin|US|education|2607:f140::/32(2153,2152)
26|arin|US|education|2620:110:d000::/44(3754,174)
27|arin|US|education|2001:468:c01::/48(10886);2001:500:2d::/48(42,10886);2605:880::/32(10886);2620:50::/44(10886)
29|arin|US|education|2604:b200::/32(22742)
31|arin|US|education|2607:f520::/32(2152)
32|arin|US|education|2607:f6d0::/32(2153,46749)
34|arin|US|education|2604:580::/32(33287,174,33659)
35|arin|US|business|2620:0:240::/48(2914)
37|arin|US|government|2001:480:501::/48(668)
38|arin|US|education|2620:0:e00::/48(40387)
