#origin_as|region|country|as_type|use_selective|selective_prefixes|selective_neighbors|selective_proportion|median_intensity
1|arin|US|isp|True|9|6|1.00|0.17
2|arin|US|education|True|4|4|1.00|0.25
3|arin|US|education|True|41|10|1.00|0.30
4|arin|US|education|True|9|3|1.00|0.67
5|arin|US|none|True|2|2|1.00|0.50
6|arin|US|business|True|20|4|1.00|0.75
7|ripencc|EU|government|True|2|2|1.00|0.50
8|arin|US|education|True|10|5|1.00|0.80
9|arin|US|education|True|8|6|1.00|0.50
10|arin|US|none|False|0|0|0.00|1.00
12|arin|US|education|True|10|6|1.00|0.67
13|arin|US|government|False|0|0|0.00|1.00
14|arin|US|education|True|11|3|0.61|0.50
16|arin|US|government|False|0|0|0.00|1.00
17|arin|US|education|False|0|0|0.00|1.00
18|arin|US|education|True|3|1|0.11|1.00
19|arin|US|business|True|18|2|1.00|0.67
20|arin|US|education|True|1|1|0.00|1.00
21|arin|US|business|False|0|0|0.00|1.00
22|arin|US|government|False|0|0|0.00|1.00
24|arin|US|government|False|0|0|0.00|1.00
25|arin|US|education|False|0|0|0.00|1.00
26|arin|US|education|False|0|0|0.00|1.00
27|arin|US|education|True|5|2|1.00|0.67
29|arin|US|education|True|2|3|0.50|0.80
30|arin|US|education|False|0|0|0.00|1.00
31|arin|US|education|False|0|0|0.00|1.00
32|arin|US|education|False|0|0|0.00|1.00
33|arin|US|business|True|4|1|0.33|1.00
34|arin|US|education|True|4|5|1.00|0.80
37|arin|US|government|False|0|0|0.00|1.00
38|arin|US|education|False|0|0|0.00|1.00
41|arin|US|none|False|0|0|0.00|1.00
42|arin|US|hosting|True|169|81|1.00|0.17
43|arin|US|government|False|0|0|0.00|1.00
44|arin|US|government|False|0|0|0.00|1.00
45|arin|US|education|False|0|0|0.00|1.00
46|arin|US|education|True|3|2|0.01|1.00
47|arin|US|education|True|4|3|1.00|0.67
48|arin|US|government|False|0|0|0.00|1.00
49|arin|US|government|False|0|0|0.00|1.00
50|arin|US|education|True|9|3|1.00|0.67
52|arin|US|education|False|0|0|0.00|1.00
55|arin|US|education|True|10|5|1.00|0.80
57|arin|US|education|True|3|6|1.00|0.83
59|arin|US|education|False|0|0|0.00|1.00
62|arin|US|hosting|True|35|5|1.00|0.60
63|arin|US|education|False|0|0|0.00|1.00
67|arin|US|none|False|0|0|0.00|1.00
68|arin|US|education|False|0|0|0.00|1.00
70|arin|US|government|True|1|2|0.00|1.00
71|arin|US|none|True|33|4|0.50|1.00
72|arin|US|business|True|162|16|1.00|0.12
73|arin|US|education|False|0|0|0.00|1.00
74|arin|CA|none|False|0|0|0.00|1.00
77|arin|US|education|True|7|2|0.98|0.75
78|arin|US|isp|True|8|4|1.00|0.50
80|arin|US|business|False|0|0|0.00|1.00
81|arin|US|education|True|12|5|0.08|1.00
83|arin|US|none|False|0|0|0.00|1.00
84|arin|US|government|False|0|0|0.00|1.00
85|arin|US|business|True|22|2|0.83|0.50
87|arin|US|education|False|0|0|0.00|1.00
88|arin|US|education|False|0|0|0.00|1.00
89|arin|US|government|False|0|0|0.00|1.00
90|arin|US|none|False|0|0|0.00|1.00
91|arin|US|education|True|2|2|0.67|0.50
92|arin|US|education|False|0|0|0.00|1.00
97|arin|US|hosting|False|0|0|0.00|1.00
98|arin|US|education|False|0|0|0.00|1.00
100|arin|US|business|True|7|6|1.00|0.17
101|arin|US|education|True|7|12|1.00|0.83
102|arin|US|government|True|3|2|1.00|0.50
103|arin|US|education|True|20|3|0.45|1.00
104|arin|US|education|False|0|0|0.00|1.00
106|arin|US|business|False|0|0|0.00|1.00
109|arin|US|business|True|75|24|1.00|0.21
111|arin|US|education|True|20|4|1.00|0.50
112|arin|US|hosting|False|0|0|0.00|1.00
114|arin|US|none|False|0|0|0.00|1.00
116|arin|US|business|True|28|4|1.00|0.50
120|arin|US|none|True|3|2|1.00|0.50
122|arin|US|business|True|2|1|0.25|1.00
125|arin|US|business|True|38|4|1.00|0.50
127|arin|US|government|True|4|2|0.03|1.00
130|arin|US|none|False|0|0|0.00|1.00
131|arin|US|education|False|0|0|0.00|1.00
132|arin|US|none|False|0|0|0.00|1.00
137|ripencc|EU|education|False|0|0|0.00|1.00
138|arin|US|government|False|0|0|0.00|1.00
140|arin|US|none|False|0|0|0.00|1.00
144|arin|US|none|False|0|0|0.00|1.00
149|arin|US|government|False|0|0|0.00|1.00
151|arin|US|none|True|12|2|1.00|0.50
154|arin|US|none|False|0|0|0.00|1.00
156|arin|US|education|True|1|1|0.00|1.00
157|arin|US|business|True|13|4|1.00|0.25
158|arin|US|business|True|4|1|0.05|1.00
159|arin|US|education|True|4|1|0.01|1.00
160|arin|US|education|True|1|3|0.00|1.00
161|arin|US|business|False|0|0|0.00|1.00
166|arin|US|education|True|7|3|0.01|1.00
167|arin|US|education|True|15|1|0.00|1.00
173|apnic|JP|business|False|0|0|0.00|1.00
174|arin|US|isp|True|2587|50|1.00|0.84
186|arin|US|education|False|0|0|0.00|1.00
187|arin|US|hosting|False|0|0|0.00|1.00
188|arin|US|business|False|0|0|0.00|1.00
190|arin|US|government|False|0|0|0.00|1.00
194|arin|US|education|False|0|0|0.00|1.00
195|arin|US|education|True|1|1|0.00|1.00
196|arin|US|business|False|0|0|0.00|1.00
205|arin|US|education|False|0|0|0.00|1.00
206|arin|US|hosting|True|42|3|1.00|0.67
209|arin|US|isp|True|911|27|1.00|0.70
210|arin|US|education|True|22|3|0.37|1.00
213|arin|US|government|False|0|0|0.00|1.00
217|arin|US|education|False|0|0|0.00|1.00
220|arin|US|none|False|0|0|0.00|1.00
224|ripencc|NO|education|False|0|0|0.00|1.00
225|arin|US|education|True|5|1|0.00|1.00
226|arin|US|education|True|94|9|0.83|0.78
228|arin|US|government|False|0|0|0.00|1.00
229|arin|US|education|False|0|0|0.00|1.00
231|arin|US|education|False|0|0|0.00|1.00
234|arin|US|none|False|0|0|0.00|1.00
237|arin|US|education|True|52|10|1.00|0.80
239|arin|CA|education|False|0|0|0.00|1.00
243|arin|US|business|True|55|5|1.00|0.40
246|arin|US|none|False|0|0|0.00|1.00
250|ripencc|EU|hosting|True|2|3|0.43|1.00
251|ripencc|EU|none|True|46|4|1.00|0.93
252|arin|US|government|False|0|0|0.00|1.00
257|arin|US|government|False|0|0|0.00|1.00
260|arin|US|hosting|True|6|24|1.00|0.88
264|arin|US|education|True|16|2|1.00|0.50
268|arin|US|government|True|9|2|1.00|0.50
270|arin|US|government|False|0|0|0.00|1.00
271|arin|CA|education|True|50|5|0.99|0.60
273|arin|US|government|False|0|0|0.00|1.00
276|arin|US|education|False|0|0|0.00|1.00
278|lacnic|MX|education|True|87|7|0.99|0.43
283|arin|US|hosting|True|5|2|1.00|0.50
286|ripencc|EU|none|True|223|43|1.00|0.05
288|ripencc|EU|business|True|83|6|1.00|0.17
289|arin|US|government|False|0|0|0.00|1.00
291|arin|US|business|False|0|0|0.00|1.00
292|arin|US|business|False|0|0|0.00|1.00
293|arin|US|business|True|2|21|1.00|0.05
297|arin|US|government|True|12|10|0.24|1.00
299|arin|US|education|False|0|0|0.00|1.00
300|arin|US|government|False|0|0|0.00|1.00
