#date|total_ases|aspp_and_moreSpecific|aspp_and_selective|more_specific_and_selective|all_three|just_aspp|just_more_specific|just_selective
20140615|23108|3936|5919|7148|447|5951|2813|3861
20140715|22917|3786|6021|7090|828|6079|2411|4008
20140815|23057|3819|6025|7181|814|6051|2441|4050
20140915|23836|4067|6153|7459|401|5987|2979|3951
20141015|23995|4146|6216|7492|369|5981|3063|3961
20141115|24108|4149|6283|7532|436|6001|3005|4020
20141215|24317|4142|6335|7583|466|6134|2977|4032
20150115|24490|4185|6438|7661|533|6159|2962|4075
20150215|24609|4176|6426|7700|496|6186|2999|4112
20150315|24809|4234|6528|7715|425|6156|3110|4136
20150415|24992|4261|6575|7781|504|6287|3054|4150
20150515|25299|4348|6590|7911|380|6322|3226|4114
20150615|24882|4090|6570|7793|746|6455|2724|4190
20150715|25025|4102|6551|7864|704|6487|2778|4207
20150815|25716|4331|6556|8088|202|6313|3356|4188
20150915|25904|4396|6611|8153|228|6365|3373|4208
20151015|26019|4376|6623|8195|247|6423|3344|4240
20151115|25606|4215|6679|8108|752|6515|2810|4403
20151215|25829|4275|6723|8200|767|6562|2849|4452
20160115|26607|4546|6770|8453|252|6417|3489|4414
20160215|26883|4625|6934|8575|321|6490|3523|4424
20160315|27053|4661|7000|8691|439|6561|3437|4455
20160415|27296|4672|6987|8724|306|6572|3536|4489
20160515|27382|4716|7067|8774|340|6544|3552|4513
20160615|27642|4759|7146|8863|307|6589|3640|4539
20160715|27824|4803|7155|8920|319|6658|3638|4564
20160815|28037|4906|7280|9119|396|6626|3663|4561
20160915|28228|4913|7296|9147|353|6670|3689|4597
20161015|28544|5087|7525|9193|453|6905|3740|4480
20161115|28509|5058|7493|9249|443|6784|3735|4546
20161215|28557|5045|7464|9247|427|6763|3715|4607
20170115|28668|5073|7478|9325|422|6801|3760|4595
20170215|28741|5030|7582|9378|721|6962|3463|4694
20170315|29062|5211|7869|9529|881|7029|3469|4655
20170415|29069|5186|7797|9576|800|6880|3530|4760
20170515|29311|5272|7822|9647|786|6905|3584|4821
20170615|29496|5276|7872|9691|755|6952|3634|4849
20170715|29599|5304|7858|9724|749|7004|3645|4852
20170815|29845|5328|7884|9859|745|6979|3667|4952
20170915|30107|5402|7996|10115|785|7024|3728|4868
20171015|30388|5473|8063|10254|829|7099|3753|4910
20171115|30788|5605|8185|10492|905|7155|3796|4957
20171215|30862|5577|8191|10231|753|7242|3895|5022
20180115|30845|5593|8185|10195|763|7252|3904|5050
20180215|31186|5608|8235|10298|747|7394|3926|5071
20180315|31758|6021|8692|10582|1180|7659|3820|4984
20180415|31752|5713|8500|10793|932|7217|3863|5256
20180515|31880|5749|8500|10885|948|7314|3896|5224
20180615|32025|5841|8655|11067|1099|7264|3838|5234
20180715|32133|5844|8678|10966|909|7358|4001|5106
20180815|32393|5936|8804|11028|947|7358|4053|5214
20180915|32517|5987|8820|11079|985|7441|4035|5195
20181015|32696|5996|8887|11118|952|7463|4082|5218
20181115|33089|6131|9041|11139|927|7485|4208|5355
20181215|33237|6101|9017|11130|852|7567|4212|5338
20190115|33489|6105|9000|11168|716|7605|4341|5384
20190215|33636|6188|9095|11256|850|7702|4292|5387
20190315|33911|6221|9222|11308|871|7777|4310|5435
20190415|34176|6344|9313|11314|768|7935|4516|5322
20190515|34343|6441|9463|11408|910|7891|4460|5420
20190615|34521|6385|9384|11326|754|7977|4527|5484
20190715|34729|6446|9493|11415|762|8037|4576|5438
20190815|34986|6590|9607|11503|788|8039|4645|5468
20190915|35118|6573|9607|11590|770|7970|4663|5581
20191015|35471|6655|9758|11680|780|8005|4715|5648
20191115|35829|6776|9925|11826|773|8011|4813|5650
20191215|35770|6726|9763|11712|636|8032|4861|5670
20200115|35864|6703|9926|11868|913|8121|4655|5727
20200215|36042|6725|9953|11920|823|8156|4767|5701
20200315|36717|6929|10131|12193|701|8167|5033|5732
20200415|36967|7129|10356|12281|890|8270|5022|5733
20200515|37173|7132|10394|12300|814|8276|5097|5796
20200615|37363|7228|10465|12430|851|8327|5142|5757
20200715|37511|7280|10519|12523|896|8306|5131|5806
20200815|37806|7263|10606|12636|787|8294|5238|5819
20200915|38053|7347|10659|12769|789|8311|5293|5838
20201015|38194|7339|10690|12836|841|8411|5241|5841
20201115|38342|7430|10709|12805|784|8452|5361|5875
20201215|38709|7635|10922|13066|911|8437|5392|5863
20210115|38731|7577|10903|12928|939|8595|5313|5919
20210215|38824|7599|10840|13011|871|8567|5382|5931
20210315|39024|7709|11031|13120|998|8601|5359|5918
20210415|39276|7836|11171|13203|1120|8681|5359|5984
20210515|39348|7803|11153|13194|1080|8745|5352|5965
20210615|39486|7892|11234|13214|1099|8748|5393|5989
20210715|39447|7964|11326|13202|1169|8717|5377|5953
20210815|39705|8131|11531|13370|1358|8773|5351|5967
20210915|39943|8199|11679|13485|1361|8738|5405|5969
20211015|40157|8178|11743|13462|1428|8729|5294|6195
20211115|40153|8144|11674|13451|1321|8839|5373|6060
20211215|40172|8163|11690|13412|1321|8945|5370|5974
20220115|40454|8288|11948|13587|1489|8995|5370|5984
20220215|40384|8243|11952|13567|1641|9053|5178|6029
20220315|40532|8270|11944|13570|1534|9077|5288|6027
20220415|40900|8486|12145|13569|1652|9418|5319|5905
20220515|40701|8318|11901|13524|1461|9111|5360|6129
20220615|40763|8379|12128|13636|1601|9076|5329|6075
20220715|41095|8474|12226|13815|1650|9054|5371|6197
20220815|41015|8468|12212|13730|1591|9088|5420|6119
20220915|41458|8717|12562|13787|1815|9351|5404|6075
20221015|41086|8468|12319|13611|1555|9095|5455|6158
20221115|40997|8437|12190|13582|1541|9189|5434|6115
20221215|41080|8455|12150|13673|1505|9166|5451|6097
20230115|41124|8485|12237|13667|1543|9155|5438|6104
20230215|41155|8549|12272|13701|1640|9245|5397|6065
20230315|41122|8617|12367|13706|1668|9167|5440|6041
20230415|41305|8659|12451|13788|1753|9202|5374|6085
20230515|41306|8730|12552|13758|1829|9212|5379|6091
20230615|41428|8728|12533|13767|1803|9341|5402|6067
20230715|41226|8653|12517|13803|1831|9250|5352|6017
20230815|41796|8679|12686|13955|1992|9274|5234|6420
20230915|41748|8669|12775|14037|2250|9348|5022|6441
20231015|41825|8646|12722|14054|2188|9380|5046|6445
20231115|41834|8706|12759|13960|2170|9362|5066|6453
20231215|41707|8631|12695|13935|2124|9375|5089|6408
20240115|41753|8666|12693|13933|2134|9344|5084|6469
20240215|41515|8654|12652|13831|2049|9455|5120|6141
20240315|41856|8669|12745|13887|2104|9401|5083|6445
20240415|42021|8729|12861|14000|2241|9416|5017|6514
20240515|42121|8724|12872|13984|2254|9486|4995|6558
20240615|42364|8877|13156|13999|2448|9698|4933|6463
