#date|total_ases|aspp_and_moreSpecific|aspp_and_selective|more_specific_and_selective|all_three|just_aspp|just_more_specific|just_selective
20140615|23108|17.03|25.61|30.93|1.93|25.75|12.17|16.71
20140715|22917|16.52|26.27|30.94|3.61|26.53|10.52|17.49
20140815|23057|16.56|26.13|31.14|3.53|26.24|10.59|17.57
20140915|23836|17.06|25.81|31.29|1.68|25.12|12.5|16.58
20141015|23995|17.28|25.91|31.22|1.54|24.93|12.77|16.51
20141115|24108|17.21|26.06|31.24|1.81|24.89|12.46|16.67
20141215|24317|17.03|26.05|31.18|1.92|25.23|12.24|16.58
20150115|24490|17.09|26.29|31.28|2.18|25.15|12.09|16.64
20150215|24609|16.97|26.11|31.29|2.02|25.14|12.19|16.71
20150315|24809|17.07|26.31|31.1|1.71|24.81|12.54|16.67
20150415|24992|17.05|26.31|31.13|2.02|25.16|12.22|16.61
20150515|25299|17.19|26.05|31.27|1.5|24.99|12.75|16.26
20150615|24882|16.44|26.4|31.32|3.0|25.94|10.95|16.84
20150715|25025|16.39|26.18|31.42|2.81|25.92|11.1|16.81
20150815|25716|16.84|25.49|31.45|0.79|24.55|13.05|16.29
20150915|25904|16.97|25.52|31.47|0.88|24.57|13.02|16.24
20151015|26019|16.82|25.45|31.5|0.95|24.69|12.85|16.3
20151115|25606|16.46|26.08|31.66|2.94|25.44|10.97|17.2
20151215|25829|16.55|26.03|31.75|2.97|25.41|11.03|17.24
20160115|26607|17.09|25.44|31.77|0.95|24.12|13.11|16.59
20160215|26883|17.2|25.79|31.9|1.19|24.14|13.1|16.46
20160315|27053|17.23|25.88|32.13|1.62|24.25|12.7|16.47
20160415|27296|17.12|25.6|31.96|1.12|24.08|12.95|16.45
20160515|27382|17.22|25.81|32.04|1.24|23.9|12.97|16.48
20160615|27642|17.22|25.85|32.06|1.11|23.84|13.17|16.42
20160715|27824|17.26|25.72|32.06|1.15|23.93|13.08|16.4
20160815|28037|17.5|25.97|32.52|1.41|23.63|13.06|16.27
20160915|28228|17.4|25.85|32.4|1.25|23.63|13.07|16.29
20161015|28544|17.82|26.36|32.21|1.59|24.19|13.1|15.7
20161115|28509|17.74|26.28|32.44|1.55|23.8|13.1|15.95
20161215|28557|17.67|26.14|32.38|1.5|23.68|13.01|16.13
20170115|28668|17.7|26.08|32.53|1.47|23.72|13.12|16.03
20170215|28741|17.5|26.38|32.63|2.51|24.22|12.05|16.33
20170315|29062|17.93|27.08|32.79|3.03|24.19|11.94|16.02
20170415|29069|17.84|26.82|32.94|2.75|23.67|12.14|16.37
20170515|29311|17.99|26.69|32.91|2.68|23.56|12.23|16.45
20170615|29496|17.89|26.69|32.86|2.56|23.57|12.32|16.44
20170715|29599|17.92|26.55|32.85|2.53|23.66|12.31|16.39
20170815|29845|17.85|26.42|33.03|2.5|23.38|12.29|16.59
20170915|30107|17.94|26.56|33.6|2.61|23.33|12.38|16.17
20171015|30388|18.01|26.53|33.74|2.73|23.36|12.35|16.16
20171115|30788|18.21|26.59|34.08|2.94|23.24|12.33|16.1
20171215|30862|18.07|26.54|33.15|2.44|23.47|12.62|16.27
20180115|30845|18.13|26.54|33.05|2.47|23.51|12.66|16.37
20180215|31186|17.98|26.41|33.02|2.4|23.71|12.59|16.26
20180315|31758|18.96|27.37|33.32|3.72|24.12|12.03|15.69
20180415|31752|17.99|26.77|33.99|2.94|22.73|12.17|16.55
20180515|31880|18.03|26.66|34.14|2.97|22.94|12.22|16.39
20180615|32025|18.24|27.03|34.56|3.43|22.68|11.98|16.34
20180715|32133|18.19|27.01|34.13|2.83|22.9|12.45|15.89
20180815|32393|18.32|27.18|34.04|2.92|22.71|12.51|16.1
20180915|32517|18.41|27.12|34.07|3.03|22.88|12.41|15.98
20181015|32696|18.34|27.18|34.0|2.91|22.83|12.48|15.96
20181115|33089|18.53|27.32|33.66|2.8|22.62|12.72|16.18
20181215|33237|18.36|27.13|33.49|2.56|22.77|12.67|16.06
20190115|33489|18.23|26.87|33.35|2.14|22.71|12.96|16.08
20190215|33636|18.4|27.04|33.46|2.53|22.9|12.76|16.02
20190315|33911|18.35|27.19|33.35|2.57|22.93|12.71|16.03
20190415|34176|18.56|27.25|33.11|2.25|23.22|13.21|15.57
20190515|34343|18.75|27.55|33.22|2.65|22.98|12.99|15.78
20190615|34521|18.5|27.18|32.81|2.18|23.11|13.11|15.89
20190715|34729|18.56|27.33|32.87|2.19|23.14|13.18|15.66
20190815|34986|18.84|27.46|32.88|2.25|22.98|13.28|15.63
20190915|35118|18.72|27.36|33.0|2.19|22.69|13.28|15.89
20191015|35471|18.76|27.51|32.93|2.2|22.57|13.29|15.92
20191115|35829|18.91|27.7|33.01|2.16|22.36|13.43|15.77
20191215|35770|18.8|27.29|32.74|1.78|22.45|13.59|15.85
20200115|35864|18.69|27.68|33.09|2.55|22.64|12.98|15.97
20200215|36042|18.66|27.62|33.07|2.28|22.63|13.23|15.82
20200315|36717|18.87|27.59|33.21|1.91|22.24|13.71|15.61
20200415|36967|19.28|28.01|33.22|2.41|22.37|13.59|15.51
20200515|37173|19.19|27.96|33.09|2.19|22.26|13.71|15.59
20200615|37363|19.35|28.01|33.27|2.28|22.29|13.76|15.41
20200715|37511|19.41|28.04|33.38|2.39|22.14|13.68|15.48
20200815|37806|19.21|28.05|33.42|2.08|21.94|13.85|15.39
20200915|38053|19.31|28.01|33.56|2.07|21.84|13.91|15.34
20201015|38194|19.22|27.99|33.61|2.2|22.02|13.72|15.29
20201115|38342|19.38|27.93|33.4|2.04|22.04|13.98|15.32
20201215|38709|19.72|28.22|33.75|2.35|21.8|13.93|15.15
20210115|38731|19.56|28.15|33.38|2.42|22.19|13.72|15.28
20210215|38824|19.57|27.92|33.51|2.24|22.07|13.86|15.28
20210315|39024|19.75|28.27|33.62|2.56|22.04|13.73|15.17
20210415|39276|19.95|28.44|33.62|2.85|22.1|13.64|15.24
20210515|39348|19.83|28.34|33.53|2.74|22.22|13.6|15.16
20210615|39486|19.99|28.45|33.47|2.78|22.15|13.66|15.17
20210715|39447|20.19|28.71|33.47|2.96|22.1|13.63|15.09
20210815|39705|20.48|29.04|33.67|3.42|22.1|13.48|15.03
20210915|39943|20.53|29.24|33.76|3.41|21.88|13.53|14.94
20211015|40157|20.37|29.24|33.52|3.56|21.74|13.18|15.43
20211115|40153|20.28|29.07|33.5|3.29|22.01|13.38|15.09
20211215|40172|20.32|29.1|33.39|3.29|22.27|13.37|14.87
20220115|40454|20.49|29.53|33.59|3.68|22.24|13.27|14.79
20220215|40384|20.41|29.6|33.59|4.06|22.42|12.82|14.93
20220315|40532|20.4|29.47|33.48|3.78|22.39|13.05|14.87
20220415|40900|20.75|29.69|33.18|4.04|23.03|13.0|14.44
20220515|40701|20.44|29.24|33.23|3.59|22.39|13.17|15.06
20220615|40763|20.56|29.75|33.45|3.93|22.27|13.07|14.9
20220715|41095|20.62|29.75|33.62|4.02|22.03|13.07|15.08
20220815|41015|20.65|29.77|33.48|3.88|22.16|13.21|14.92
20220915|41458|21.03|30.3|33.26|4.38|22.56|13.03|14.65
20221015|41086|20.61|29.98|33.13|3.78|22.14|13.28|14.99
20221115|40997|20.58|29.73|33.13|3.76|22.41|13.25|14.92
20221215|41080|20.58|29.58|33.28|3.66|22.31|13.27|14.84
20230115|41124|20.63|29.76|33.23|3.75|22.26|13.22|14.84
20230215|41155|20.77|29.82|33.29|3.98|22.46|13.11|14.74
20230315|41122|20.95|30.07|33.33|4.06|22.29|13.23|14.69
20230415|41305|20.96|30.14|33.38|4.24|22.28|13.01|14.73
20230515|41306|21.13|30.39|33.31|4.43|22.3|13.02|14.75
20230615|41428|21.07|30.25|33.23|4.35|22.55|13.04|14.64
20230715|41226|20.99|30.36|33.48|4.44|22.44|12.98|14.6
20230815|41796|20.77|30.35|33.39|4.77|22.19|12.52|15.36
20230915|41748|20.77|30.6|33.62|5.39|22.39|12.03|15.43
20231015|41825|20.67|30.42|33.6|5.23|22.43|12.06|15.41
20231115|41834|20.81|30.5|33.37|5.19|22.38|12.11|15.43
20231215|41707|20.69|30.44|33.41|5.09|22.48|12.2|15.36
20240115|41753|20.76|30.4|33.37|5.11|22.38|12.18|15.49
20240215|41515|20.85|30.48|33.32|4.94|22.77|12.33|14.79
20240315|41856|20.71|30.45|33.18|5.03|22.46|12.14|15.4
20240415|42021|20.77|30.61|33.32|5.33|22.41|11.94|15.5
20240515|42121|20.71|30.56|33.2|5.35|22.52|11.86|15.57
20240615|42364|20.95|31.05|33.04|5.78|22.89|11.64|15.26
