asn|aspp_average|moreSpecific_average|selective_average
1|15.65|7.34|100.0
2|16.73|12.72|100.0
3|23.66|5.25|100.0
4|16.67|8.81|99.19
5||12.86|100.0
6|4.0|9.35|100.0
7|7.69|9.08|100.0
8|74.71|27.14|93.11
9|74.0|18.94|100.0
10|79.17|26.53|100.0
11||25.0|100.0
12|79.92|14.63|67.82
13|25.0|13.67|100.0
14|95.28|27.18|31.7
15||50.0|
16|50.0|46.97|100.0
17|28.0|25.16|95.13
18|15.02|36.36|42.39
19|85.0|16.85|75.12
20|92.68|24.01|34.95
21|84.73||95.6
22|53.57|28.21|100.0
24|100.0||100.0
25||17.49|3.04
26|77.12|32.95|77.78
27|78.02|22.69|100.0
28|||100.0
29|24.22|31.11|59.5
30|25.72||100.0
31|42.29|21.79|57.56
32||30.72|80.0
33|40.17|19.51|55.33
34|81.68|31.05|3.57
35|50.0||100.0
36|||100.0
37||15.02|100.0
38||27.34|97.86
41||28.57|
42|8.61|1.78|100.0
43||18.0|
44|14.29||100.0
45||21.09|
46|50.0|23.04|18.62
47|71.61|11.57|88.76
48||48.44|100.0
49|35.16|38.75|100.0
50|42.78|17.11|14.98
51|20.0||100.0
52|9.36|34.31|11.11
55|84.88|33.21|80.0
56|0.77|6.51|100.0
57|60.25||60.67
59|74.42|30.93|28.95
60|||100.0
61|||100.0
62||11.06|99.11
63||18.04|1.0
65|||87.5
68|14.29|27.5|
70||13.06|44.55
71||9.74|61.82
72|43.83|6.25|100.0
73|71.87|21.94|98.9
74|100.0|49.69|50.0
77|46.1|23.79|89.62
78|14.29||24.19
80||42.78|100.0
81|13.68|12.84|92.76
82|49.63|18.18|100.0
83|10.62|15.18|
84||15.72|
85|9.94|9.11|85.63
87||40.75|95.0
88|80.52|14.55|82.56
89||18.28|
91|84.41|36.15|19.98
92|96.43|50.0|47.5
97|100.0||99.12
98|92.08|50.0|
100|28.8|9.58|100.0
101|42.4|17.88|75.33
102||24.7|100.0
103|67.98|4.23|81.31
104|96.79|4.8|0.03
106||10.0|95.26
109|2.96|19.58|100.0
111|52.94|9.15|100.0
112|97.78||99.11
116|86.13|8.26|87.72
119||20.0|
120|||100.0
121|16.67|20.0|
122||21.64|34.79
125|24.17|6.2|100.0
127|24.15|18.48|81.63
129||6.25|
130|100.0||
131|85.72|27.47|50.0
132||31.25|
137|76.87|25.5|42.78
138|57.51|6.35|
140||20.92|100.0
145||2.72|
149|55.71|16.44|100.0
151|9.3|5.12|100.0
156|94.44|23.17|5.39
157|5.01|6.18|100.0
158|1.16|1.12|40.45
159||30.0|1.0
160|62.35|28.63|75.09
161|99.89||100.0
166|78.12|21.88|50.71
167|83.72|14.71|2.36
170|90.09||100.0
173|100.0||
174|58.95|2.69|100.0
186|98.28|50.0|
188|50.96|9.87|26.67
190||14.29|
194||23.2|
195|10.91|21.6|72.12
196|14.38|26.83|
200|90.53||100.0
201|100.0||
202||16.67|79.75
203||2.74|13.44
205|57.11|34.51|100.0
206||3.62|100.0
209|3.58|5.18|82.81
210|95.75|10.37|20.64
217||49.81|
220||50.0|
223|24.35|10.05|73.44
224||32.04|48.18
225|69.76|13.6|32.95
226|41.69|13.16|65.03
229|51.79||100.0
231|20.0|14.29|96.43
234|100.0||
237|52.75|11.15|95.95
239|62.47|32.2|26.67
243|3.98|9.52|99.83
246|8.03|8.13|
249|100.0||
250|65.0||41.25
251|99.3|2.3|89.9
252||23.64|
254|36.77|18.76|100.0
257|||74.02
260|33.16|16.46|84.69
262|||100.0
264|22.03|14.49|100.0
267||22.09|48.18
268|||100.0
270||1.25|100.0
271|73.64|13.13|94.79
272|100.0||
273|75.0|50.0|
276||21.79|
278|22.26|2.72|99.98
283|||100.0
286|66.19|3.4|92.94
288|2.17|1.95|100.0
289||47.62|
290|83.33|16.67|0.0
291||7.59|
292|||33.33
293|77.22|30.41|89.11
295|88.51|28.0|
297|94.64|8.22|31.2
299||43.28|0.0
300|3.85|3.34|100.0
302|94.75|10.91|2.6
306|41.98|18.46|100.0
307|100.0||
309||14.29|100.0
310||1.41|
316||8.09|
317||15.85|100.0
319||16.84|
320||15.89|
321||8.32|100.0
322||37.5|
323||23.39|99.12
324||15.9|
325||3.52|
326||4.5|
327||50.0|
328||18.03|
329||12.57|100.0
331||23.67|
332||5.88|
334|10.0|3.1|100.0
335||2.06|
336||4.47|90.0
337||1.53|100.0
338||30.1|
339||25.82|
340||16.67|
341||16.73|98.53
342||12.35|96.0
343|50.0|50.0|
344|60.89|4.24|100.0
345||6.0|100.0
346||5.34|
347||19.76|100.0
348|66.67|17.3|98.75
349||6.16|
350||33.33|100.0
351||32.72|
352||17.51|98.0
353||20.2|
355||2.6|99.0
356||0.91|
357||13.58|
360||4.14|95.0
361||15.15|
362||11.29|88.67
365||33.33|
366||44.46|
367|0.75|6.37|99.67
368||4.9|100.0
369|48.54|3.14|100.0
370||1.97|
371||20.43|
372|||100.0
375|3.82|3.73|81.79
376|17.8|6.9|61.57
377||22.23|
378|68.18|12.02|4.2
381|2.38|12.73|
382|100.0||
383|18.7|10.63|
385||9.76|
386||23.14|92.0
387|21.25|11.19|
390|60.48|17.48|
391|1.33|6.89|
395|15.51|23.49|
399|21.92|16.48|
400|97.22|15.94|100.0
406|||100.0
409|26.36|28.08|99.93
412||50.0|
416||26.67|
427|20.17|14.2|
440|6.95|14.98|
444|15.74|27.89|
450|15.38|20.31|100.0
451|100.0||
452||0.91|
466|38.34|23.34|
491|2.86|10.16|
493||8.57|
494||0.94|
495||7.24|
497|5.4|17.82|
510|||100.0
511|100.0||
513|85.64|19.04|56.35
518||21.35|
523|30.19|14.13|
531||1.6|
532|||100.0
542|78.16||59.93
543|52.01|12.42|98.09
545|37.5|41.67|99.89
546|94.29||80.0
547|||50.0
549|100.0|11.85|17.48
552||50.0|
