# data|internet|afrinic|arin|apnic|lacnic|ripencc
20140615|46612|755|16012|5925|3340|20580
20140715|46940|764|16065|5972|3439|20700
20140815|47219|778|16136|6026|3546|20733
20140915|47533|791|16181|6082|3651|20828
20141015|47768|792|16202|6108|3724|20942
20141115|48036|793|16260|6165|3787|21031
20141215|48361|808|16310|6232|3855|21156
20150115|48554|817|16348|6273|3897|21219
20150215|48859|825|16416|6337|3941|21340
20150315|49093|829|16467|6371|3998|21428
20150415|49449|841|16514|6428|4089|21577
20150515|49784|844|16610|6491|4145|21694
20150615|50030|849|16664|6555|4204|21758
20150715|50329|865|16724|6604|4279|21857
20150815|50548|876|16728|6665|4343|21936
20150915|50870|887|16791|6718|4415|22059
20151015|51140|900|16849|6737|4507|22147
20151115|51428|906|16893|6821|4572|22236
20151215|51721|907|16933|6868|4642|22371
20160115|51929|915|16944|6920|4701|22449
20160215|52252|932|16994|7017|4768|22541
20160315|52556|925|17042|7105|4849|22635
20160415|52888|948|17084|7164|4935|22757
20160515|53186|949|17130|7241|4997|22869
20160615|53500|960|17157|7337|5072|22974
20160715|53817|973|17210|7426|5160|23048
20160815|54124|992|17228|7508|5231|23165
20160915|54420|1006|17260|7588|5294|23272
20161015|54667|1008|17294|7626|5370|23369
20161115|54904|1016|17306|7666|5440|23476
20161215|55224|1019|17338|7747|5535|23585
20170115|55423|1021|17344|7804|5612|23642
20170215|55748|1028|17375|7892|5698|23755
20170315|56019|1038|17407|7970|5745|23859
20170415|56356|1039|17458|8054|5819|23986
20170515|56635|1041|17482|8122|5916|24074
20170615|57026|1060|17491|8204|6069|24202
20170715|57268|1061|17519|8263|6174|24251
20170815|57554|1075|17562|8295|6295|24327
20170915|57875|1080|17595|8351|6409|24440
20171015|58140|1094|17630|8394|6494|24528
20171115|58438|1104|17642|8469|6575|24648
20171215|58820|1122|17668|8534|6686|24810
20180115|58986|1122|17648|8592|6755|24869
20180215|59337|1129|17720|8670|6858|24960
20180315|59615|1139|17755|8739|6927|25055
20180415|59926|1145|17785|8788|7038|25170
20180515|60281|1158|17827|8882|7157|25257
20180615|60541|1171|17849|8958|7260|25303
20180715|60720|1180|17836|9022|7351|25331
20180815|61084|1198|17867|9089|7438|25492
20180915|61410|1209|17900|9161|7579|25561
20181015|61719|1215|17945|9228|7683|25648
20181115|62062|1226|17979|9323|7828|25706
20181215|62335|1237|17978|9393|7943|25784
20190115|62528|1242|17994|9465|8008|25819
20190215|62868|1255|18033|9566|8105|25909
20190315|63176|1263|18095|9664|8199|25955
20190415|63523|1269|18144|9724|8296|26090
20190515|63807|1274|18158|9821|8402|26152
20190615|64106|1290|18189|9880|8519|26228
20190715|64467|1307|18212|9984|8640|26324
20190815|64777|1321|18243|10042|8748|26423
20190915|65128|1327|18265|10144|8864|26528
20191015|65472|1332|18314|10179|9004|26643
20191115|65793|1343|18327|10269|9122|26732
20191215|66072|1360|18373|10322|9243|26774
20200115|66361|1370|18425|10379|9351|26836
20200215|66691|1379|18462|10446|9474|26930
20200315|67113|1393|18496|10554|9616|27054
20200415|67380|1397|18485|10624|9766|27108
20200515|67656|1405|18557|10649|9878|27167
20200615|67974|1415|18593|10715|9997|27254
20200715|68314|1429|18617|10821|10138|27309
20200815|68701|1439|18634|10920|10318|27390
20200915|69038|1438|18649|10954|10521|27476
20201015|69317|1434|18688|11035|10592|27568
20201115|69591|1434|18754|11127|10633|27643
20201215|69862|1445|18802|11218|10656|27741
20210115|69939|1435|18763|11316|10666|27759
20210215|70217|1468|18806|11384|10690|27869
20210315|70462|1471|18815|11484|10766|27926
20210415|70749|1469|18866|11607|10781|28026
20210515|70875|1475|18876|11705|10787|28032
20210615|71098|1495|18903|11773|10807|28120
20210715|71251|1508|18924|11868|10808|28143
20210815|71400|1536|18949|11983|10803|28129
20210915|71691|1567|19011|12088|10823|28202
20211015|71767|1580|18984|12159|10825|28219
20211115|71958|1596|19024|12240|10833|28265
20211215|72096|1606|19000|12299|10905|28286
20220115|72345|1605|19028|12414|10974|28324
20220215|72477|1615|19047|12509|10992|28314
20220315|72469|1631|19051|12596|10976|28215
20220415|72639|1649|19071|12676|10991|28252
20220515|72822|1653|19118|12765|11006|28280
20220615|72916|1676|19104|12841|11020|28275
20220715|73193|1691|19163|12956|11023|28360
20220815|73291|1701|19145|13047|11024|28374
20220915|73426|1716|19179|13129|11025|28377
20221015|73327|1719|19135|13146|11026|28301
20221115|73437|1740|19165|13200|11037|28295
20221215|73573|1734|19166|13301|11042|28330
20230115|73679|1730|19166|13384|11041|28358
20230215|73669|1744|19151|13445|11001|28328
20230315|73835|1750|19155|13517|11014|28399
20230415|74011|1762|19177|13581|11023|28468
20230515|74050|1770|19188|13590|11026|28476
20230615|74137|1777|19186|13648|11042|28484
20230715|74156|1787|19155|13680|11053|28481
20230815|74292|1797|19156|13759|11049|28531
20230915|74407|1810|19163|13813|11073|28548
20231015|74582|1822|19182|13881|11089|28608
20231115|74635|1824|19135|13967|11076|28633
20231215|74745|1834|19142|14038|11088|28643
20240115|74824|1837|19134|14088|11100|28665
20240215|74927|1843|19154|14156|11095|28679
20240315|75061|1809|19193|14233|11100|28726
20240415|75178|1837|19198|14269|11112|28762
20240515|75403|1860|19248|14350|11137|28808
20240615|75429|1857|19216|14393|11142|28821
