as_type|date|tam_1|tam_2|tam_3|tam_4plus
business|20140615|905|772|899|1197
business|20140715|923|774|903|1221
business|20140815|912|778|909|1217
business|20140915|931|806|933|1240
business|20141015|943|778|934|1234
business|20141115|954|774|945|1263
business|20141215|963|802|962|1279
business|20150115|957|822|960|1268
business|20150215|957|826|953|1291
business|20150315|974|831|975|1293
business|20150415|981|851|996|1303
business|20150515|988|863|1006|1301
business|20150615|995|861|1017|1292
business|20150715|992|866|1011|1297
business|20150815|1009|862|1005|1286
business|20150915|1030|867|1021|1314
business|20151015|1038|891|1022|1319
business|20151115|1014|914|1028|1332
business|20151215|1056|893|1033|1307
business|20160115|1057|886|1053|1321
business|20160215|1076|885|1051|1340
business|20160315|1102|883|1059|1364
business|20160415|1081|905|1069|1376
business|20160515|1068|922|1088|1380
business|20160615|1078|928|1120|1373
business|20160715|1082|941|1114|1415
business|20160815|1090|956|1117|1417
business|20160915|1093|970|1142|1433
business|20161015|1182|986|1144|1438
business|20161115|1142|997|1142|1447
business|20161215|1141|978|1161|1442
business|20170115|1110|989|1166|1475
business|20170215|1139|1007|1184|1514
business|20170315|1187|1016|1184|1511
business|20170415|1133|1007|1181|1559
business|20170515|1153|1001|1204|1564
business|20170615|1154|1032|1230|1551
business|20170715|1145|1038|1214|1559
business|20170815|1149|1036|1229|1552
business|20170915|1160|1045|1245|1562
business|20171015|1184|1072|1232|1572
business|20171115|1236|1074|1245|1558
business|20171215|1235|1082|1264|1570
business|20180115|1219|1077|1263|1585
business|20180215|1257|1102|1266|1601
business|20180315|1392|1101|1266|1600
business|20180415|1240|1084|1263|1625
business|20180515|1248|1086|1274|1653
business|20180615|1229|1083|1300|1666
business|20180715|1243|1061|1290|1714
business|20180815|1261|1072|1299|1704
business|20180915|1274|1089|1320|1717
business|20181015|1273|1106|1336|1734
business|20181115|1291|1120|1334|1742
business|20181215|1314|1108|1372|1752
business|20190115|1318|1127|1351|1766
business|20190215|1322|1150|1383|1759
business|20190315|1357|1146|1405|1783
business|20190415|1365|1185|1416|1813
business|20190515|1367|1159|1427|1835
business|20190615|1364|1151|1415|1857
business|20190715|1373|1168|1434|1862
business|20190815|1401|1168|1437|1867
business|20190915|1375|1171|1434|1885
business|20191015|1386|1191|1447|1929
business|20191115|1405|1210|1471|1960
business|20191215|1420|1213|1431|1921
business|20200115|1431|1229|1436|1929
business|20200215|1454|1231|1439|1925
business|20200315|1476|1259|1467|1949
business|20200415|1486|1274|1481|1977
business|20200515|1502|1260|1486|1979
business|20200615|1502|1281|1481|2026
business|20200715|1498|1287|1486|2037
business|20200815|1490|1274|1507|2054
business|20200915|1507|1287|1531|2015
business|20201015|1514|1318|1539|2027
business|20201115|1510|1317|1545|2052
business|20201215|1529|1343|1569|2058
business|20210115|1543|1318|1573|2080
business|20210215|1556|1322|1556|2061
business|20210315|1581|1331|1579|2096
business|20210415|1598|1335|1581|2119
business|20210515|1610|1320|1569|2123
business|20210615|1586|1348|1588|2126
business|20210715|1583|1331|1577|2136
business|20210815|1600|1364|1639|2142
business|20210915|1624|1374|1616|2148
business|20211015|1635|1383|1623|2165
business|20211115|1650|1356|1638|2178
business|20211215|1655|1386|1639|2193
business|20220115|1669|1390|1644|2204
business|20220215|1693|1402|1616|2201
business|20220315|1679|1420|1643|2199
business|20220415|1814|1410|1661|2221
business|20220515|1683|1392|1661|2215
business|20220615|1673|1388|1646|2243
business|20220715|1690|1403|1645|2254
business|20220815|1695|1402|1657|2251
business|20220915|1826|1431|1666|2293
business|20221015|1678|1446|1685|2280
business|20221115|1689|1483|1692|2280
business|20221215|1702|1494|1659|2242
business|20230115|1684|1479|1688|2274
business|20230215|1691|1479|1711|2319
business|20230315|1709|1505|1695|2288
business|20230415|1708|1511|1714|2298
business|20230515|1709|1512|1722|2306
business|20230615|1703|1510|1751|2341
business|20230715|1695|1514|1753|2289
business|20230815|1702|1524|1774|2315
business|20230915|1744|1531|1768|2335
business|20231015|1746|1545|1752|2346
business|20231115|1743|1554|1783|2332
business|20231215|1756|1529|1764|2322
business|20240115|1757|1524|1764|2336
business|20240215|1781|1518|1755|2357
business|20240315|1791|1511|1791|2322
business|20240415|1804|1538|1768|2348
business|20240515|1797|1563|1787|2370
business|20240615|1943|1584|1793|2355
education|20140615|150|146|166|144
education|20140715|156|140|163|148
education|20140815|159|145|161|146
education|20140915|162|147|164|156
education|20141015|169|151|159|160
education|20141115|171|152|156|167
education|20141215|166|152|150|167
education|20150115|162|153|160|171
education|20150215|167|158|150|177
education|20150315|175|151|152|177
education|20150415|174|148|156|183
education|20150515|177|160|151|182
education|20150615|180|156|155|178
education|20150715|186|152|153|177
education|20150815|183|151|149|180
education|20150915|179|167|153|177
education|20151015|184|159|148|176
education|20151115|183|162|147|178
education|20151215|179|164|140|178
education|20160115|181|162|140|178
education|20160215|184|158|146|181
education|20160315|181|165|148|181
education|20160415|175|171|153|172
education|20160515|173|175|151|180
education|20160615|184|169|149|181
education|20160715|184|167|149|174
education|20160815|180|171|148|178
education|20160915|184|176|146|183
education|20161015|190|175|146|184
education|20161115|185|169|138|189
education|20161215|191|168|139|189
education|20170115|195|160|142|187
education|20170215|196|162|149|183
education|20170315|209|170|146|183
education|20170415|200|170|149|191
education|20170515|204|168|150|188
education|20170615|206|174|151|187
education|20170715|208|169|154|195
education|20170815|202|165|151|203
education|20170915|208|156|160|207
education|20171015|206|165|159|206
education|20171115|211|169|156|208
education|20171215|209|169|155|221
education|20180115|214|171|157|220
education|20180215|215|172|155|222
education|20180315|262|166|153|225
education|20180415|225|167|157|220
education|20180515|222|175|154|223
education|20180615|221|175|160|227
education|20180715|222|171|161|228
education|20180815|225|170|165|230
education|20180915|244|167|162|228
education|20181015|229|171|170|239
education|20181115|224|173|169|229
education|20181215|222|169|177|240
education|20190115|220|169|174|241
education|20190215|225|173|171|232
education|20190315|221|177|173|233
education|20190415|216|184|178|243
education|20190515|226|181|178|241
education|20190615|227|179|183|239
education|20190715|233|181|183|247
education|20190815|235|184|190|240
education|20190915|230|180|197|233
education|20191015|226|180|196|236
education|20191115|223|183|194|237
education|20191215|218|189|198|239
education|20200115|218|188|194|240
education|20200215|225|193|199|246
education|20200315|225|193|197|244
education|20200415|223|190|205|244
education|20200515|218|192|200|245
education|20200615|222|189|197|250
education|20200715|223|193|197|254
education|20200815|220|188|197|250
education|20200915|210|186|192|249
education|20201015|208|180|195|262
education|20201115|211|180|203|263
education|20201215|220|179|205|261
education|20210115|231|183|205|263
education|20210215|223|190|201|264
education|20210315|223|192|200|264
education|20210415|228|196|198|263
education|20210515|232|202|197|264
education|20210615|234|198|200|265
education|20210715|236|198|198|267
education|20210815|240|198|201|268
education|20210915|244|201|196|271
education|20211015|237|207|190|266
