region|date|from1to24|from25to49|from50to74|from75to100
afrinic|20140615|51|31|36|93
afrinic|20140715|48|28|34|103
afrinic|20140815|48|30|35|105
afrinic|20140915|48|34|42|105
afrinic|20141015|47|33|40|108
afrinic|20141115|44|38|47|107
afrinic|20141215|47|38|36|110
afrinic|20150115|49|36|39|117
afrinic|20150215|57|26|42|121
afrinic|20150315|51|32|37|119
afrinic|20150415|47|33|39|122
afrinic|20150515|46|38|35|124
afrinic|20150615|46|30|37|127
afrinic|20150715|49|30|38|135
afrinic|20150815|49|36|38|120
afrinic|20150915|50|37|40|111
afrinic|20151015|57|37|42|112
afrinic|20151115|61|32|46|111
afrinic|20151215|54|37|48|117
afrinic|20160115|60|36|41|118
afrinic|20160215|59|39|39|118
afrinic|20160315|59|39|38|119
afrinic|20160415|61|37|39|122
afrinic|20160515|62|37|43|119
afrinic|20160615|63|37|39|115
afrinic|20160715|64|41|39|119
afrinic|20160815|74|50|35|122
afrinic|20160915|62|53|38|124
afrinic|20161015|63|56|39|125
afrinic|20161115|70|55|39|121
afrinic|20161215|69|51|43|120
afrinic|20170115|68|51|42|117
afrinic|20170215|71|48|39|121
afrinic|20170315|79|52|41|117
afrinic|20170415|71|47|43|121
afrinic|20170515|69|43|49|133
afrinic|20170615|78|56|40|133
afrinic|20170715|75|49|40|136
afrinic|20170815|74|57|37|133
afrinic|20170915|75|56|40|126
afrinic|20171015|81|56|50|125
afrinic|20171115|75|65|49|127
afrinic|20171215|81|62|41|135
afrinic|20180115|74|60|50|141
afrinic|20180215|80|54|50|146
afrinic|20180315|74|63|50|160
afrinic|20180415|74|65|53|144
afrinic|20180515|79|58|54|146
afrinic|20180615|85|58|51|141
afrinic|20180715|81|63|46|149
afrinic|20180815|90|62|45|155
afrinic|20180915|92|58|44|161
afrinic|20181015|77|63|54|163
afrinic|20181115|77|58|59|167
afrinic|20181215|75|66|58|169
afrinic|20190115|77|64|57|178
afrinic|20190215|81|67|53|169
afrinic|20190315|77|73|56|153
afrinic|20190415|77|73|65|154
afrinic|20190515|81|80|58|158
afrinic|20190615|75|77|59|167
afrinic|20190715|77|67|52|191
afrinic|20190815|86|61|59|192
afrinic|20190915|81|71|50|183
afrinic|20191015|89|68|57|189
afrinic|20191115|93|64|58|186
afrinic|20191215|88|73|53|196
afrinic|20200115|89|69|51|200
afrinic|20200215|76|71|54|194
afrinic|20200315|87|67|57|195
afrinic|20200415|94|70|58|199
afrinic|20200515|97|63|59|194
afrinic|20200615|90|69|66|192
afrinic|20200715|96|55|60|198
afrinic|20200815|101|51|67|193
afrinic|20200915|106|50|66|202
afrinic|20201015|103|61|63|197
afrinic|20201115|105|64|52|205
afrinic|20201215|109|65|53|203
afrinic|20210115|108|61|55|205
afrinic|20210215|121|56|54|212
afrinic|20210315|112|56|68|213
afrinic|20210415|109|51|74|220
afrinic|20210515|106|56|75|222
afrinic|20210615|106|51|81|214
afrinic|20210715|99|64|79|226
afrinic|20210815|104|63|76|235
