#as_type|date|from1to24|from25to49|from50to74|from75to99
business|20140615|870|868|269|0
business|20140715|857|840|204|0
business|20140815|872|855|196|0
business|20140915|891|911|278|0
business|20141015|893|917|288|0
business|20141115|878|929|289|0
business|20141215|874|945|291|0
business|20150115|881|960|283|0
business|20150215|889|959|287|0
business|20150315|896|965|296|0
business|20150415|902|977|277|0
business|20150515|931|991|299|0
business|20150615|928|943|232|0
business|20150715|945|949|224|0
business|20150815|968|1017|303|0
business|20150915|973|1010|313|0
business|20151015|968|1004|305|0
business|20151115|968|1004|305|0
business|20151215|1006|1047|317|0
business|20160115|1006|1047|317|0
business|20160215|1020|1064|298|0
business|20160315|1025|1061|301|0
business|20160415|1044|1067|312|0
business|20160515|1037|1073|318|0
business|20160615|1062|1075|332|0
business|20160715|1069|1087|328|0
business|20160815|1083|1094|348|0
business|20160915|1082|1103|342|0
business|20161015|1086|1105|349|0
business|20161115|1082|1096|349|0
business|20161215|1070|1107|348|0
business|20170115|1076|1112|367|0
business|20170215|1060|1108|335|0
business|20170315|1072|1114|348|0
business|20170415|1075|1138|343|0
business|20170515|1092|1140|357|0
business|20170615|1101|1146|340|0
business|20170715|1113|1153|344|0
business|20170815|1124|1179|352|0
business|20170915|1139|1193|346|1
business|20171015|1162|1189|358|1
business|20171115|1194|1209|361|1
business|20171215|1187|1196|366|1
business|20180115|1196|1189|354|1
business|20180215|1207|1218|350|0
business|20180315|1217|1246|355|0
business|20180415|1215|1244|353|0
business|20180515|1236|1255|335|0
business|20180615|1247|1265|349|0
business|20180715|1249|1279|344|0
business|20180815|1258|1279|352|0
business|20180915|1255|1296|347|0
business|20181015|1256|1304|353|0
business|20181115|1253|1318|353|0
business|20181215|1270|1310|329|0
business|20190115|1284|1321|355|0
business|20190215|1277|1331|350|0
business|20190315|1290|1333|341|0
business|20190415|1298|1334|348|0
business|20190515|1309|1334|348|0
business|20190615|1316|1326|352|0
business|20190715|1340|1328|349|0
business|20190815|1331|1351|364|0
business|20190915|1336|1370|360|0
business|20191015|1349|1364|373|0
business|20191115|1348|1402|376|0
business|20191215|1354|1401|367|0
business|20200115|1345|1401|334|0
business|20200215|1344|1429|340|0
business|20200315|1381|1455|368|0
business|20200415|1372|1457|372|0
business|20200515|1360|1475|367|0
business|20200615|1387|1481|371|0
business|20200715|1388|1492|376|0
business|20200815|1407|1487|389|0
business|20200915|1423|1490|392|0
business|20201015|1417|1528|386|0
business|20201115|1416|1525|393|0
business|20201215|1427|1561|387|0
business|20210115|1403|1560|385|0
business|20210215|1422|1565|395|0
business|20210315|1426|1596|386|0
business|20210415|1443|1599|382|0
business|20210515|1450|1583|376|0
business|20210615|1445|1605|379|0
business|20210715|1440|1622|367|0
business|20210815|1460|1626|365|0
business|20210915|1476|1624|380|0
business|20211015|1453|1639|374|0
business|20211115|1448|1644|389|0
business|20211215|1453|1643|381|0
business|20220115|1460|1663|373|0
business|20220215|1452|1654|362|0
business|20220315|1478|1659|379|0
business|20220415|1477|1670|388|0
business|20220515|1507|1668|392|0
business|20220615|1491|1665|388|0
business|20220715|1513|1678|386|0
business|20220815|1508|1686|390|0
business|20220915|1506|1719|387|0
business|20221015|1484|1731|399|0
business|20221115|1496|1713|410|0
business|20221215|1497|1715|410|0
business|20230115|1498|1733|410|0
business|20230215|1498|1754|407|0
business|20230315|1501|1759|402|0
business|20230415|1515|1773|407|0
business|20230515|1537|1757|404|0
business|20230615|1546|1760|399|0
business|20230715|1552|1756|404|0
business|20230815|1554|1751|420|0
business|20230915|1554|1738|400|0
business|20231015|1559|1750|390|0
business|20231115|1541|1742|397|0
business|20231215|1534|1762|392|0
business|20240115|1534|1770|384|0
business|20240215|1534|1752|385|0
business|20240315|1541|1751|379|0
business|20240415|1549|1753|390|0
business|20240515|1548|1765|383|0
business|20240615|1546|1760|390|0
education|20140615|339|332|250|0
education|20140715|339|332|250|0
education|20140815|339|332|250|0
education|20140915|339|332|250|0
education|20141015|328|362|289|1
education|20141115|336|348|273|1
education|20141215|324|323|242|1
education|20150115|328|317|233|1
education|20150215|333|325|235|1
