as_type|date|observed_ases|use_moreSpecific|moreSpecific_fraction
hosting|20140615|6821|1670|24.48
hosting|20140715|6845|1642|23.99
hosting|20140815|6873|1647|23.96
hosting|20140915|6930|1717|24.78
hosting|20141015|6980|1733|24.83
hosting|20141115|7014|1757|25.05
hosting|20141215|7070|1769|25.02
hosting|20150115|7105|1793|25.24
hosting|20150215|7156|1796|25.10
hosting|20150315|7211|1791|24.84
hosting|20150415|7261|1808|24.90
hosting|20150515|7303|1860|25.47
hosting|20150615|7336|1820|24.81
hosting|20150715|7377|1835|24.87
hosting|20150815|7402|1897|25.63
hosting|20150915|7452|1919|25.75
hosting|20151015|7494|1921|25.63
hosting|20151115|7532|1910|25.36
hosting|20151215|7586|1928|25.42
hosting|20160115|7614|1979|25.99
hosting|20160215|7639|2006|26.26
hosting|20160315|7689|2015|26.21
hosting|20160415|7736|2020|26.11
hosting|20160515|7782|2041|26.23
hosting|20160615|7823|2055|26.27
hosting|20160715|7879|2083|26.44
hosting|20160815|7934|2113|26.63
hosting|20160915|7987|2116|26.49
hosting|20161015|8029|2144|26.70
hosting|20161115|8099|2171|26.81
hosting|20161215|8147|2162|26.54
hosting|20170115|8171|2176|26.63
hosting|20170215|8211|2178|26.53
hosting|20170315|8252|2202|26.68
hosting|20170415|8312|2209|26.58
hosting|20170515|8340|2229|26.73
hosting|20170615|8384|2217|26.44
hosting|20170715|8425|2232|26.49
hosting|20170815|8470|2259|26.67
hosting|20170915|8509|2307|27.11
hosting|20171015|8547|2317|27.11
hosting|20171115|8597|2370|27.57
hosting|20171215|8648|2313|26.75
hosting|20180115|8676|2322|26.76
hosting|20180215|8726|2352|26.95
hosting|20180315|8743|2379|27.21
hosting|20180415|8802|2405|27.32
hosting|20180515|8840|2410|27.26
hosting|20180615|8902|2418|27.16
hosting|20180715|8937|2425|27.13
hosting|20180815|8984|2409|26.81
hosting|20180915|9033|2424|26.83
hosting|20181015|9079|2432|26.79
hosting|20181115|9130|2449|26.82
hosting|20181215|9194|2456|26.71
hosting|20190115|9220|2466|26.75
hosting|20190215|9264|2475|26.72
hosting|20190315|9309|2470|26.53
hosting|20190415|9363|2505|26.75
hosting|20190515|9391|2501|26.63
hosting|20190615|9447|2509|26.56
hosting|20190715|9511|2516|26.45
hosting|20190815|9544|2534|26.55
hosting|20190915|9619|2541|26.42
hosting|20191015|9667|2571|26.60
hosting|20191115|9725|2588|26.61
hosting|20191215|9757|2590|26.55
hosting|20200115|9816|2612|26.61
hosting|20200215|9867|2630|26.65
hosting|20200315|9928|2674|26.93
hosting|20200415|9971|2678|26.86
hosting|20200515|10042|2689|26.78
hosting|20200615|10094|2707|26.82
hosting|20200715|10168|2721|26.76
hosting|20200815|10246|2737|26.71
hosting|20200915|10285|2762|26.85
hosting|20201015|10343|2791|26.98
hosting|20201115|10400|2799|26.91
hosting|20201215|10459|2854|27.29
hosting|20210115|10506|2813|26.78
hosting|20210215|10565|2838|26.86
hosting|20210315|10610|2846|26.82
hosting|20210415|10688|2851|26.67
hosting|20210515|10736|2874|26.77
hosting|20210615|10794|2906|26.92
hosting|20210715|10837|2897|26.73
hosting|20210815|10879|2899|26.65
hosting|20210915|10952|2953|26.96
hosting|20211015|10982|2933|26.71
hosting|20211115|11060|2959|26.75
hosting|20211215|11096|2957|26.65
hosting|20220115|11116|2972|26.74
hosting|20220215|11178|2976|26.62
hosting|20220315|11210|2993|26.70
hosting|20220415|11271|2993|26.55
hosting|20220515|11326|3000|26.49
hosting|20220615|11366|2998|26.38
hosting|20220715|11463|3033|26.46
hosting|20220815|11521|3034|26.33
hosting|20220915|11586|3047|26.30
hosting|20221015|11592|3049|26.30
hosting|20221115|11661|3067|26.30
hosting|20221215|11725|3097|26.41
hosting|20230115|11778|3080|26.15
hosting|20230215|11828|3072|25.97
hosting|20230315|11921|3076|25.80
hosting|20230415|12004|3083|25.68
hosting|20230515|12078|3086|25.55
hosting|20230615|12145|3091|25.45
hosting|20230715|12235|3084|25.21
hosting|20230815|12340|3096|25.09
hosting|20230915|12400|3095|24.96
hosting|20231015|12486|3115|24.95
hosting|20231115|12579|3108|24.71
hosting|20231215|12673|3102|24.48
hosting|20240115|12760|3096|24.26
hosting|20240215|12840|3112|24.24
hosting|20240315|12944|3101|23.96
hosting|20240415|13033|3127|23.99
hosting|20240515|13152|3139|23.87
hosting|20240615|13248|3158|23.84
internet|20140615|46564|10637|22.84
internet|20140715|46891|10048|21.43
internet|20140815|47167|10186|21.60
internet|20140915|47477|11125|23.43
internet|20141015|47712|11269|23.62
internet|20141115|47985|11245|23.43
internet|20141215|48306|11259|23.31
internet|20150115|48499|11313|23.33
internet|20150215|48803|11380|23.32
internet|20150315|49037|11524|23.50
internet|20150415|49394|11538|23.36
internet|20150515|49730|11879|23.89
internet|20150615|49974|11137|22.29
internet|20150715|50275|11262|22.40
internet|20150815|50492|12217|24.20
internet|20150915|50818|12321|24.25
internet|20151015|51091|12324|24.12
internet|20151115|51382|11571|22.52
internet|20151215|51676|11708|22.66
internet|20160115|51879|12747|24.57
internet|20160215|52201|12879|24.67
internet|20160315|52505|12913|24.59
internet|20160415|52839|13090|24.77
internet|20160515|53140|13150|24.75
internet|20160615|53455|13315|24.91
internet|20160715|53767|13404|24.93
internet|20160815|54071|13629|25.21
internet|20160915|54372|13707|25.21
internet|20161015|54616|13827|25.32
internet|20161115|54851|13864|25.28
internet|20161215|55174|13865|25.13
internet|20170115|55370|13976|25.24
internet|20170215|55703|13687|24.57
internet|20170315|55976|13859|24.76
internet|20170415|56308|13962|24.80
internet|20170515|56573|14133|24.98
internet|20170615|56961|14212|24.95
internet|20170715|57206|14279|24.96
internet|20170815|57493|14442|25.12
internet|20170915|57817|14732|25.48
internet|20171015|58081|14898|25.65
internet|20171115|58383|15192|26.02
internet|20171215|58760|15055|25.62
internet|20180115|58931|15025|25.50
internet|20180215|59280|15159|25.57
internet|20180315|59555|15423|25.90
internet|20180415|59864|15574|26.02
internet|20180515|60216|15686|26.05
internet|20180615|60479|15809|26.14
internet|20180715|60676|15901|26.21
internet|20180815|61038|16017|26.24
internet|20180915|61363|16081|26.21
internet|20181015|61665|16162|26.21
internet|20181115|62012|16343|26.35
internet|20181215|62278|16379|26.30
internet|20190115|62472|16557|26.50
internet|20190215|62809|16594|26.42
internet|20190315|63118|16658|26.39
internet|20190415|63464|16890|26.61
internet|20190515|63746|16939|26.57
internet|20190615|64048|16957|26.48
internet|20190715|64408|17099|26.55
internet|20190815|64725|17305|26.74
internet|20190915|65071|17393|26.73
internet|20191015|65415|17555|26.84
internet|20191115|65733|17829|27.12
internet|20191215|66006|17802|26.97
internet|20200115|66298|17658|26.63
internet|20200215|66633|17822|26.75
internet|20200315|67056|18421|27.47
internet|20200415|67321|18520|27.51
internet|20200515|67595|18618|27.54
internet|20200615|67915|18807|27.69
internet|20200715|68252|18907|27.70
internet|20200815|68635|19112|27.85
internet|20200915|68973|19327|28.02
internet|20201015|69254|19334|27.92
internet|20201115|69527|19451|27.98
internet|20201215|69799|19790|28.35
internet|20210115|69866|19566|28.01
internet|20210215|70142|19738|28.14
internet|20210315|70390|19830|28.17
internet|20210415|70678|19918|28.18
internet|20210515|70802|19916|28.13
internet|20210615|71025|20006|28.17
internet|20210715|71178|19995|28.09
internet|20210815|71328|20141|28.24
internet|20210915|71621|20321|28.37
internet|20211015|71692|20210|28.19
internet|20211115|71883|20272|28.20
internet|20211215|72019|20252|28.12
internet|20220115|72267|20384|28.21
internet|20220215|72407|20167|27.85
internet|20220315|72392|20304|28.05
internet|20220415|72560|20401|28.12
internet|20220515|72749|20379|28.01
internet|20220615|72837|20413|28.03
internet|20220715|73113|20638|28.23
internet|20220815|73209|20606|28.15
internet|20220915|73343|20688|28.21
internet|20221015|73247|20523|28.02
internet|20221115|73342|20477|27.92
internet|20221215|73477|20623|28.07
internet|20230115|73580|20609|28.01
internet|20230215|73570|20610|28.01
internet|20230315|73729|20655|28.01
internet|20230415|73906|20694|28.00
internet|20230515|73944|20659|27.94
internet|20230615|74036|20692|27.95
internet|20230715|74054|20625|27.85
internet|20230815|74188|20642|27.82
internet|20230915|74300|20456|27.53
internet|20231015|74473|20512|27.54
internet|20231115|74529|20496|27.50
internet|20231215|74637|20442|27.39
internet|20240115|74717|20465|27.39
internet|20240215|74821|20436|27.31
internet|20240315|74957|20452|27.28
internet|20240415|75074|20488|27.29
internet|20240515|75297|20454|27.16
internet|20240615|75323|20428|27.12
none|20140615|11405|1871|16.41
none|20140715|11445|1813|15.84
none|20140815|11459|1832|15.99
none|20140915|11470|1963|17.11
none|20141015|11447|1963|17.15
none|20141115|11463|1922|16.77
none|20141215|11515|1953|16.96
none|20150115|11514|1935|16.81
none|20150215|11543|1926|16.69
none|20150315|11553|1939|16.78
none|20150415|11588|1944|16.78
none|20150515|11606|1970|16.97
none|20150615|11607|1892|16.30
none|20150715|11623|1894|16.30
none|20150815|11629|1995|17.16
none|20150915|11642|1990|17.09
none|20151015|11633|1975|16.98
none|20151115|11629|1893|16.28
none|20151215|11653|1904|16.34
none|20160115|11631|2023|17.39
none|20160215|11668|2048|17.55
none|20160315|11656|2019|17.32
none|20160415|11680|2046|17.52
none|20160515|11679|2037|17.44
none|20160615|11668|2044|17.52
none|20160715|11670|2041|17.49
none|20160815|11680|2048|17.53
none|20160915|11677|2053|17.58
none|20161015|11653|2041|17.51
none|20161115|11627|2025|17.42
none|20161215|11629|1993|17.14
none|20170115|11601|2021|17.42
none|20170215|11601|1941|16.73
none|20170315|11576|1955|16.89
none|20170415|11577|1945|16.80
none|20170515|11523|1958|16.99
none|20170615|11515|1937|16.82
none|20170715|11478|1924|16.76
none|20170815|11432|1925|16.84
none|20170915|11401|1930|16.93
none|20171015|11376|1929|16.96
none|20171115|11356|1956|17.22
none|20171215|11368|1933|17.00
none|20180115|11300|1902|16.83
none|20180215|11291|1895|16.78
none|20180315|11289|1917|16.98
none|20180415|11244|1920|17.08
none|20180515|11225|1904|16.96
none|20180615|11150|1893|16.98
none|20180715|11106|1876|16.89
none|20180815|11098|1884|16.98
none|20180915|11055|1868|16.90
none|20181015|11031|1835|16.63
none|20181115|10991|1840|16.74
none|20181215|10906|1834|16.82
none|20190115|10853|1848|17.03
none|20190215|10783|1836|17.03
none|20190315|10748|1827|17.00
none|20190415|10704|1845|17.24
none|20190515|10670|1820|17.06
none|20190615|10595|1800|16.99
none|20190715|10551|1797|17.03
none|20190815|10526|1799|17.09
none|20190915|10485|1801|17.18
none|20191015|10422|1783|17.11
none|20191115|10329|1779|17.22
none|20191215|10230|1751|17.12
none|20200115|10191|1725|16.93
none|20200215|10100|1712|16.95
none|20200315|10091|1736|17.20
none|20200415|9987|1717|17.19
none|20200515|9919|1700|17.14
none|20200615|9875|1704|17.26
none|20200715|9787|1686|17.23
none|20200815|9735|1670|17.15
none|20200915|9665|1647|17.04
none|20201015|9550|1620|16.96
none|20201115|9478|1590|16.78
none|20201215|9384|1593|16.98
none|20210115|9240|1549|16.76
none|20210215|9178|1534|16.71
none|20210315|9053|1527|16.87
none|20210415|8954|1509|16.85
none|20210515|8830|1479|16.75
none|20210615|8732|1449|16.59
none|20210715|8626|1403|16.26
none|20210815|8486|1375|16.20
none|20210915|8441|1364|16.16
none|20211015|8272|1321|15.97
none|20211115|8166|1288|15.77
none|20211215|7986|1253|15.69
none|20220115|7931|1246|15.71
none|20220215|7781|1189|15.28
none|20220315|7579|1146|15.12
none|20220415|7429|1132|15.24
none|20220515|7333|1096|14.95
none|20220615|7153|1071|14.97
none|20220715|7070|1049|14.84
none|20220815|6911|1004|14.53
none|20220915|6772|967|14.28
none|20221015|6514|910|13.97
none|20221115|6334|874|13.80
none|20221215|6171|855|13.86
none|20230115|6020|821|13.64
none|20230215|5764|780|13.53
none|20230315|5591|748|13.38
none|20230415|5445|728|13.37
none|20230515|5229|690|13.20
none|20230615|5042|650|12.89
none|20230715|4794|593|12.37
none|20230815|4616|557|12.07
none|20230915|4434|524|11.82
none|20231015|4259|482|11.32
none|20231115|3988|452|11.33
none|20231215|3762|408|10.85
none|20240115|3554|372|10.47
none|20240215|3323|334|10.05
none|20240315|3076|292|9.49
none|20240415|2820|255|9.04
none|20240515|2614|228|8.72
none|20240615|2318|189|8.15
isp|20140615|11059|3899|35.26
isp|20140715|11187|3916|35.00
isp|20140815|11325|3992|35.25
isp|20140915|11450|4117|35.96
isp|20141015|11561|4159|35.97
isp|20141115|11685|4205|35.99
isp|20141215|11778|4234|35.95
isp|20150115|11865|4275|36.03
isp|20150215|11963|4317|36.09
isp|20150315|12059|4363|36.18
isp|20150415|12188|4417|36.24
isp|20150515|12310|4500|36.56
isp|20150615|12413|4477|36.07
isp|20150715|12542|4560|36.36
isp|20150815|12644|4636|36.67
isp|20150915|12770|4712|36.90
isp|20151015|12894|4774|37.02
isp|20151115|13008|4743|36.46
isp|20151215|13114|4830|36.83
isp|20160115|13219|4953|37.47
isp|20160215|13345|5042|37.78
isp|20160315|13483|5109|37.89
isp|20160415|13623|5179|38.02
isp|20160515|13738|5231|38.08
isp|20160615|13898|5334|38.38
isp|20160715|14038|5399|38.46
isp|20160815|14174|5520|38.94
isp|20160915|14297|5573|38.98
isp|20161015|14415|5657|39.24
isp|20161115|14537|5708|39.27
isp|20161215|14693|5757|39.18
isp|20170115|14816|5803|39.17
isp|20170215|14961|5911|39.51
isp|20170315|15103|6005|39.76
isp|20170415|15237|6082|39.92
isp|20170515|15408|6155|39.95
isp|20170615|15613|6290|40.29
isp|20170715|15747|6336|40.24
isp|20170815|15910|6411|40.30
isp|20170915|16088|6603|41.04
isp|20171015|16231|6721|41.41
isp|20171115|16370|6876|42.00
isp|20171215|16570|6842|41.29
isp|20180115|16685|6842|41.01
isp|20180215|16863|6904|40.94
isp|20180315|16997|7080|41.65
isp|20180415|17190|7182|41.78
isp|20180515|17388|7305|42.01
isp|20180615|17557|7391|42.10
isp|20180715|17675|7474|42.29
isp|20180815|17867|7563|42.33
isp|20180915|18076|7614|42.12
isp|20181015|18241|7703|42.23
isp|20181115|18445|7798|42.28
isp|20181215|18614|7868|42.27
isp|20190115|18748|7953|42.42
isp|20190215|18944|8024|42.36
isp|20190315|19138|8105|42.35
isp|20190415|19320|8227|42.58
isp|20190515|19481|8271|42.46
isp|20190615|19686|8303|42.18
isp|20190715|19886|8413|42.31
isp|20190815|20066|8548|42.60
isp|20190915|20225|8615|42.60
isp|20191015|20428|8766|42.91
isp|20191115|20627|8974|43.51
isp|20191215|20825|8985|43.15
isp|20200115|20978|9070|43.24
isp|20200215|21212|9195|43.35
isp|20200315|21440|9423|43.95
isp|20200415|21665|9540|44.03
isp|20200515|21839|9635|44.12
isp|20200615|22015|9774|44.40
isp|20200715|22226|9865|44.38
isp|20200815|22482|10022|44.58
isp|20200915|22726|10211|44.93
isp|20201015|22900|10194|44.52
isp|20201115|23036|10324|44.82
isp|20201215|23205|10541|45.43
isp|20210115|23285|10442|44.84
isp|20210215|23418|10548|45.04
isp|20210315|23585|10644|45.13
isp|20210415|23753|10716|45.11
isp|20210515|23871|10733|44.96
isp|20210615|24005|10809|45.03
isp|20210715|24133|10853|44.97
isp|20210815|24274|10985|45.25
isp|20210915|24414|11057|45.29
isp|20211015|24517|11018|44.94
isp|20211115|24644|11067|44.91
isp|20211215|24791|11077|44.68
isp|20220115|24982|11192|44.80
isp|20220215|25132|11186|44.51
isp|20220315|25205|11184|44.37
isp|20220415|25349|11273|44.47
isp|20220515|25487|11261|44.18
isp|20220615|25628|11323|44.18
isp|20220715|25769|11491|44.59
isp|20220815|25855|11493|44.45
isp|20220915|25966|11567|44.55
isp|20221015|26066|11466|43.99
isp|20221115|26152|11433|43.72
isp|20221215|26306|11545|43.89
isp|20230115|26425|11564|43.76
isp|20230215|26504|11588|43.72
isp|20230315|26619|11654|43.78
isp|20230415|26747|11669|43.63
isp|20230515|26836|11672|43.49
isp|20230615|26934|11717|43.50
isp|20230715|27030|11714|43.34
isp|20230815|27162|11729|43.18
isp|20230915|27285|11809|43.28
isp|20231015|27412|11880|43.34
isp|20231115|27540|11916|43.27
isp|20231215|27665|11900|43.01
isp|20240115|27786|11965|43.06
isp|20240215|27903|11969|42.90
isp|20240315|28047|12022|42.86
isp|20240415|28185|12050|42.75
isp|20240515|28318|12020|42.45
isp|20240615|28433|12000|42.20
business|20140615|13928|2007|14.41
business|20140715|14042|1901|13.54
business|20140815|14118|1923|13.62
business|20140915|14215|2080|14.63
business|20141015|14295|2098|14.68
business|20141115|14380|2096|14.58
business|20141215|14489|2110|14.56
business|20150115|14555|2124|14.59
business|20150215|14666|2135|14.56
business|20150315|14731|2157|14.64
business|20150415|14859|2156|14.51
business|20150515|15001|2221|14.81
business|20150615|15091|2103|13.94
business|20150715|15183|2118|13.95
business|20150815|15258|2288|15.00
business|20150915|15374|2296|14.93
business|20151015|15469|2277|14.72
business|20151115|15591|2159|13.85
business|20151215|15686|2171|13.84
business|20160115|15750|2370|15.05
business|20160215|15862|2382|15.02
business|20160315|15986|2387|14.93
business|20160415|16082|2423|15.07
business|20160515|16208|2428|14.98
business|20160615|16310|2469|15.14
business|20160715|16401|2484|15.15
business|20160815|16487|2525|15.32
business|20160915|16594|2527|15.23
business|20161015|16689|2540|15.22
business|20161115|16741|2527|15.09
business|20161215|16841|2525|14.99
business|20170115|16904|2555|15.11
business|20170215|17023|2503|14.70
business|20170315|17118|2534|14.80
business|20170415|17238|2556|14.83
business|20170515|17339|2589|14.93
business|20170615|17476|2587|14.80
business|20170715|17560|2610|14.86
business|20170815|17664|2655|15.03
business|20170915|17780|2679|15.07
business|20171015|17878|2710|15.16
business|20171115|17988|2765|15.37
business|20171215|18083|2750|15.21
business|20180115|18151|2740|15.10
business|20180215|18268|2775|15.19
business|20180315|18372|2818|15.34
business|20180415|18455|2812|15.24
business|20180515|18573|2826|15.22
business|20180615|18661|2861|15.33
business|20180715|18734|2872|15.33
business|20180815|18840|2889|15.33
business|20180915|18925|2898|15.31
business|20181015|19022|2913|15.31
business|20181115|19130|2924|15.28
business|20181215|19235|2909|15.12
business|20190115|19304|2960|15.33
business|20190215|19443|2958|15.21
business|20190315|19543|2964|15.17
business|20190415|19669|2980|15.15
business|20190515|19773|2991|15.13
business|20190615|19851|2994|15.08
business|20190715|19964|3017|15.11
business|20190815|20081|3046|15.17
business|20190915|20212|3066|15.17
business|20191015|20356|3086|15.16
business|20191115|20498|3126|15.25
business|20191215|20618|3122|15.14
business|20200115|20712|3080|14.87
business|20200215|20834|3113|14.94
business|20200315|20948|3204|15.30
business|20200415|21039|3201|15.21
business|20200515|21122|3202|15.16
business|20200615|21238|3239|15.25
business|20200715|21350|3256|15.25
business|20200815|21419|3283|15.33
business|20200915|21528|3305|15.35
business|20201015|21665|3331|15.38
business|20201115|21787|3334|15.30
business|20201215|21912|3375|15.40
business|20210115|21974|3348|15.24
business|20210215|22101|3382|15.30
business|20210315|22239|3408|15.32
business|20210415|22355|3424|15.32
business|20210515|22412|3409|15.21
business|20210615|22526|3429|15.22
business|20210715|22601|3429|15.17
business|20210815|22689|3451|15.21
business|20210915|22786|3480|15.27
business|20211015|22887|3466|15.14
business|20211115|22961|3481|15.16
business|20211215|23061|3477|15.08
business|20220115|23137|3496|15.11
business|20220215|23196|3468|14.95
business|20220315|23276|3516|15.11
business|20220415|23367|3535|15.13
business|20220515|23439|3567|15.22
business|20220615|23509|3544|15.08
business|20220715|23616|3577|15.15
business|20220815|23702|3584|15.12
business|20220915|23790|3612|15.18
business|20221015|23843|3614|15.16
business|20221115|23946|3619|15.11
business|20221215|24014|3622|15.08
business|20230115|24081|3641|15.12
business|20230215|24184|3659|15.13
business|20230315|24293|3662|15.07
business|20230415|24391|3695|15.15
business|20230515|24479|3698|15.11
business|20230615|24578|3705|15.07
business|20230715|24639|3712|15.07
business|20230815|24707|3725|15.08
business|20230915|24805|3692|14.88
business|20231015|24926|3699|14.84
business|20231115|25015|3680|14.71
business|20231215|25120|3688|14.68
business|20240115|25196|3688|14.64
business|20240215|25312|3671|14.50
business|20240315|25420|3671|14.44
business|20240415|25556|3692|14.45
business|20240515|25710|3696|14.38
business|20240615|25798|3696|14.33
education|20140615|2262|899|39.74
education|20140715|2279|525|23.04
education|20140815|2291|536|23.40
education|20140915|2302|921|40.01
education|20141015|2315|980|42.33
education|20141115|2326|958|41.19
education|20141215|2331|890|38.18
education|20150115|2334|879|37.66
education|20150215|2344|894|38.14
education|20150315|2354|962|40.87
education|20150415|2366|899|38.00
education|20150515|2377|1005|42.28
education|20150615|2392|567|23.70
education|20150715|2406|575|23.90
education|20150815|2411|1043|43.26
education|20150915|2423|1047|43.21
education|20151015|2439|1026|42.07
education|20151115|2451|584|23.83
education|20151215|2460|589|23.94
education|20160115|2476|1056|42.65
education|20160215|2487|1041|41.86
education|20160315|2490|1019|40.92
education|20160415|2513|1053|41.90
education|20160515|2518|1045|41.50
education|20160615|2538|1040|40.98
education|20160715|2551|1027|40.26
education|20160815|2560|1049|40.98
education|20160915|2572|1066|41.45
education|20161015|2578|1072|41.58
education|20161115|2582|1061|41.09
education|20161215|2590|1054|40.69
education|20170115|2604|1045|40.13
education|20170215|2622|833|31.77
education|20170315|2639|834|31.60
education|20170415|2650|839|31.66
education|20170515|2657|871|32.78
education|20170615|2668|851|31.90
education|20170715|2686|850|31.65
education|20170815|2700|863|31.96
education|20170915|2712|878|32.37
education|20171015|2720|895|32.90
education|20171115|2737|894|32.66
education|20171215|2751|881|32.02
education|20180115|2772|886|31.96
education|20180215|2777|896|32.27
education|20180315|2793|890|31.87
education|20180415|2805|909|32.41
education|20180515|2820|892|31.63
education|20180615|2831|897|31.68
education|20180715|2839|902|31.77
education|20180815|2856|913|31.97
education|20180915|2873|913|31.78
education|20181015|2881|915|31.76
education|20181115|2899|972|33.53
education|20181215|2907|952|32.75
education|20190115|2920|972|33.29
education|20190215|2940|939|31.94
education|20190315|2937|935|31.84
education|20190415|2952|937|31.74
education|20190515|2973|952|32.02
education|20190615|3001|947|31.56
education|20190715|3020|950|31.46
education|20190815|3028|969|32.00
education|20190915|3040|961|31.61
education|20191015|3043|943|30.99
education|20191115|3048|953|31.27
education|20191215|3059|939|30.70
education|20200115|3069|771|25.12
education|20200215|3080|766|24.87
education|20200315|3098|953|30.76
education|20200415|3105|951|30.63
education|20200515|3110|955|30.71
education|20200615|3115|946|30.37
education|20200715|3137|940|29.96
education|20200815|3153|956|30.32
education|20200915|3163|953|30.13
education|20201015|3181|953|29.96
education|20201115|3199|952|29.76
education|20201215|3208|967|30.14
education|20210115|3224|958|29.71
education|20210215|3236|980|30.28
education|20210315|3248|954|29.37
education|20210415|3262|963|29.52
education|20210515|3274|967|29.54
education|20210615|3282|957|29.16
education|20210715|3290|952|28.94
education|20210815|3306|965|29.19
education|20210915|3327|992|29.82
education|20211015|3330|1004|30.15
education|20211115|3338|1007|30.17
education|20211215|3361|1013|30.14
education|20220115|3369|998|29.62
education|20220215|3382|883|26.11
education|20220315|3388|992|29.28
education|20220415|3400|999|29.38
education|20220515|3412|989|28.99
education|20220615|3425|1009|29.46
education|20220715|3436|1017|29.60
education|20220815|3452|1016|29.43
education|20220915|3453|1019|29.51
education|20221015|3457|1009|29.19
education|20221115|3467|1012|29.19
education|20221215|3472|1028|29.61
education|20230115|3484|1030|29.56
education|20230215|3489|1031|29.55
education|20230315|3500|1030|29.43
education|20230415|3502|1025|29.27
education|20230515|3506|1017|29.01
education|20230615|3513|1023|29.12
education|20230715|3525|1013|28.74
education|20230815|3527|1028|29.15
education|20230915|3535|856|24.21
education|20231015|3542|856|24.17
education|20231115|3551|859|24.19
education|20231215|3555|863|24.28
education|20240115|3558|864|24.28
education|20240215|3569|866|24.26
education|20240315|3582|876|24.46
education|20240415|3583|868|24.23
education|20240515|3592|875|24.36
education|20240615|3608|880|24.39
government|20140615|1089|291|26.72
government|20140715|1093|251|22.96
government|20140815|1101|256|23.25
government|20140915|1110|327|29.46
government|20141015|1114|336|30.16
government|20141115|1117|307|27.48
government|20141215|1123|303|26.98
government|20150115|1126|307|27.26
government|20150215|1131|312|27.59
government|20150315|1129|312|27.64
government|20150415|1132|314|27.74
government|20150515|1133|323|28.51
government|20150615|1135|278|24.49
government|20150715|1144|280|24.48
government|20150815|1148|358|31.18
government|20150915|1157|357|30.86
government|20151015|1162|351|30.21
government|20151115|1171|282|24.08
government|20151215|1177|286|24.30
government|20160115|1189|366|30.78
government|20160215|1200|360|30.00
government|20160315|1201|364|30.31
government|20160415|1205|369|30.62
government|20160515|1215|368|30.29
government|20160615|1218|373|30.62
government|20160715|1228|370|30.13
government|20160815|1236|374|30.26
government|20160915|1245|372|29.88
government|20161015|1252|373|29.79
government|20161115|1265|372|29.41
government|20161215|1274|374|29.36
government|20170115|1274|376|29.51
government|20170215|1285|321|24.98
government|20170315|1288|329|25.54
government|20170415|1294|331|25.58
government|20170515|1306|331|25.34
government|20170615|1305|330|25.29
government|20170715|1310|327|24.96
government|20170815|1317|329|24.98
government|20170915|1327|335|25.24
government|20171015|1329|326|24.53
government|20171115|1335|331|24.79
government|20171215|1340|336|25.07
government|20180115|1347|333|24.72
government|20180215|1355|337|24.87
government|20180315|1361|339|24.91
government|20180415|1368|346|25.29
government|20180515|1370|349|25.47
government|20180615|1378|349|25.33
government|20180715|1385|352|25.42
government|20180815|1393|359|25.77
government|20180915|1401|364|25.98
government|20181015|1411|364|25.80
government|20181115|1417|360|25.41
government|20181215|1422|360|25.32
government|20190115|1427|358|25.09
government|20190215|1435|362|25.23
government|20190315|1443|357|24.74
government|20190415|1456|396|27.20
government|20190515|1458|404|27.71
government|20190615|1468|404|27.52
government|20190715|1476|406|27.51
government|20190815|1480|409|27.64
government|20190915|1490|409|27.45
government|20191015|1499|406|27.08
government|20191115|1506|409|27.16
government|20191215|1517|415|27.36
government|20200115|1532|400|26.11
government|20200215|1540|406|26.36
government|20200315|1551|431|27.79
government|20200415|1554|433|27.86
government|20200515|1563|437|27.96
government|20200615|1578|437|27.69
government|20200715|1584|439|27.71
government|20200815|1600|444|27.75
government|20200915|1606|449|27.96
government|20201015|1615|445|27.55
government|20201115|1627|452|27.78
government|20201215|1631|460|28.20
government|20210115|1637|456|27.86
government|20210215|1644|456|27.74
government|20210315|1655|451|27.25
government|20210415|1666|455|27.31
government|20210515|1679|454|27.04
government|20210615|1686|456|27.05
government|20210715|1691|461|27.26
government|20210815|1694|466|27.51
government|20210915|1701|475|27.92
government|20211015|1704|468|27.46
government|20211115|1714|470|27.42
government|20211215|1724|475|27.55
government|20220115|1732|480|27.71
government|20220215|1738|465|26.75
government|20220315|1734|473|27.28
government|20220415|1744|469|26.89
government|20220515|1752|466|26.60
government|20220615|1756|468|26.65
government|20220715|1759|471|26.78
government|20220815|1768|475|26.87
government|20220915|1776|476|26.80
government|20221015|1775|475|26.76
government|20221115|1782|472|26.49
government|20221215|1789|476|26.61
government|20230115|1792|473|26.40
government|20230215|1801|480|26.65
government|20230315|1805|485|26.87
government|20230415|1817|494|27.19
government|20230515|1816|496|27.31
government|20230615|1824|506|27.74
government|20230715|1831|509|27.80
government|20230815|1836|507|27.61
government|20230915|1841|480|26.07
government|20231015|1848|480|25.97
government|20231115|1856|481|25.92
government|20231215|1862|481|25.83
government|20240115|1863|480|25.76
government|20240215|1874|484|25.83
government|20240315|1888|490|25.95
government|20240415|1897|496|26.15
government|20240515|1911|496|25.95
