#data|internet|business|education|government|hosting|isp|none
20140615|529096|57944|23132|10416|77246|278269|82089
20140715|534337|58142|21883|10276|78116|284091|81829
20140815|535811|57735|22096|10508|79109|284378|81985
20140915|549355|59924|23665|11014|80367|291350|83035
20141015|551351|60000|23903|11092|81088|292699|82569
20141115|555215|60392|24326|10884|81404|296590|81619
20141215|554963|60643|20472|10875|83059|298399|81515
20150115|556395|59780|20530|10899|85182|298728|81276
20150215|562265|60187|20580|11013|86140|302911|81434
20150315|566412|60706|20836|11197|88199|304082|81392
20150415|571750|61381|20806|11324|88848|308110|81281
20150515|576767|62090|21442|11369|90936|310051|80879
20150615|578525|62983|20090|11208|91165|311873|81206
20150715|579747|62160|20039|11171|93410|312210|80757
20150815|592542|63154|24834|11477|95159|317044|80874
20150915|596666|63248|24938|11617|95625|320063|81175
20151015|599395|63782|24949|11533|97485|320380|81266
20151115|600644|63834|23579|11129|98470|322544|81088
20151215|607583|64056|23658|11175|99794|327679|81221
20160115|613416|65310|25294|11574|100794|328619|81825
20160215|619880|65388|25435|11582|101777|333589|82109
20160315|620264|66029|25567|11601|102544|333342|81181
20160415|628134|66399|25799|11722|104241|338494|81479
20160515|628071|66937|25867|11685|105336|336910|81336
20160615|634415|67631|26381|11719|107011|340665|81008
20160715|641659|68513|28254|11764|108885|343484|80759
20160815|648294|69300|28588|11801|110069|348026|80510
20160915|656107|69391|26268|11791|110599|357745|80313
20161015|659532|69304|26521|11661|111849|360448|79749
20161115|667599|70031|26945|11711|113128|366532|79252
20161215|672050|70153|27101|11963|114242|370188|78403
20170115|668708|70506|26832|11663|114833|366652|78222
20170215|680389|70342|26376|11347|116370|378412|77542
20170315|683933|71779|26487|11467|118019|378590|77591
20170415|688921|72184|26839|11515|119478|381791|77114
20170515|693799|72732|26902|11657|120505|385440|76563
20170615|698837|73151|26809|11777|122312|388639|76149
20170715|700565|73213|26845|11896|123101|389460|76050
20170815|723696|74208|26921|11964|124220|410691|75692
20170915|721040|75279|27008|12085|125680|405739|75249
20171015|737940|77199|27044|12047|127353|419722|74575
20171115|736933|76807|27100|12182|130481|416835|73528
20171215|745471|76122|27165|12305|129794|427391|72694
20180115|730661|75967|27339|12142|130027|412070|73116
20180215|735475|76427|27449|12386|132062|414666|72485
20180315|751214|77384|27408|12469|134682|427158|72113
20180415|762286|79186|27785|12605|138238|432624|71848
20180515|762279|79760|27552|12840|138304|432556|71267
20180615|766546|80754|27516|12763|140975|434254|70284
20180715|767546|81062|27546|13013|140584|436015|69326
20180815|774769|79965|27451|13328|141967|442094|69964
20180915|786527|80214|27624|13262|143500|452574|69353
20181015|795608|80925|28044|13404|145595|458501|69139
20181115|798783|81087|28094|13448|147302|459718|69134
20181215|802253|81927|27997|13534|148577|461555|68663
20190115|798279|81828|28477|13591|149714|456535|68134
20190215|799621|81768|28590|13667|150720|456588|68288
20190315|805661|82846|28797|13675|151655|460723|67965
20190415|808090|83028|28793|14929|153472|459549|68319
20190515|819720|83281|27357|15033|155488|468293|70268
20190615|822828|83696|26359|15245|157080|470085|70363
20190715|830173|84419|26848|15098|158812|475171|69825
20190815|833947|84773|27013|15160|159662|477650|69689
20190915|832490|84834|26952|15169|160813|475005|69717
20191015|842129|86095|29521|15036|162554|481139|67784
20191115|846464|86501|29294|15088|165062|483092|67427
20191215|859946|86872|28956|15000|165540|496012|67566
20200115|852895|87095|28581|15061|167266|486441|68451
20200215|859616|87373|28563|15012|168084|491097|69487
20200315|871131|88303|29577|15459|170720|498208|68864
20200415|874700|88643|29747|15393|171629|500521|68767
20200515|875748|88449|29988|15526|172721|501502|67562
20200615|893139|88888|30021|15932|174735|516283|67280
20200715|888753|89428|29841|15950|175520|511213|66801
20200815|889592|90336|29873|15867|176924|515870|60722
20200915|896966|90563|29976|15985|179037|521301|60104
20201015|893373|91392|30396|15982|179906|518536|57161
20201115|897724|91590|30302|16207|180886|522270|56469
20201215|898904|92395|30368|16481|183049|523968|52643
20210115|903650|93255|30294|16398|184183|527666|51854
20210215|911964|94132|30389|16545|187238|527185|56475
20210315|917485|94722|30333|16670|189019|532371|54370
20210415|923938|95289|30429|16905|190095|538654|52566
20210515|926348|95497|30830|17059|191605|540494|50863
20210615|929885|95669|30719|17131|193784|542570|50012
20210715|930838|95849|30532|17207|194052|543779|49419
20210815|934798|96135|30709|17107|196155|546546|48146
20210915|942735|96566|31070|18115|197919|552151|46914
20211015|948482|98711|30876|19211|199098|554900|45686
20211115|961653|97071|30684|20068|201425|567611|44794
20211215|978970|96823|30812|20556|202457|585190|43132
20220115|962743|96265|30706|20667|203610|568672|42823
20220215|960018|95777|30365|20598|205027|565733|42518
20220315|961019|96241|30687|20696|205802|565525|42068
20220415|967844|96460|30827|20695|206936|572540|40386
20220515|962570|97087|30177|20761|206787|567771|39987
20220615|970916|97086|30823|20740|209913|573894|38460
20220715|977024|97592|30958|20888|213911|575700|37975
20220815|979064|97829|31050|20879|214237|577790|37279
20220915|987033|98337|31018|21078|216743|583423|36434
20221015|984983|98423|31102|21867|217595|582045|33951
20221115|990048|98512|31148|21966|219046|585992|33384
20221215|997174|98772|31204|22029|220291|591899|32979
20230115|993433|99166|31231|21974|220777|588338|31947
20230215|995142|99236|31311|22105|222400|589372|30718
20230315|990305|99618|31333|22224|223340|583891|29899
20230415|995358|100170|31313|22604|225343|586833|29095
20230515|996917|100220|31296|22406|226225|589058|27704
20230615|1002446|100501|31391|22595|227985|593033|26941
20230715|1002453|100443|31385|23734|229152|591343|24789
20230815|1006146|100877|31442|24061|230803|595235|23720
20230915|1011966|101620|30646|23969|233780|600227|21717
20231015|1012748|101972|30718|24189|235628|599320|20914
20231115|1018174|102611|30851|24361|236772|603067|20505
20231215|1027957|103101|30996|24723|237769|611981|19380
20240115|1033896|103531|31009|24707|239001|617304|18344
20240215|1033904|103785|31010|25010|239668|621235|17726
20240315|1059441|104072|31286|25422|241351|637624|16831
20240415|1043026|103943|31303|25791|243415|625852|14711
20240515|1039496|104449|31539|26085|244586|628010|13817
20240615|1042385|104601|31699|26154|246004|634053|12862

