region|date|from1to24|from25to49|from50to74|from75to100
afrinic|20140615|5|22|116|149
afrinic|20140715|5|19|121|155
afrinic|20140815|5|22|122|146
afrinic|20140915|8|21|129|141
afrinic|20141015|6|23|122|140
afrinic|20141115|5|20|130|140
afrinic|20141215|6|20|118|136
afrinic|20150115|5|19|118|145
afrinic|20150215|5|20|117|144
afrinic|20150315|5|23|126|142
afrinic|20150415|5|22|128|144
afrinic|20150515|4|25|122|139
afrinic|20150615|2|28|128|141
afrinic|20150715|4|29|118|139
afrinic|20150815|2|27|137|140
afrinic|20150915|2|25|136|152
afrinic|20151015|2|28|142|151
afrinic|20151115|2|23|153|146
afrinic|20151215|3|28|150|140
afrinic|20160115|4|23|158|147
afrinic|20160215|7|31|147|144
afrinic|20160315|6|34|143|149
afrinic|20160415|6|32|143|156
afrinic|20160515|7|32|149|144
afrinic|20160615|5|29|146|160
afrinic|20160715|5|29|147|162
afrinic|20160815|4|40|154|205
afrinic|20160915|4|40|155|209
afrinic|20161015|5|35|156|215
afrinic|20161115|5|42|149|223
afrinic|20161215|5|38|152|225
afrinic|20170115|5|39|153|219
afrinic|20170215|4|38|160|215
afrinic|20170315|8|31|171|218
afrinic|20170415|8|39|160|217
afrinic|20170515|6|36|147|241
afrinic|20170615|6|48|147|241
afrinic|20170715|11|39|161|227
afrinic|20170815|10|40|154|255
afrinic|20170915|11|42|162|252
afrinic|20171015|9|51|159|250
afrinic|20171115|7|47|148|270
afrinic|20171215|8|41|145|258
afrinic|20180115|5|36|159|247
afrinic|20180215|5|36|164|238
afrinic|20180315|6|37|153|271
afrinic|20180415|8|45|178|261
afrinic|20180515|11|36|168|265
afrinic|20180615|9|43|174|272
afrinic|20180715|11|44|181|265
afrinic|20180815|14|33|173|296
afrinic|20180915|11|47|157|303
afrinic|20181015|12|45|154|306
afrinic|20181115|11|48|157|310
afrinic|20181215|9|41|159|299
afrinic|20190115|7|49|175|293
afrinic|20190215|16|49|153|299
afrinic|20190315|14|47|173|293
afrinic|20190415|11|41|161|303
afrinic|20190515|14|40|169|302
afrinic|20190615|17|35|168|303
afrinic|20190715|15|45|167|301
afrinic|20190815|15|38|177|305
afrinic|20190915|13|36|178|299
afrinic|20191015|15|36|169|311
afrinic|20191115|16|41|184|318
afrinic|20191215|15|42|180|299
afrinic|20200115|13|45|174|311
afrinic|20200215|12|45|178|302
afrinic|20200315|16|46|176|303
afrinic|20200415|12|50|184|306
afrinic|20200515|14|46|176|324
afrinic|20200615|12|44|174|349
afrinic|20200715|11|54|172|331
afrinic|20200815|10|45|174|357
afrinic|20200915|13|52|176|347
afrinic|20201015|20|52|181|349
afrinic|20201115|18|44|173|361
afrinic|20201215|15|51|171|371
afrinic|20210115|17|44|170|365
afrinic|20210215|14|47|175|365
afrinic|20210315|15|48|167|374
afrinic|20210415|14|47|169|384
afrinic|20210515|14|47|177|389
afrinic|20210615|15|47|185|380
