region|date|baixa|media|alta
afrinic|20140615|24|82|186
afrinic|20140715|19|92|189
afrinic|20140815|21|92|182
afrinic|20140915|24|96|179
afrinic|20141015|24|85|182
afrinic|20141115|23|84|188
afrinic|20141215|24|84|172
afrinic|20150115|22|82|183
afrinic|20150215|21|85|180
afrinic|20150315|23|100|173
afrinic|20150415|24|95|180
afrinic|20150515|27|90|173
afrinic|20150615|26|94|179
afrinic|20150715|25|92|173
afrinic|20150815|20|108|178
afrinic|20150915|21|105|189
afrinic|20151015|24|106|193
afrinic|20151115|19|120|185
afrinic|20151215|27|114|180
afrinic|20160115|24|119|189
afrinic|20160215|32|118|179
afrinic|20160315|36|114|182
afrinic|20160415|33|121|183
afrinic|20160515|35|121|176
afrinic|20160615|29|119|192
afrinic|20160715|31|117|195
afrinic|20160815|41|115|247
afrinic|20160915|40|110|258
afrinic|20161015|37|116|258
afrinic|20161115|44|109|266
afrinic|20161215|42|103|275
afrinic|20170115|43|107|266
afrinic|20170215|40|110|267
afrinic|20170315|36|121|271
afrinic|20170415|43|115|266
afrinic|20170515|36|110|284
afrinic|20170615|44|106|292
afrinic|20170715|45|123|270
afrinic|20170815|46|106|307
afrinic|20170915|46|117|304
afrinic|20171015|55|108|306
afrinic|20171115|51|100|321
afrinic|20171215|47|99|306
afrinic|20180115|38|100|309
afrinic|20180215|39|103|301
afrinic|20180315|38|105|324
afrinic|20180415|45|115|332
afrinic|20180515|42|117|321
afrinic|20180615|47|122|329
afrinic|20180715|47|129|325
afrinic|20180815|44|109|363
afrinic|20180915|53|110|355
afrinic|20181015|52|110|355
afrinic|20181115|54|117|355
afrinic|20181215|47|121|340
afrinic|20190115|49|137|338
afrinic|20190215|58|122|337
afrinic|20190315|53|130|344
afrinic|20190415|44|127|345
afrinic|20190515|49|131|345
afrinic|20190615|45|126|352
afrinic|20190715|56|122|350
afrinic|20190815|46|134|355
afrinic|20190915|42|136|348
afrinic|20191015|47|124|360
afrinic|20191115|49|130|380
afrinic|20191215|51|132|353
afrinic|20200115|50|132|361
afrinic|20200215|50|134|353
afrinic|20200315|57|127|357
afrinic|20200415|52|131|369
