#as_type|date|from1to24|from25to49|from50to74|from75to100
business|20140615|123|398|1456|1584
business|20140715|129|416|1490|1601
business|20140815|133|408|1511|1620
business|20140915|128|427|1511|1643
business|20141015|118|444|1512|1638
business|20141115|120|431|1526|1671
business|20141215|121|446|1539|1686
business|20150115|124|450|1520|1723
business|20150215|125|462|1540|1723
business|20150315|129|468|1580|1700
business|20150415|121|477|1594|1718
business|20150515|129|467|1587|1737
business|20150615|139|470|1580|1739
business|20150715|140|472|1610|1709
business|20150815|143|465|1633|1718
business|20150915|144|484|1651|1737
business|20151015|150|473|1666|1737
business|20151115|146|477|1671|1794
business|20151215|147|472|1699|1786
business|20160115|147|476|1729|1795
business|20160215|150|472|1758|1808
business|20160315|151|478|1780|1815
business|20160415|155|479|1803|1825
business|20160515|155|479|1844|1837
business|20160615|166|476|1842|1874
business|20160715|167|488|1843|1880
business|20160815|164|492|1859|1915
business|20160915|158|497|1888|1918
business|20161015|157|488|1886|1902
business|20161115|160|487|1907|1897
business|20161215|162|504|1914|1890
business|20170115|163|517|1934|1900
business|20170215|160|523|1958|1927
business|20170315|164|516|1966|1943
business|20170415|164|522|1967|1986
business|20170515|166|533|1998|1998
business|20170615|165|537|2004|2003
business|20170715|169|533|2039|1979
business|20170815|175|537|2047|2030
business|20170915|183|544|2048|2043
business|20171015|189|535|2066|2042
business|20171115|190|550|2067|2121
business|20171215|184|563|2085|2082
business|20180115|187|573|2085|2075
business|20180215|183|575|2104|2084
business|20180315|180|595|2115|2098
business|20180415|184|589|2144|2141
business|20180515|186|591|2121|2174
business|20180615|191|605|2134|2169
business|20180715|196|580|2153|2193
business|20180815|205|580|2153|2198
business|20180915|201|588|2164|2176
business|20181015|204|605|2173|2197
business|20181115|204|615|2167|2245
business|20181215|200|626|2187|2257
business|20190115|205|640|2180|2269
business|20190215|206|642|2152|2322
business|20190315|223|643|2183|2332
business|20190415|217|611|2185|2326
business|20190515|215|640|2218|2301
business|20190615|216|649|2242|2296
business|20190715|221|636|2249|2300
business|20190815|221|651|2260|2311
business|20190915|222|665|2271|2338
business|20191015|222|655|2293|2366
business|20191115|224|675|2248|2458
business|20191215|227|676|2333|2368
business|20200115|223|678|2352|2383
business|20200215|224|694|2335|2390
business|20200315|234|695|2365|2412
business|20200415|230|684|2368|2471
business|20200515|236|687|2398|2452
business|20200615|236|694|2394|2468
business|20200715|231|709|2393|2482
business|20200815|243|702|2408|2519
business|20200915|246|705|2401|2513
business|20201015|250|689|2433|2543
business|20201115|246|706|2452|2566
business|20201215|253|712|2440|2617
business|20210115|250|694|2434|2622
business|20210215|250|704|2464|2627
business|20210315|248|718|2439|2651
business|20210415|257|770|2285|2797
business|20210515|253|734|2455|2642
business|20210615|256|717|2481|2632
business|20210715|256|699|2484|2643
business|20210815|257|710|2467|2626
business|20210915|253|715|2486|2653
business|20211015|246|723|2510|2676
business|20211115|242|721|2530|2648
business|20211215|244|750|2361|2803
business|20220115|247|743|2364|2838
business|20220215|243|748|2388|2852
business|20220315|235|726|2490|2756
business|20220415|228|713|2571|2686
business|20220515|235|715|2577|2686
business|20220615|246|691|2550|2774
business|20220715|248|699|2549|2849
business|20220815|257|745|2362|2974
business|20220915|266|748|2375|2982
business|20221015|262|733|2405|2946
business|20221115|247|697|2558|2790
business|20221215|249|711|2531|2808
business|20230115|255|689|2559|2803
business|20230215|250|691|2600|2788
business|20230315|252|699|2598|2761
business|20230415|255|724|2561|2804
business|20230515|268|742|2522|2836
business|20230615|257|695|2592|2813
business|20230715|257|694|2572|2821
business|20230815|270|716|2605|2908
business|20230915|264|730|2614|2913
business|20231015|254|744|2596|2924
business|20231115|251|732|2608|2898
business|20231215|247|734|2612|2882
business|20240115|253|744|2604|2884
business|20240215|251|714|2614|2844
business|20240315|253|725|2610|2881
business|20240415|239|752|2625|2928
business|20240515|250|769|2625|2938
business|20240615|247|786|2606|2956
education|20140615|3|45|236|423
education|20140715|4|41|234|422
education|20140815|6|41|242|418
education|20140915|5|46|250|437
education|20141015|3|50|241|437
education|20141115|4|52|250|431
education|20141215|7|52|246|437
education|20150115|6|55|240|451
education|20150215|5|58|238|452
education|20150315|5|59|230|454
education|20150415|4|63|230|456
education|20150515|3|64|235|452
education|20150615|7|58|235|458
education|20150715|10|55|238|450
education|20150815|9|56|239|449
education|20150915|8|55|241|450
education|20151015|10|58|246|448
education|20151115|10|54|246|457
education|20151215|9|51|245|462
education|20160115|10|55|245|460
education|20160215|6|55|247|470
education|20160315|7|56|239|475
education|20160415|6|57|239|470
education|20160515|9|57|234|475
education|20160615|9|50|236|476
education|20160715|7|56|233|472
education|20160815|8|51|241|477
education|20160915|8|49|250|479
education|20161015|9|41|247|482
education|20161115|7|48|244|484
education|20161215|11|41|250|484
education|20170115|11|43|248|482
education|20170215|9|46|252|484
education|20170315|10|49|254|486
education|20170415|10|46|253|482
education|20170515|8|40|257|489
education|20170615|9|48|247|496
education|20170715|10|47|236|497
education|20170815|10|46|246|503
education|20170915|9|42|248|515
education|20171015|12|42|245|524
education|20171115|8|44|248|530
education|20171215|11|44|251|514
education|20180115|11|41|237|531
education|20180215|10|45|245|527
education|20180315|10|49|239|537
education|20180415|11|49|262|530
education|20180515|10|53|248|536
education|20180615|13|49|257|532
education|20180715|12|50|241|542
education|20180815|12|51|242|535
education|20180915|12|48|258|530
education|20181015|11|55|260|546
education|20181115|9|55|268|528
education|20181215|11|58|256|539
education|20190115|10|59|270|540
education|20190215|9|65|255|543
education|20190315|9|61|268|546
education|20190415|10|58|275|541
education|20190515|9|60|273|541
education|20190615|10|61|276|535
education|20190715|9|63|276|549
education|20190815|10|65|275|537
education|20190915|8|64|285|547
education|20191015|9|66|287|535
education|20191115|10|71|279|543
education|20191215|9|67|283|534
education|20200115|11|64|291|536
education|20200215|11|66|292|533
education|20200315|14|61|294|530
education|20200415|13|60|298|528
education|20200515|13|60|299|527
education|20200615|14|64|295|521
education|20200715|15|58|304|527
education|20200815|14|66|291|537
education|20200915|17|54|287|546
education|20201015|16|58|280|553
education|20201115|18|53|279|540
education|20201215|13|59|280|548
education|20210115|14|59|285|538
education|20210215|11|59|279|545
education|20210315|15|50|274|559
education|20210415|15|58|278|556
education|20210515|18|54|269|560
education|20210615|14|58|272|558
education|20210715|14|56|271|553
education|20210815|14|58|274|552
education|20210915|13|64|264|560
education|20211015|15|54|279|565
education|20211115|17|49|298|558
education|20211215|13|55|272|571
education|20220115|15|57|284|568
education|20220215|14|57|281|576
education|20220315|14|50|296|573
education|20220415|14|54|288|567
education|20220515|13|60|288|565
education|20220615|15|54|293|576
education|20220715|16|55|295|588
education|20220815|15|59|279|587
education|20220915|17|61|272|592
education|20221015|18|64|264|596
education|20221115|16|58|270|601
education|20221215|16|54|267|607
education|20230115|17|54|266|595
education|20230215|14|53|261|605
education|20230315|14|54|263|601
education|20230415|16|54|272|600
education|20230515|14|56|275|597
education|20230615|14|60|280|607
education|20230715|12|61|284|588
education|20230815|13|61|296|590
education|20230915|13|60|304|586
education|20231015|14|62|299|588
education|20231115|14|60|296|585
education|20231215|13|64|289|576
education|20240115|16|60|294|585
education|20240215|15|62|285|588
education|20240315|13|61|298|592
education|20240415|15|59|287|608
education|20240515|16|63|273|606
education|20240615|14|68|273|601
government|20140615|6|28|118|163
