as_type|date|baixa|media|alta
business|20140615|449|1054|2058
business|20140715|471|1078|2087
business|20140815|460|1106|2106
business|20140915|472|1105|2132
business|20141015|476|1096|2140
business|20141115|462|1106|2180
business|20141215|486|1104|2202
business|20150115|490|1085|2242
business|20150215|495|1113|2242
business|20150315|503|1144|2230
business|20150415|496|1145|2269
business|20150515|496|1154|2270
business|20150615|505|1145|2278
business|20150715|513|1150|2268
business|20150815|515|1170|2274
business|20150915|530|1194|2292
business|20151015|521|1196|2309
business|20151115|528|1188|2372
business|20151215|525|1214|2365
business|20160115|532|1237|2378
business|20160215|528|1243|2417
business|20160315|528|1258|2438
business|20160415|540|1286|2436
business|20160515|535|1317|2463
business|20160615|544|1318|2496
business|20160715|552|1332|2494
business|20160815|556|1338|2536
business|20160915|555|1343|2563
business|20161015|561|1369|2503
business|20161115|566|1391|2494
business|20161215|579|1395|2496
business|20170115|591|1394|2529
business|20170215|596|1398|2574
business|20170315|604|1409|2576
business|20170415|607|1404|2628
business|20170515|608|1428|2659
business|20170615|604|1428|2677
business|20170715|604|1457|2659
business|20170815|622|1448|2719
business|20170915|634|1480|2704
business|20171015|633|1496|2703
business|20171115|651|1496|2781
business|20171215|649|1516|2749
business|20180115|660|1501|2759
business|20180215|655|1498|2793
business|20180315|669|1525|2794
business|20180415|668|1554|2836
business|20180515|671|1545|2856
business|20180615|693|1541|2865
business|20180715|681|1533|2908
business|20180815|695|1530|2911
business|20180915|692|1556|2881
business|20181015|712|1561|2906
business|20181115|720|1536|2975
business|20181215|722|1554|2994
business|20190115|741|1560|2993
business|20190215|750|1529|3043
business|20190315|770|1556|3055
business|20190415|736|1535|3068
business|20190515|755|1575|3044
business|20190615|758|1581|3064
business|20190715|747|1594|3065
business|20190815|758|1586|3099
business|20190915|772|1603|3121
business|20191015|757|1604|3175
business|20191115|770|1624|3211
business|20191215|781|1657|3166
business|20200115|773|1661|3202
business|20200215|783|1680|3180
business|20200315|782|1688|3236
business|20200415|773|1682|3298
