#region|date|from1to24|from25to49|from50to74|from75to100
afrinic|20140615|26|22|40|151
afrinic|20140715|28|20|39|156
afrinic|20140815|29|20|43|154
afrinic|20140915|30|17|37|163
afrinic|20141015|25|18|37|155
afrinic|20141115|30|18|40|155
afrinic|20141215|22|14|38|146
afrinic|20150115|28|17|39|146
afrinic|20150215|31|20|34|143
afrinic|20150315|28|23|38|153
afrinic|20150415|30|26|38|154
afrinic|20150515|21|26|33|154
afrinic|20150615|19|34|33|163
afrinic|20150715|20|31|26|158
afrinic|20150815|19|30|34|165
afrinic|20150915|24|30|36|165
afrinic|20151015|27|27|36|170
afrinic|20151115|25|23|39|174
afrinic|20151215|24|22|40|175
afrinic|20160115|26|18|39|183
afrinic|20160215|23|16|41|185
afrinic|20160315|25|18|42|182
afrinic|20160415|26|22|43|185
afrinic|20160515|23|18|43|187
afrinic|20160615|25|20|42|180
afrinic|20160715|28|22|39|187
afrinic|20160815|34|30|45|213
afrinic|20160915|31|31|48|212
afrinic|20161015|37|30|42|208
afrinic|20161115|36|30|48|212
afrinic|20161215|36|35|53|209
afrinic|20170115|32|32|52|214
afrinic|20170215|31|37|45|216
afrinic|20170315|26|38|54|223
afrinic|20170415|29|34|41|234
afrinic|20170515|35|35|50|224
afrinic|20170615|37|39|56|237
afrinic|20170715|34|29|55|248
afrinic|20170815|41|41|54|233
afrinic|20170915|39|35|54|248
afrinic|20171015|47|38|41|256
afrinic|20171115|46|37|52|240
afrinic|20171215|45|34|59|221
afrinic|20180115|49|35|48|220
afrinic|20180215|48|35|54|219
afrinic|20180315|54|38|65|214
afrinic|20180415|38|33|60|280
afrinic|20180515|40|39|57|247
afrinic|20180615|36|35|64|274
afrinic|20180715|41|44|65|268
afrinic|20180815|39|43|64|260
afrinic|20180915|40|45|64|256
afrinic|20181015|44|46|59|245
afrinic|20181115|41|47|60|254
afrinic|20181215|36|39|63|252
afrinic|20190115|37|36|57|277
afrinic|20190215|39|35|60|267
afrinic|20190315|39|35|59|285
afrinic|20190415|39|38|64|253
afrinic|20190515|37|31|62|267
afrinic|20190615|30|30|61|291
afrinic|20190715|36|35|55|281
afrinic|20190815|35|29|59|280
afrinic|20190915|38|27|54|274
afrinic|20191015|40|32|66|272
afrinic|20191115|31|41|73|297
afrinic|20191215|25|38|72|286
afrinic|20200115|27|37|59|294
afrinic|20200215|32|32|58|293
afrinic|20200315|39|32|66|289
afrinic|20200415|37|36|81|289
afrinic|20200515|41|31|69|298
afrinic|20200615|43|36|71|294
afrinic|20200715|39|40|68|288
afrinic|20200815|38|46|69|296
afrinic|20200915|36|42|67|302
afrinic|20201015|37|42|76|325
afrinic|20201115|40|48|68|312
afrinic|20201215|35|49|67|307
afrinic|20210115|41|42|61|310
afrinic|20210215|37|50|67|308
afrinic|20210315|33|48|78|307
