asn|aspp_average|moreSpecific_average|selective_average
1|100.0||
2|||100.0
3|92.96|10.58|98.49
4||12.78|100.0
5|||100.0
8|100.0||
12|||50.0
13|50.0||
14|100.0||
17||33.33|
19|100.0|33.78|100.0
20|100.0||
26|100.0||
27|||75.24
32||50.0|91.18
38|||50.0
42|39.44||100.0
47|25.0|27.17|39.63
49|54.58|32.91|100.0
52||50.0|100.0
55|99.06||50.0
57|94.05||57.17
59|100.0||
62||16.93|75.92
70|100.0||99.55
71||5.41|49.06
72||33.33|100.0
73||50.0|50.0
81|||58.88
82||50.0|
85|100.0||
87||50.0|
88|100.0||
91|100.0||
101|73.19|23.06|91.65
102|||100.0
104|||100.0
109|3.7|9.23|100.0
111|||100.0
112|50.0||97.32
127|66.67|33.54|100.0
130|100.0||
137|95.73|3.85|75.0
156|100.0||
158|35.71||82.87
160|70.45||58.57
174|70.75|0.67|100.0
195|100.0|50.0|
202|||100.0
203|||50.0
209||4.16|77.02
210|71.11|11.11|67.35
224|50.0||56.98
226|100.0||100.0
229|100.0||
231||50.0|100.0
237||10.84|62.9
251|49.5|19.8|75.0
254|50.0||100.0
260|46.67||73.26
271|58.67|13.53|100.0
278|28.36|11.36|99.29
286|83.96|17.4|84.69
290|75.0|50.0|50.0
293|99.13|25.0|71.27
297|100.0||
300|50.0||100.0
302|100.0||50.0
375|100.0|50.0|100.0
376|100.0|12.39|85.83
400|100.0||
513|96.73|25.0|97.16
518|||50.0
545||47.62|89.29
549|||50.0
553|100.0|27.34|82.0
558|40.58||90.86
559|99.86|10.22|82.56
560||33.33|
577||10.0|93.97
600|||61.36
603|||100.0
668|25.0|32.21|62.9
680|96.26|7.26|42.8
681|51.56||50.0
683||33.33|32.41
693|100.0||
701||9.34|84.09
702||23.77|93.33
703||37.41|98.34
706|100.0||
714|4.39|7.35|100.0
715|13.4|13.57|53.45
719|25.0||
766|||79.72
786|||72.73
792|76.85||52.43
803||27.93|63.92
807|100.0||
812|78.86|14.12|88.59
833|||50.0
835|100.0||72.22
843||50.0|100.0
852|36.75|11.25|87.92
855||13.59|49.29
906|45.5||100.0
917|21.69|12.01|100.0
918||25.0|100.0
924|8.71||100.0
932|100.0||66.67
945|67.59|8.64|92.13
948|100.0|44.9|
949|10.71||99.83
950|||100.0
952|100.0||
955|84.17|5.19|84.57
959|||100.0
968|||90.0
969||30.16|66.67
970||50.0|
972|||100.0
976|||100.0
982|100.0||
984|||100.0
992||50.0|100.0
997||41.43|93.33
1001|100.0||
1002|100.0||
1003|23.53||100.0
1004|||100.0
1011|50.0||100.0
1012|60.0||95.25
1024|16.35||45.7
1025|||50.0
1030||33.33|100.0
1031||24.44|100.0
1050||19.42|83.39
1100||16.67|60.25
1101|||62.98
1103|89.74||63.45
1104|20.0|20.71|100.0
1120|||91.39
1126|100.0||
1132|100.0||
1133|||100.0
1136|65.52|28.87|75.17
1140|99.04|50.0|50.0
