#data|internet|afrinic|arin|apnic|lacnic|ripencc
20140615|8418|112|2141|1237|662|4266
20140715|8504|114|2166|1235|680|4309
20140815|8634|118|2190|1262|706|4358
20140915|8736|119|2202|1271|740|4404
20141015|8839|119|2219|1280|776|4445
20141115|8988|120|2246|1291|820|4511
20141215|9124|118|2264|1305|855|4582
20150115|9217|119|2305|1306|856|4631
20150215|9217|119|2305|1306|856|4631
20150315|9431|124|2339|1328|901|4739
20150415|9529|125|2332|1342|937|4793
20150515|9661|124|2364|1361|972|4840
20150615|9851|124|2416|1360|1035|4916
20150715|9962|130|2435|1381|1065|4951
20150815|10062|131|2468|1383|1109|4971
20150915|10143|127|2458|1383|1159|5016
20151015|10352|130|2492|1401|1217|5112
20151115|10573|130|2539|1442|1277|5185
20151215|10773|132|2572|1457|1368|5244
20160115|10884|135|2594|1463|1411|5281
20160215|10884|135|2594|1463|1411|5281
20160315|11287|138|2682|1520|1495|5452
20160415|11382|148|2678|1524|1544|5488
20160515|11551|140|2729|1536|1576|5570
20160615|11679|144|2723|1550|1632|5630
20160715|11879|154|2773|1565|1718|5669
20160815|12000|160|2787|1578|1750|5725
20160915|12125|169|2769|1620|1786|5781
20161015|12296|175|2824|1662|1802|5833
20161115|12383|184|2816|1661|1838|5884
20161215|12604|186|2867|1708|1903|5940
20170115|12664|183|2866|1701|1936|5978
20170215|12922|187|2900|1728|2051|6056
20170315|13082|190|2924|1744|2102|6122
20170415|13082|190|2924|1744|2102|6122
20170515|13308|189|2934|1765|2184|6236
20170615|13522|194|2986|1820|2224|6298
20170715|13522|194|2986|1820|2224|6298
20170815|13861|202|3091|1837|2350|6381
20170915|13861|202|3091|1837|2350|6381
20171015|14065|211|3143|1856|2435|6420
20171115|14454|223|3182|1901|2598|6550
20171215|14459|224|3187|1923|2585|6540
20180115|14575|225|3210|1946|2605|6589
20180215|14727|228|3214|1986|2666|6633
20180315|14800|228|3198|2000|2711|6663
20180415|14949|228|3221|2017|2762|6721
20180515|15133|227|3251|2053|2821|6781
20180615|15376|234|3272|2085|2918|6867
20180715|15733|240|3318|2156|3034|6985
20180815|15733|240|3318|2156|3034|6985
20180915|15815|265|3307|2218|3060|6965
20181015|15975|265|3345|2248|3123|6994
20181115|16113|271|3325|2273|3199|7045
20181215|16367|278|3354|2322|3299|7114
20190115|16441|273|3348|2337|3355|7128
20190215|16441|273|3348|2337|3355|7128
20190315|16682|277|3396|2366|3425|7218
20190415|16817|280|3402|2402|3473|7260
20190515|17076|284|3425|2433|3590|7344
20190615|17197|289|3433|2441|3665|7369
20190715|17197|289|3433|2441|3665|7369
20190815|17561|304|3464|2485|3859|7449
20190915|17561|304|3464|2485|3859|7449
20191015|18066|310|3518|2558|4067|7613
20191115|18203|312|3524|2569|4135|7663
20191215|18401|319|3539|2596|4222|7725
20200115|18680|326|3589|2625|4336|7804
20200215|18853|321|3602|2642|4424|7864
20200315|19006|324|3616|2650|4506|7910
20200415|19406|332|3627|2702|4718|8027
20200515|19657|336|3637|2729|4855|8100
20200615|19703|324|3639|2797|4896|8097
20200715|20220|341|3679|2803|5125|8272
20200815|20216|346|3673|2892|5116|8277
20200915|20698|351|3715|2980|5403|8364
20201015|20767|335|3722|3069|5457|8379
20201115|20973|338|3744|3157|5561|8440
20201215|21251|356|3754|3246|5689|8515
20210115|21440|390|3754|3334|5799|8550
20210215|21759|435|3792|3423|5899|8622
20210315|21978|443|3793|3511|6013|8698
20210415|22226|449|3815|3600|6129|8762
20210515|22498|454|3836|3689|6234|8849
20210615|23107|469|3881|3777|6428|8971
20210715|24021|464|3875|3866|6419|8916
20210815|25229|465|3899|3954|6517|8903
20210915|26550|472|3926|4043|6642|9010
20211015|27607|466|3936|4131|6666|9003
20211115|27730|483|3944|4220|6721|9042
20211215|28903|492|3940|4308|6815|9051
20220115|28090|485|3963|4397|6833|9088
20220215|28278|488|3985|4486|6914|9148
20220315|28576|490|4021|4574|7042|9207
20220415|28642|484|4041|4663|7074|9236
20220515|28760|489|4062|4751|7118|9277
20220615|28918|492|4087|4840|7151|9342
20220715|29194|497|4134|4928|7229|9430
20220815|29497|512|4171|5017|7322|9520
20220915|29619|493|4165|5105|7399|9562
20221015|29707|497|4154|5194|7476|9552
20221115|29979|498|4189|5282|7555|9611
20221215|30228|513|4211|5371|7614|9687
20230115|30385|523|4223|5460|7641|9743
20230215|30638|543|4246|5548|7697|9813
20230315|31113|550|4303|5637|7810|10002
20230415|31124|548|4300|5725|7830|9999
20230515|31275|544|4319|5814|7896|10050
20230615|31335|536|4348|5902|7925|10016
20230715|31452|542|4360|5991|7966|10067
20230815|31856|542|4392|6079|8070|10217
20230915|32309|559|4447|6168|8222|10346
20231015|32226|559|4431|6257|8128|10367
20231115|32246|558|4413|6345|8137|10391
20231215|32313|553|4435|6434|8173|10428
20240115|32540|556|4486|6522|8228|10467
20240215|32804|562|4536|6611|8297|10576
20240315|32956|541|4541|6699|8332|10664
20240415|33176|569|4558|6788|8375|10755
20240515|33381|575|4620|6876|8447|10792
20240615|33504|566|4638|6965|8472|10863
