#date|internet|business|education|government|hosting|isp|none
20140615|8418|1386|559|166|2256|2674|1377
20140715|8504|1407|554|171|2281|2714|1377
20140815|8634|1442|559|174|2308|2755|1396
20140915|8736|1477|563|180|2333|2783|1400
20141015|8839|1503|567|183|2363|2826|1397
20141115|8988|1540|569|183|2384|2897|1415
20141215|9124|1560|575|183|2409|2952|1445
20150115|9217|1592|577|183|2428|2985|1452
20150215|9217|1592|577|183|2428|2985|1452
20150315|9431|1621|580|183|2505|3062|1480
20150415|9529|1640|584|184|2528|3101|1492
20150515|9661|1661|590|181|2549|3147|1533
20150615|9851|1705|599|181|2590|3234|1542
20150715|9962|1714|596|184|2621|3291|1556
20150815|10062|1732|605|188|2636|3339|1562
20150915|10143|1719|602|184|2650|3402|1586
20151015|10352|1748|609|187|2699|3504|1605
20151115|10573|1800|610|196|2743|3589|1635
20151215|10773|1829|623|197|2771|3692|1661
20160115|10884|1846|630|200|2793|3744|1671
20160215|10884|1846|630|200|2793|3744|1671
20160315|11287|1921|642|205|2876|3903|1740
20160415|11382|1915|649|207|2911|3970|1730
20160515|11551|1948|657|214|2941|4039|1752
20160615|11679|1955|662|212|2965|4122|1763
20160715|11879|1993|666|218|3007|4203|1792
20160815|12000|2012|662|225|3046|4258|1797
20160915|12125|2028|662|221|3073|4338|1803
20161015|12296|2070|667|225|3123|4386|1825
20161115|12382|2075|670|227|3159|4438|1813
20161215|12603|2118|686|225|3197|4534|1843
20170115|12663|2130|686|222|3213|4565|1847
20170215|12921|2169|689|226|3255|4690|1892
20170315|13081|2198|691|226|3291|4780|1895
20170415|13081|2198|691|226|3291|4780|1895
20170515|13307|2240|698|227|3342|4891|1909
20170615|13521|2294|703|231|3373|4991|1929
20170715|13521|2294|703|231|3373|4991|1929
20170815|13860|2356|722|237|3437|5156|1952
20170915|13860|2356|722|237|3437|5156|1952
20171015|14064|2397|717|235|3479|5282|1954
20171115|14454|2468|723|239|3537|5491|1996
20171215|14459|2478|724|244|3574|5470|1969
20180115|14575|2500|734|244|3599|5521|1977
20180215|14727|2532|736|246|3627|5601|1985
20180315|14800|2543|745|249|3639|5642|1982
20180415|14949|2569|750|252|3684|5711|1983
20180515|15133|2594|756|254|3722|5813|1994
20180615|15376|2638|759|255|3763|5945|2016
20180715|15733|2687|768|261|3836|6110|2071
20180815|15733|2687|768|261|3836|6110|2071
20180915|15815|2735|778|259|3858|6180|2005
20181015|15975|2759|786|263|3874|6293|2000
20181115|16113|2776|785|261|3916|6369|2006
20181215|16367|2834|786|262|3959|6518|2008
20190115|16440|2845|788|265|3966|6583|1993
20190215|16440|2845|788|265|3966|6583|1993
20190315|16680|2913|791|268|4010|6728|1970
20190415|16814|2930|798|272|4029|6801|1984
20190515|17074|2970|812|274|4094|6932|1992
20190615|17195|2977|815|274|4134|7014|1981
20190715|17195|2977|815|274|4134|7014|1981
20190815|17559|3022|809|280|4189|7260|1999
20190915|17559|3022|809|280|4189|7260|1999
20191015|18064|3094|836|291|4278|7515|2050
20191115|18202|3121|835|299|4318|7586|2043
20191215|18400|3161|840|309|4352|7715|2023
20200115|18680|3207|839|313|4394|7850|2077
20200215|18853|3245|833|312|4433|7980|2050
20200315|19006|3252|842|312|4450|8117|2033
20200415|19404|3300|847|319|4510|8375|2053
20200515|19655|3337|851|321|4545|8571|2030
20200615|19702|3362|852|326|4543|8607|2012
20200715|20218|3450|855|333|4634|8892|2054
20200815|20214|3453|850|335|4665|8910|2001
20200915|20696|3516|859|335|4716|9201|2069
20201015|20766|3527|859|336|4745|9262|2037
20201115|20972|3584|868|343|4781|9381|2015
20201215|21250|3636|878|349|4820|9543|2024
20210115|21437|3643|888|356|4850|9692|2008
20210215|21756|3729|891|360|4899|9855|2022
20210315|21975|3774|890|357|4927|10017|2010
20210415|22224|3795|890|362|4987|10169|2021
20210515|22496|3844|897|361|5031|10313|2050
20210615|23009|3925|924|371|5083|10581|2125
20210715|22923|3951|936|374|5088|10527|2047
20210815|23130|3977|938|377|5126|10667|2045
20210915|23452|4049|945|378|5178|10839|2063
20211015|23508|4084|922|380|5215|10895|2012
20211115|23631|4118|928|382|5249|10968|1986
20211215|23805|4196|930|386|5273|11069|1951
20220115|23991|4297|928|384|5306|11134|1942
20220215|24180|4349|940|387|5350|11244|1910
20220315|24478|4427|953|394|5404|11388|1912
20220415|24545|4457|950|393|5403|11473|1869
20220515|24663|4499|953|395|5440|11532|1844
20220615|24821|4558|951|398|5472|11610|1832
20220715|25096|4626|964|403|5531|11743|1829
20220815|25398|4699|967|404|5593|11889|1846
20220915|25521|4725|954|407|5602|12016|1817
20221015|25608|4737|956|403|5620|12149|1743
20221115|25881|4814|962|406|5677|12301|1721
20221215|26130|4865|966|415|5720|12470|1694
20230115|26288|4908|968|416|5747|12585|1664
20230215|26541|4987|975|414|5781|12774|1610
20230315|27016|5093|1003|423|5856|12985|1656
20230415|27016|5093|1003|423|5856|12985|1656
20230515|27176|5166|999|426|5965|13154|1466
20230615|27237|5200|1003|428|5996|13210|1400
20230715|27354|5252|1002|432|6040|13300|1328
20230815|27759|5337|1005|432|6111|13526|1348
20230915|28212|5423|1017|437|6188|13764|1383
20231015|28128|5462|1020|434|6179|13708|1325
20231115|28148|5482|1020|434|6220|13753|1239
20231215|28215|5524|1025|438|6279|13850|1099
20240115|28443|5583|1036|436|6348|13987|1053
20240215|28707|5660|1043|437|6423|14114|1030
20240315|28858|5712|1039|438|6499|14209|961
20240415|29078|5815|1044|438|6580|14308|893
20240515|29283|5858|1043|446|6654|14440|842
20240615|29405|5959|1048|449|6696|14510|743
