#region|date|observed_ases|use_aspp
afrinic|20140615|112|6
afrinic|20140715|114|6
afrinic|20140815|118|6
afrinic|20140915|119|6
afrinic|20141015|119|6
afrinic|20141115|120|6
afrinic|20141215|118|5
afrinic|20150115|119|4
afrinic|20150215|119|4
afrinic|20150315|124|4
afrinic|20150415|125|6
afrinic|20150515|124|5
afrinic|20150615|124|5
afrinic|20150715|130|9
afrinic|20150815|131|9
afrinic|20150915|127|8
afrinic|20151015|130|8
afrinic|20151115|130|8
afrinic|20151215|132|8
afrinic|20160115|135|9
afrinic|20160215|135|9
afrinic|20160315|138|9
afrinic|20160415|148|9
afrinic|20160515|140|9
afrinic|20160615|144|8
afrinic|20160715|154|9
afrinic|20160815|160|9
afrinic|20160915|169|10
afrinic|20161015|175|11
afrinic|20161115|184|12
afrinic|20161215|186|12
afrinic|20170115|183|11
afrinic|20170215|187|11
afrinic|20170315|190|14
afrinic|20170415|190|14
afrinic|20170515|189|14
afrinic|20170615|194|14
afrinic|20170715|194|14
afrinic|20170815|202|13
afrinic|20170915|202|13
afrinic|20171015|211|11
afrinic|20171115|223|12
afrinic|20171215|224|13
afrinic|20180115|225|14
afrinic|20180215|228|16
afrinic|20180315|228|15
afrinic|20180415|228|13
afrinic|20180515|227|16
afrinic|20180615|234|15
afrinic|20180715|240|12
afrinic|20180815|240|12
afrinic|20180915|265|20
afrinic|20181015|265|17
afrinic|20181115|271|18
afrinic|20181215|278|18
afrinic|20190115|273|19
afrinic|20190215|273|19
afrinic|20190315|277|18
afrinic|20190415|280|18
afrinic|20190515|284|18
afrinic|20190615|289|18
afrinic|20190715|289|18
afrinic|20190815|304|21
afrinic|20190915|304|21
afrinic|20191015|310|24
afrinic|20191115|312|22
afrinic|20191215|319|26
afrinic|20200115|326|27
afrinic|20200215|321|25
afrinic|20200315|324|24
afrinic|20200415|332|30
afrinic|20200515|336|29
afrinic|20200615|324|27
afrinic|20200715|341|26
afrinic|20200815|346|33
afrinic|20200915|351|31
afrinic|20201015|335|31
afrinic|20201115|338|30
afrinic|20201215|356|35
afrinic|20210115|390|35
afrinic|20210215|435|34
afrinic|20210315|443|38
afrinic|20210415|449|38
afrinic|20210515|454|39
afrinic|20210615|469|37
afrinic|20210715|464|38
afrinic|20210815|465|39
afrinic|20210915|472|38
afrinic|20211015|466|40
afrinic|20211115|483|39
afrinic|20211215|492|42
afrinic|20220115|485|44
afrinic|20220215|488|42
afrinic|20220315|490|39
afrinic|20220415|484|36
afrinic|20220515|489|37
afrinic|20220615|492|41
afrinic|20220715|497|36
afrinic|20220815|512|40
afrinic|20220915|493|38
afrinic|20221015|497|44
