#type|date|observed_ases|use_aspp
business|20140615|1386|147
business|20140715|1407|155
business|20140815|1442|154
business|20140915|1477|156
business|20141015|1503|149
business|20141115|1540|158
business|20141215|1560|155
business|20150115|1592|160
business|20150215|1592|160
business|20150315|1621|167
business|20150415|1640|168
business|20150515|1661|170
business|20150615|1705|175
business|20150715|1714|182
business|20150815|1732|186
business|20150915|1719|185
business|20151015|1748|187
business|20151115|1800|187
business|20151215|1829|193
business|20160115|1846|201
business|20160215|1846|201
business|20160315|1921|210
business|20160415|1915|202
business|20160515|1948|209
business|20160615|1955|211
business|20160715|1993|213
business|20160815|2012|221
business|20160915|2028|224
business|20161015|2070|229
business|20161115|2075|232
business|20161215|2118|231
business|20170115|2130|234
business|20170215|2169|243
business|20170315|2198|238
business|20170415|2198|238
business|20170515|2240|243
business|20170615|2294|243
business|20170715|2294|243
business|20170815|2356|251
business|20170915|2356|251
business|20171015|2397|259
business|20171115|2468|275
business|20171215|2478|281
business|20180115|2500|277
business|20180215|2532|285
business|20180315|2543|309
business|20180415|2569|286
business|20180515|2594|290
business|20180615|2638|290
business|20180715|2687|306
business|20180815|2687|306
business|20180915|2735|314
business|20181015|2759|310
business|20181115|2776|325
business|20181215|2834|335
business|20190115|2845|328
business|20190215|2845|328
business|20190315|2913|335
business|20190415|2930|342
business|20190515|2970|345
business|20190615|2977|346
business|20190715|2977|346
business|20190815|3022|354
business|20190915|3022|354
business|20191015|3094|354
business|20191115|3121|368
business|20191215|3161|371
business|20200115|3207|375
business|20200215|3245|387
business|20200315|3252|355
business|20200415|3300|407
business|20200515|3337|412
business|20200615|3362|400
business|20200715|3450|427
business|20200815|3453|456
business|20200915|3516|476
business|20201015|3527|468
business|20201115|3584|459
business|20201215|3636|467
business|20210115|3643|471
business|20210215|3729|466
business|20210315|3774|473
business|20210415|3795|484
business|20210515|3844|493
business|20210615|3925|511
business|20210715|3951|499
business|20210815|3977|533
business|20210915|4049|508
business|20211015|4084|528
business|20211115|4118|523
business|20211215|4196|512
business|20220115|4297|536
business|20220215|4349|515
business|20220315|4427|548
business|20220415|4457|535
business|20220515|4499|549
business|20220615|4558|568
business|20220715|4626|564
business|20220815|4699|579
business|20220915|4725|590
business|20221015|4737|586
business|20221115|4814|593
business|20221215|4865|589
business|20230115|4908|591
business|20230215|4987|616
business|20230315|5093|593
business|20230415|5108|611
business|20230515|5166|633
business|20230615|5200|631
business|20230715|5252|646
business|20230815|5337|654
business|20230915|5423|670
business|20231015|5462|694
business|20231115|5482|696
business|20231215|5524|709
business|20240115|5583|713
business|20240215|5660|710
business|20240315|5712|717
business|20240415|5815|734
business|20240515|5858|736
business|20240615|5959|740
education|20140615|559|54
education|20140715|554|59
education|20140815|559|59
education|20140915|563|60
education|20141015|567|62
education|20141115|569|61
education|20141215|575|62
education|20150115|577|67
education|20150215|577|67
education|20150315|580|64
education|20150415|584|71
education|20150515|590|69
education|20150615|599|74
education|20150715|596|76
education|20150815|605|76
education|20150915|602|79
education|20151015|609|79
education|20151115|610|82
education|20151215|623|78
education|20160115|630|80
education|20160215|630|80
education|20160315|642|83
education|20160415|649|83
education|20160515|657|85
education|20160615|662|89
education|20160715|666|86
education|20160815|662|88
education|20160915|662|86
education|20161015|667|87
education|20161115|670|86
education|20161215|686|85
education|20170115|686|86
education|20170215|689|88
education|20170315|691|89
education|20170415|691|89
