region|date|tam_1|tam_2|tam_3|tam_4plus
afrinic|20140615|2|2|2|0
afrinic|20140715|2|1|3|0
afrinic|20140815|2|1|3|0
afrinic|20140915|2|1|3|0
afrinic|20141015|2|1|3|0
afrinic|20141115|2|1|3|0
afrinic|20141215|2|1|2|0
afrinic|20150115|2|1|1|0
afrinic|20150215|2|1|1|0
afrinic|20150315|2|1|1|0
afrinic|20150415|3|1|1|1
afrinic|20150515|2|1|1|1
afrinic|20150615|2|1|1|1
afrinic|20150715|2|4|2|1
afrinic|20150815|2|3|2|2
afrinic|20150915|3|2|2|1
afrinic|20151015|3|3|1|1
afrinic|20151115|2|3|1|2
afrinic|20151215|2|3|1|2
afrinic|20160115|2|3|2|2
afrinic|20160215|2|3|2|2
afrinic|20160315|2|3|2|2
afrinic|20160415|2|3|2|2
afrinic|20160515|2|3|2|2
afrinic|20160615|2|2|3|1
afrinic|20160715|2|2|3|2
afrinic|20160815|4|0|4|1
afrinic|20160915|5|0|4|1
afrinic|20161015|6|0|4|1
afrinic|20161115|6|1|4|1
afrinic|20161215|6|1|4|1
afrinic|20170115|5|1|4|1
afrinic|20170215|5|1|4|1
afrinic|20170315|6|3|3|2
afrinic|20170415|5|3|4|2
afrinic|20170515|5|3|4|2
afrinic|20170615|6|3|3|2
afrinic|20170715|6|3|3|2
afrinic|20170815|5|3|4|1
afrinic|20170915|1|2|0|1
afrinic|20171015|5|3|2|1
afrinic|20171115|6|3|2|1
afrinic|20171215|6|4|2|1
afrinic|20180115|7|4|2|1
afrinic|20180215|8|4|3|1
afrinic|20180315|9|3|2|1
afrinic|20180415|6|2|4|1
afrinic|20180515|6|3|6|1
afrinic|20180615|6|3|6|1
afrinic|20180715|6|2|3|1
afrinic|20180815|9|5|5|1
afrinic|20180915|9|5|5|1
afrinic|20181015|5|5|5|2
afrinic|20181115|4|5|5|4
afrinic|20181215|5|7|3|3
afrinic|20190115|5|7|4|3
afrinic|20190215|5|7|4|3
afrinic|20190315|6|6|4|2
afrinic|20190415|5|6|5|2
afrinic|20190515|4|6|6|2
afrinic|20190615|5|6|5|2
afrinic|20190715|7|5|6|3
afrinic|20190815|7|5|6|3
afrinic|20190915|7|5|6|3
afrinic|20191015|9|4|7|4
afrinic|20191115|9|3|9|5
afrinic|20191215|9|3|9|5
afrinic|20200115|9|4|9|5
afrinic|20200215|9|3|7|6
afrinic|20200315|9|5|6|4
afrinic|20200415|13|6|7|4
afrinic|20200515|14|4|7|4
afrinic|20200615|12|6|6|3
afrinic|20200715|11|5|7|3
afrinic|20200815|11|5|7|3
afrinic|20200915|11|5|7|3
afrinic|20201015|13|6|8|3
afrinic|20201115|13|6|8|3
afrinic|20201215|13|6|8|3
afrinic|20210115|13|9|7|5
afrinic|20210215|13|9|7|5
afrinic|20210315|17|9|6|6
afrinic|20210415|17|8|8|6
afrinic|20210515|17|8|8|6
afrinic|20210615|17|8|6|6
afrinic|20210715|18|8|7|5
afrinic|20210815|19|9|6|5
afrinic|20210915|15|10|8|5
afrinic|20211015|16|10|9|5
afrinic|20211115|17|10|7|5
afrinic|20211215|16|12|8|6
afrinic|20220115|20|11|8|5
afrinic|20220215|18|12|7|5
afrinic|20220315|15|13|6|5
afrinic|20220415|13|13|5|5
afrinic|20220515|14|11|7|5
afrinic|20220615|16|13|7|5
afrinic|20220715|14|10|7|5
afrinic|20220815|14|10|7|5
afrinic|20220915|18|10|6|4
afrinic|20221015|20|12|8|4
afrinic|20221115|22|13|7|4
afrinic|20221215|19|12|8|6
afrinic|20230115|23|12|8|5
afrinic|20230215|25|14|8|7
afrinic|20230315|23|13|9|6
afrinic|20230415|23|13|9|7
afrinic|20230515|23|13|9|7
afrinic|20230615|23|13|9|7
afrinic|20230715|19|14|8|8
afrinic|20230815|19|14|9|10
afrinic|20230915|19|14|9|10
afrinic|20231015|23|17|12|13
afrinic|20231115|23|17|12|13
afrinic|20231215|21|15|11|14
afrinic|20240115|22|16|12|13
afrinic|20240215|24|16|11|12
afrinic|20240315|24|16|11|12
afrinic|20240415|24|12|10|12
afrinic|20240515|23|12|11|11
afrinic|20240615|22|14|11|12
apnic|20140615|43|38|26|19
apnic|20140715|46|37|26|17
apnic|20140815|49|36|29|18
apnic|20140915|47|35|27|18
apnic|20141015|44|38|32|17
apnic|20141115|43|36|34|16
apnic|20141215|39|35|28|19
apnic|20150115|40|39|28|17
apnic|20150215|40|39|28|17
apnic|20150315|39|37|26|19
apnic|20150415|45|36|26|24
apnic|20150515|44|39|26|25
apnic|20150615|47|38|26|28
apnic|20150715|55|39|25|27
apnic|20150815|55|43|28|26
apnic|20150915|56|43|26|26
apnic|20151015|55|39|24|27
apnic|20151115|52|44|26|24
apnic|20151215|51|42|32|25
apnic|20160115|51|43|32|23
apnic|20160215|51|43|32|23
apnic|20160315|54|41|34|28
apnic|20160415|53|44|29|26
apnic|20160515|54|41|30|25
apnic|20160615|52|46|32|28
apnic|20160715|54|47|32|36
apnic|20160815|54|46|37|34
apnic|20160915|52|46|38|35
apnic|20161015|59|47|38|41
apnic|20161115|62|51|37|40
apnic|20161215|65|52|39|41
apnic|20170115|68|53|37|41
apnic|20170215|69|56|38|38
apnic|20170315|74|57|41|35
apnic|20170415|74|57|41|35
apnic|20170515|65|52|44|43
apnic|20170615|71|50|44|45
apnic|20170715|71|50|44|45
apnic|20170815|75|50|49|42
apnic|20170915|75|50|49|42
apnic|20171015|76|46|46|46
apnic|20171115|80|49|47|46
apnic|20171215|80|53|45|41
apnic|20180115|82|54|42|39
apnic|20180215|90|58|40|40
apnic|20180315|90|58|40|40
apnic|20180415|90|61|38|45
apnic|20180515|91|59|41|46
apnic|20180615|93|65|43|43
apnic|20180715|93|69|49|46
apnic|20180815|93|69|49|46
apnic|20180915|96|66|51|46
apnic|20181015|98|66|50|48
apnic|20181115|98|70|49|53
apnic|20181215|103|69|51|50
