as_type|date|from1to24|from25to49|from50to74|from75to100
business|20140615|5|6|15|121
business|20140715|5|9|16|126
business|20140815|6|6|16|127
business|20140915|6|6|21|124
business|20141015|5|7|16|122
business|20141115|5|6|19|129
business|20141215|6|3|18|129
business|20150115|6|4|20|131
business|20150215|6|4|24|135
business|20150315|6|4|24|135
business|20150415|5|5|20|140
business|20150515|6|5|17|143
business|20150615|7|7|19|143
business|20150715|5|6|22|151
business|20150815|4|8|21|155
business|20150915|5|5|21|156
business|20151015|6|7|21|155
business|20151115|6|5|25|153
business|20151215|7|6|24|158
business|20160115|7|8|24|164
business|20160215|7|8|24|164
business|20160315|7|8|24|164
business|20160415|7|8|24|164
business|20160515|7|9|25|172
business|20160615|7|9|25|172
business|20160715|4|8|28|175
business|20160815|5|9|29|181
business|20160915|2|11|27|186
business|20161015|2|11|32|186
business|20161115|5|10|31|188
business|20161215|6|10|29|188
business|20170115|6|10|29|188
business|20170215|5|10|30|200
business|20170315|7|10|26|197
business|20170415|7|10|26|197
business|20170515|6|13|27|199
business|20170615|6|11|27|201
business|20170715|6|11|27|201
business|20170815|9|11|28|205
business|20170915|9|11|28|205
business|20171015|11|15|25|209
business|20171115|13|15|27|221
business|20171215|13|14|29|226
business|20180115|13|18|28|219
business|20180215|14|16|30|226
business|20180315|17|13|32|248
business|20180415|16|16|29|226
business|20180515|17|14|35|225
business|20180615|15|14|33|229
business|20180715|16|16|34|241
business|20180815|16|16|34|241
business|20180915|18|14|34|249
business|20181015|17|14|26|254
business|20181115|17|16|31|262
business|20181215|17|23|32|264
business|20190115|17|19|32|261
business|20190215|17|19|32|261
business|20190315|14|20|34|268
business|20190415|16|17|43|267
business|20190515|17|21|37|271
business|20190615|16|19|31|281
business|20190715|16|19|31|281
business|20190815|14|21|36|284
business|20190915|14|21|36|284
business|20191015|17|16|40|282
business|20191115|18|18|43|290
business|20191215|18|25|40|289
business|20200115|17|19|42|298
business|20200215|22|21|41|304
business|20200315|18|20|35|283
business|20200415|19|25|42|321
business|20200515|21|25|39|327
business|20200615|17|27|44|312
business|20200715|16|25|47|339
business|20200815|17|30|48|361
business|20200915|18|36|49|373
business|20201015|19|29|53|367
business|20201115|21|23|55|360
business|20201215|23|25|47|372
business|20210115|27|25|48|371
business|20210215|24|31|51|360
business|20210315|26|29|52|366
business|20210415|24|28|53|379
business|20210515|28|33|56|376
business|20210615|30|35|59|387
business|20210715|32|31|61|375
business|20210815|30|39|56|408
business|20210915|24|35|59|390
business|20211015|31|35|57|405
business|20211115|26|38|60|399
business|20211215|24|33|60|395
business|20220115|22|36|61|417
business|20220215|26|41|60|388
business|20220315|31|37|67|413
business|20220415|29|41|65|400
business|20220515|29|43|62|415
business|20220615|29|39|67|433
business|20220715|31|40|62|431
business|20220815|33|44|66|437
business|20220915|33|51|72|434
business|20221015|30|46|70|440
business|20221115|34|42|69|449
business|20221215|31|42|70|446
business|20230115|31|43|74|443
business|20230215|33|49|75|459
business|20230315|40|45|73|435
business|20230415|33|47|80|451
business|20230515|33|50|78|472
business|20230615|34|46|79|472
business|20230715|36|47|85|478
business|20230815|39|55|94|466
business|20230915|46|57|92|475
business|20231015|41|57|99|497
business|20231115|39|67|90|501
business|20231215|40|70|87|513
business|20240115|47|67|87|513
business|20240215|46|67|88|510
business|20240315|47|67|94|510
business|20240415|53|71|92|519
business|20240515|50|65|99|523
business|20240615|46|66|94|535
education|20140615|4|2|9|40
