#region|date|disagg_1|disagg_2|disagg_3|disagg_4plus
afrinic|20140615|1|1|0|13
afrinic|20140715|1|1|0|14
afrinic|20140815|1|1|0|13
afrinic|20140915|1|0|0|13
afrinic|20141015|1|1|0|15
afrinic|20141115|1|1|0|13
afrinic|20141215|1|1|0|13
afrinic|20150115|1|1|0|13
afrinic|20150215|1|1|0|13
afrinic|20150315|1|0|0|13
afrinic|20150415|1|0|0|16
afrinic|20150515|1|1|0|17
afrinic|20150615|1|1|0|15
afrinic|20150715|1|1|0|16
afrinic|20150815|1|1|0|16
afrinic|20150915|1|1|0|16
afrinic|20151015|1|1|0|16
afrinic|20151115|1|1|0|18
afrinic|20151215|1|1|0|19
afrinic|20160115|1|1|0|18
afrinic|20160215|1|1|0|18
afrinic|20160315|1|1|0|18
afrinic|20160415|1|1|0|18
afrinic|20160515|1|0|0|21
afrinic|20160615|2|0|0|20
afrinic|20160715|2|1|0|20
afrinic|20160815|1|1|0|18
afrinic|20160915|1|1|0|19
afrinic|20161015|2|1|0|19
afrinic|20161115|1|0|0|20
afrinic|20161215|1|1|0|19
afrinic|20170115|1|1|1|20
afrinic|20170215|1|1|1|19
afrinic|20170315|1|1|1|18
afrinic|20170415|1|1|1|18
afrinic|20170515|1|1|0|21
afrinic|20170615|1|1|0|23
afrinic|20170715|1|1|0|23
afrinic|20170815|1|1|0|23
afrinic|20170915|0|1|0|10
afrinic|20171015|0|2|0|24
afrinic|20171115|0|2|0|25
afrinic|20171215|0|2|0|25
afrinic|20180115|0|2|0|26
afrinic|20180215|0|2|0|28
afrinic|20180315|1|2|0|30
afrinic|20180415|1|2|0|33
afrinic|20180515|1|2|0|30
afrinic|20180615|1|2|0|30
afrinic|20180715|1|2|0|30
afrinic|20180815|1|2|0|30
afrinic|20180915|1|2|0|33
afrinic|20181015|1|2|1|34
afrinic|20181115|1|2|1|37
afrinic|20181215|2|2|1|37
afrinic|20190115|2|2|1|38
afrinic|20190215|2|2|0|36
afrinic|20190315|2|2|0|36
afrinic|20190415|2|2|0|35
afrinic|20190515|3|2|0|35
afrinic|20190615|4|2|0|37
afrinic|20190715|4|2|0|37
afrinic|20190815|4|0|1|36
afrinic|20190915|4|0|1|36
afrinic|20191015|4|1|1|39
afrinic|20191115|4|1|2|38
afrinic|20191215|4|2|2|39
afrinic|20200115|4|2|2|41
afrinic|20200215|4|2|2|38
afrinic|20200315|4|0|2|39
afrinic|20200415|4|2|2|41
afrinic|20200515|4|2|2|38
afrinic|20200615|5|2|2|40
afrinic|20200715|5|1|2|39
afrinic|20200815|5|1|2|39
afrinic|20200915|5|1|2|42
afrinic|20201015|5|1|2|44
afrinic|20201115|5|1|2|46
afrinic|20201215|5|1|1|46
afrinic|20210115|5|2|1|47
afrinic|20210215|5|2|1|52
afrinic|20210315|5|1|1|55
afrinic|20210415|5|1|1|55
afrinic|20210515|5|1|1|55
afrinic|20210615|5|1|1|58
afrinic|20210715|6|1|0|58
afrinic|20210815|5|2|0|59
afrinic|20210915|6|2|0|61
afrinic|20211015|6|2|0|61
afrinic|20211115|7|2|0|63
afrinic|20211215|7|2|0|62
afrinic|20220115|7|2|0|64
afrinic|20220215|7|1|0|67
afrinic|20220315|7|1|0|67
afrinic|20220415|7|1|1|68
afrinic|20220515|6|1|0|70
afrinic|20220615|6|1|0|69
afrinic|20220715|6|2|1|71
afrinic|20220815|5|2|1|77
afrinic|20220915|5|2|1|79
afrinic|20221015|5|1|1|78
afrinic|20221115|5|1|1|78
afrinic|20221215|6|1|2|78
afrinic|20230115|6|1|2|79
afrinic|20230215|6|1|2|81
afrinic|20230315|6|2|2|82
afrinic|20230415|6|2|2|79
afrinic|20230515|6|2|2|77
afrinic|20230615|6|2|2|75
afrinic|20230715|6|2|2|79
afrinic|20230815|6|2|2|79
afrinic|20230915|6|3|2|80
afrinic|20231015|6|1|2|81
afrinic|20231115|6|1|3|85
afrinic|20231215|7|1|3|86
afrinic|20240115|6|1|3|87
afrinic|20240215|5|1|3|90
afrinic|20240315|5|2|2|88
afrinic|20240415|4|1|3|91
afrinic|20240515|5|0|4|94
afrinic|20240615|4|0|4|96
apnic|20140615|9|8|9|155
apnic|20140715|9|7|9|158
apnic|20140815|10|7|10|166
apnic|20140915|11|6|10|167
apnic|20141015|12|7|10|164
apnic|20141115|12|7|11|168
apnic|20141215|12|6|12|167
apnic|20150115|13|6|12|170
apnic|20150215|15|6|10|170
apnic|20150315|15|6|10|170
apnic|20150415|12|5|12|177
apnic|20150515|11|6|11|181
apnic|20150615|11|6|11|175
apnic|20150715|12|7|11|186
apnic|20150815|11|6|11|183
apnic|20150915|13|5|11|174
apnic|20151015|15|5|11|183
apnic|20151115|16|6|11|193
apnic|20151215|16|6|10|197
apnic|20160115|16|6|9|196
apnic|20160215|16|6|9|196
apnic|20160315|20|7|10|201
apnic|20160415|21|7|10|204
apnic|20160515|22|7|9|205
apnic|20160615|21|7|9|213
apnic|20160715|20|7|10|216
apnic|20160815|20|8|10|215
apnic|20160915|20|8|8|220
apnic|20161015|20|7|9|232
apnic|20161115|20|6|9|234
apnic|20161215|19|6|9|240
apnic|20170115|19|6|9|238
apnic|20170215|21|7|8|242
apnic|20170315|20|7|8|237
apnic|20170415|22|6|8|235
apnic|20170515|22|6|8|235
apnic|20170615|24|8|8|247
apnic|20170715|24|8|8|247
apnic|20170815|23|7|8|247
apnic|20170915|23|7|8|247
apnic|20171015|21|8|6|255
apnic|20171115|23|9|8|264
apnic|20171215|23|10|9|259
apnic|20180115|21|9|8|273
apnic|20180215|21|10|9|280
apnic|20180315|22|10|10|281
apnic|20180415|21|11|9|283
apnic|20180515|22|11|9|284
apnic|20180615|25|9|10|293
apnic|20180715|23|10|10|309
apnic|20180815|25|8|10|329
apnic|20180915|25|8|10|329
apnic|20181015|24|6|9|336
apnic|20181115|28|6|8|345
apnic|20181215|27|6|10|353
apnic|20190115|28|7|10|356
apnic|20190215|28|7|10|356
apnic|20190315|27|6|9|367
apnic|20190415|26|8|10|374
apnic|20190515|25|8|11|384
apnic|20190615|28|6|11|386
apnic|20190715|28|6|11|386
apnic|20190815|28|6|12|403
apnic|20190915|28|6|12|403
apnic|20191015|26|12|11|414
apnic|20191115|26|12|11|430
apnic|20191215|23|13|12|435
apnic|20200115|25|13|12|447
apnic|20200215|28|12|12|449
apnic|20200315|26|11|13|450
apnic|20200415|26|11|15|463
apnic|20200515|24|10|16|466
apnic|20200615|24|11|15|461
apnic|20200715|25|11|14|469
apnic|20200815|26|9|14|466
apnic|20200915|30|10|14|484
apnic|20201015|29|12|13|480
apnic|20201115|33|11|11|484
apnic|20201215|34|11|11|489
apnic|20210115|34|12|9|491
apnic|20210215|36|15|9|498
apnic|20210315|40|15|12|506
apnic|20210415|40|17|13|517
apnic|20210515|40|17|12|526
apnic|20210615|41|17|13|546
apnic|20210715|41|18|12|535
apnic|20210815|43|21|13|544
apnic|20210915|44|20|12|556
apnic|20211015|45|20|13|560
apnic|20211115|42|20|13|563
apnic|20211215|40|21|14|549
apnic|20220115|39|19|12|555
apnic|20220215|38|20|12|563
apnic|20220315|37|21|13|574
apnic|20220415|38|23|13|571
apnic|20220515|38|20|14|575
apnic|20220615|40|18|15|591
apnic|20220715|44|17|16|608
apnic|20220815|46|18|15|619
apnic|20220915|47|17|15|635
apnic|20221015|48|19|14|627
apnic|20221115|50|22|17|636
apnic|20221215|50|21|17|643
apnic|20230115|51|24|17|660
apnic|20230215|52|27|19|665
apnic|20230315|49|28|19|684
apnic|20230415|53|27|20|671
apnic|20230515|54|29|20|676
apnic|20230615|54|31|19|668
apnic|20230715|53|31|21|671
apnic|20230815|53|35|19|685
apnic|20230915|52|33|20|709
apnic|20231015|49|31|16|703
apnic|20231115|55|30|14|694
apnic|20231215|51|31|15|696
apnic|20240115|52|29|15|704
apnic|20240215|53|30|18|709
apnic|20240315|53|31|16|710
apnic|20240415|57|30|15|721
apnic|20240515|55|31|17|732
apnic|20240615|57|33|16|731
arin|20140615|17|8|14|200
arin|20140715|15|8|15|206
arin|20140815|16|7|14|210
arin|20140915|17|6|14|215
arin|20141015|17|7|14|219
arin|20141115|20|6|13|225
arin|20141215|20|7|15|223
arin|20150115|21|7|15|228
arin|20150215|21|7|15|228
arin|20150315|21|7|15|242
arin|20150415|24|7|16|240
arin|20150515|23|7|16|246
arin|20150615|23|8|16|255
arin|20150715|22|8|15|251
arin|20150815|22|8|15|251
arin|20150915|20|9|14|250
arin|20151015|22|8|15|258
arin|20151115|21|9|13|266
arin|20151215|20|9|13|273
arin|20160115|20|9|14|280
arin|20160215|20|9|14|280
arin|20160315|23|10|14|295
arin|20160415|22|11|14|287
arin|20160515|22|12|14|297
arin|20160615|22|11|13|290
arin|20160715|22|12|13|306
arin|20160815|22|15|12|303
arin|20160915|21|14|12|300
arin|20161015|23|14|12|307
arin|20161115|22|14|12|317
arin|20161215|24|15|13|322
arin|20170115|24|14|13|322
arin|20170215|25|16|12|328
arin|20170315|26|18|13|331
arin|20170415|26|18|13|331
arin|20170515|25|17|12|334
arin|20170615|28|17|10|335
arin|20170715|28|17|10|335
arin|20170815|27|16|13|349
arin|20170915|27|16|13|349
arin|20171015|26|17|13|355
arin|20171115|26|16|13|366
arin|20171215|28|16|12|367
arin|20180115|29|16|12|371
arin|20180215|29|16|12|371
arin|20180315|31|17|12|364
arin|20180415|31|18|11|366
arin|20180515|31|21|11|379
arin|20180615|32|22|12|389
arin|20180715|34|21|10|397
arin|20180815|34|21|10|397
arin|20180915|35|20|9|392
arin|20181015|35|21|9|402
arin|20181115|34|22|9|404
arin|20181215|34|23|11|407
arin|20190115|34|23|11|408
arin|20190215|34|23|11|408
arin|20190315|36|27|12|404
arin|20190415|36|25|11|412
arin|20190515|38|27|11|420
arin|20190615|40|24|9|425
arin|20190715|40|24|9|425
arin|20190815|37|24|9|433
arin|20190915|37|24|9|433
arin|20191015|41|26|9|436
arin|20191115|42|26|10|433
arin|20191215|42|26|11|433
arin|20200115|42|26|12|438
arin|20200215|44|25|11|437
arin|20200315|42|25|12|447
arin|20200415|41|24|11|454
arin|20200515|43|25|8|457
arin|20200615|43|24|8|461
arin|20200715|45|26|8|475
arin|20200815|44|26|9|473
arin|20200915|46|25|10|479
arin|20201015|46|25|9|482
arin|20201115|45|26|9|488
arin|20201215|43|26|10|492
arin|20210115|44|25|10|499
arin|20210215|43|26|10|497
arin|20210315|45|26|10|501
arin|20210415|44|25|9|503
arin|20210515|46|25|9|510
arin|20210615|46|27|9|520
arin|20210715|46|27|9|525
arin|20210815|46|26|10|528
arin|20210915|47|29|10|527
arin|20211015|45|30|10|535
arin|20211115|44|30|10|527
arin|20211215|43|29|10|534
arin|20220115|43|30|10|535
arin|20220215|40|30|9|544
arin|20220315|43|33|9|550
arin|20220415|41|31|9|547
arin|20220515|42|31|10|545
arin|20220615|42|31|11|555
arin|20220715|43|31|11|562
arin|20220815|42|30|11|567
arin|20220915|45|27|12|568
arin|20221015|42|26|11|567
arin|20221115|40|25|11|565
arin|20221215|46|25|12|569
arin|20230115|46|25|12|569
arin|20230215|43|25|16|584
arin|20230315|46|26|16|588
arin|20230415|57|27|14|591
arin|20230515|54|27|14|602
arin|20230615|57|27|15|600
arin|20230715|55|27|15|602
arin|20230815|56|26|16|601
arin|20230915|57|26|17|616
arin|20231015|56|26|17|617
arin|20231115|53|25|16|613
arin|20231215|57|26|17|620
arin|20240115|55|26|16|620
arin|20240215|57|26|15|624
arin|20240315|57|26|16|638
arin|20240415|57|25|19|641
arin|20240515|56|26|19|667
arin|20240615|54|26|19|665
lacnic|20140615|36|9|3|58
lacnic|20140715|36|9|2|63
lacnic|20140815|35|10|5|69
lacnic|20140915|36|11|6|70
lacnic|20141015|41|9|7|75
lacnic|20141115|44|10|7|81
lacnic|20141215|45|8|7|84
lacnic|20150115|43|8|7|81
lacnic|20150215|43|8|7|81
lacnic|20150315|47|8|7|84
lacnic|20150415|47|10|7|83
lacnic|20150515|48|11|5|88
lacnic|20150615|54|12|6|91
lacnic|20150715|50|11|7|94
lacnic|20150815|45|13|7|100
lacnic|20150915|49|16|7|96
lacnic|20151015|53|15|9|100
lacnic|20151115|59|15|10|106
lacnic|20151215|64|18|11|113
lacnic|20160115|68|19|12|112
lacnic|20160215|68|19|12|112
lacnic|20160315|75|19|11|123
lacnic|20160415|73|17|14|123
lacnic|20160515|80|22|13|126
lacnic|20160615|86|28|14|138
lacnic|20160715|97|27|14|139
lacnic|20160815|99|29|16|143
lacnic|20160915|103|27|15|147
lacnic|20161015|110|26|15|150
lacnic|20161115|116|26|14|152
lacnic|20161215|120|27|14|157
lacnic|20170115|127|24|13|154
lacnic|20170215|127|27|16|160
lacnic|20170315|131|34|16|178
lacnic|20170415|131|34|16|178
lacnic|20170515|142|38|17|193
lacnic|20170615|144|43|20|200
lacnic|20170715|161|44|24|219
lacnic|20170815|161|44|24|219
lacnic|20170915|149|48|26|225
lacnic|20171015|149|48|26|225
lacnic|20171115|164|53|32|245
lacnic|20171215|167|55|29|262
lacnic|20180115|171|57|28|267
lacnic|20180215|181|59|27|274
lacnic|20180315|179|64|31|277
lacnic|20180415|187|67|32|284
lacnic|20180515|192|71|33|279
lacnic|20180615|194|71|35|303
lacnic|20180715|216|73|38|320
lacnic|20180815|216|73|38|320
lacnic|20180915|223|86|38|354
lacnic|20181015|229|88|40|372
lacnic|20181115|243|85|35|379
lacnic|20181215|254|87|33|390
lacnic|20190115|256|89|34|398
lacnic|20190215|256|89|34|398
lacnic|20190315|277|91|39|400
lacnic|20190415|278|95|35|417
lacnic|20190515|283|99|36|429
lacnic|20190615|283|99|36|429
lacnic|20190715|321|135|41|465
lacnic|20190815|321|135|41|465
lacnic|20190915|356|158|43|518
lacnic|20191015|356|158|43|518
lacnic|20191115|371|157|43|529
lacnic|20191215|383|156|46|538
lacnic|20200115|388|156|45|551
lacnic|20200215|385|175|39|571
lacnic|20200315|388|184|44|581
lacnic|20200415|406|195|45|621
lacnic|20200515|429|217|45|633
lacnic|20200615|443|237|46|650
lacnic|20200715|461|250|48|680
lacnic|20200815|472|255|48|680
lacnic|20200915|508|275|51|743
lacnic|20201015|518|295|54|758
lacnic|20201115|536|304|57|772
lacnic|20201215|554|321|63|792
lacnic|20210115|570|336|60|817
lacnic|20210215|595|343|60|830
lacnic|20210315|633|363|59|869
lacnic|20210415|650|384|71|877
lacnic|20210515|656|421|64|908
lacnic|20210615|685|445|69|978
lacnic|20210715|681|438|73|969
lacnic|20210815|707|438|71|972
lacnic|20210915|738|476|66|1018
lacnic|20211015|758|481|73|1031
lacnic|20211115|766|489|71|1023
lacnic|20211215|791|486|74|1061
lacnic|20220115|812|477|74|1053
lacnic|20220215|820|482|70|1080
lacnic|20220315|836|498|71|1106
lacnic|20220415|831|504|77|1122
lacnic|20220515|845|529|66|1113
lacnic|20220615|879|524|70|1129
lacnic|20220715|911|544|72|1157
lacnic|20220815|933|547|70|1184
lacnic|20220915|942|577|76|1214
lacnic|20221015|941|584|75|1209
lacnic|20221115|950|599|78|1248
lacnic|20221215|968|620|79|1260
lacnic|20230115|967|621|79|1280
lacnic|20230215|986|635|82|1318
lacnic|20230315|1021|668|84|1358
lacnic|20230415|1031|652|84|1331
lacnic|20230515|1043|650|87|1345
lacnic|20230615|1051|649|83|1344
lacnic|20230715|1055|674|82|1363
lacnic|20230815|1077|698|88|1402
lacnic|20230915|1098|744|97|1452
lacnic|20231015|1080|719|95|1386
lacnic|20231115|1102|718|95|1392
lacnic|20231215|1110|727|99|1410
lacnic|20240115|1107|727|91|1425
lacnic|20240215|1137|728|95|1430
lacnic|20240315|1139|749|93|1440
lacnic|20240415|1138|759|96|1444
lacnic|20240515|1138|759|96|1444
lacnic|20240615|1150|771|99|1494
ripencc|20140615|31|7|54|185
ripencc|20140715|31|7|54|188
ripencc|20140815|31|7|57|191
ripencc|20140915|32|7|59|192
ripencc|20141015|33|7|57|196
ripencc|20141115|32|8|56|218
ripencc|20141215|35|9|59|227
ripencc|20150115|36|8|60|225
ripencc|20150215|36|8|60|225
ripencc|20150315|38|10|64|218
ripencc|20150415|38|10|64|218
ripencc|20150515|37|10|68|224
ripencc|20150615|34|10|68|232
ripencc|20150715|34|10|72|233
ripencc|20150815|36|10|72|233
ripencc|20150915|37|12|74|231
ripencc|20151015|39|12|73|245
ripencc|20151115|38|12|70|257
ripencc|20151215|40|11|73|257
ripencc|20160115|39|11|74|265
ripencc|20160215|39|11|74|265
ripencc|20160315|40|12|76|291
ripencc|20160415|39|13|76|293
ripencc|20160515|41|12|78|302
ripencc|20160615|44|13|83|309
ripencc|20160715|46|13|85|300
ripencc|20160815|44|16|83|306
ripencc|20160915|43|16|91|306
ripencc|20161015|41|14|92|318
ripencc|20161115|47|14|96|323
ripencc|20161215|46|14|98|334
ripencc|20170115|50|13|100|337
ripencc|20170215|50|14|100|338
ripencc|20170315|49|15|101|348
ripencc|20170415|49|15|101|348
ripencc|20170515|45|16|101|353
ripencc|20170615|47|17|106|363
ripencc|20170715|47|17|106|363
ripencc|20170815|42|18|114|376
ripencc|20170915|42|18|114|376
ripencc|20171015|46|17|109|360
ripencc|20171115|54|18|115|377
ripencc|20171215|54|14|114|406
ripencc|20180115|54|14|118|412
ripencc|20180215|58|12|117|393
ripencc|20180315|55|13|118|406
ripencc|20180415|56|13|116|419
ripencc|20180515|58|13|117|413
ripencc|20180615|59|13|117|422
ripencc|20180715|60|13|126|442
ripencc|20180815|60|13|126|442
ripencc|20180915|57|15|129|468
ripencc|20181015|62|16|131|477
ripencc|20181115|64|14|125|494
ripencc|20181215|63|16|133|499
ripencc|20190115|65|16|131|502
ripencc|20190215|65|16|131|502
ripencc|20190315|62|18|125|506
ripencc|20190415|65|23|122|518
ripencc|20190515|65|24|129|522
ripencc|20190615|65|25|131|526
ripencc|20190715|4|1|3|15
ripencc|20190815|69|25|127|533
ripencc|20190915|69|25|127|533
ripencc|20191015|68|24|132|553
ripencc|20191115|67|25|135|563
ripencc|20191215|66|24|138|571
ripencc|20200115|68|23|141|578
ripencc|20200215|64|22|138|586
ripencc|20200315|69|25|140|596
ripencc|20200415|71|22|143|618
ripencc|20200515|73|26|144|610
ripencc|20200615|74|23|135|605
ripencc|20200715|75|24|149|628
ripencc|20200815|74|26|139|628
ripencc|20200915|72|28|140|657
ripencc|20201015|73|31|145|641
ripencc|20201115|76|33|146|659
ripencc|20201215|79|31|149|665
ripencc|20210115|79|30|152|680
ripencc|20210215|81|32|154|672
ripencc|20210315|82|36|158|664
ripencc|20210415|80|37|148|664
ripencc|20210515|81|35|152|690
ripencc|20210615|83|35|157|712
ripencc|20210715|85|34|155|700
ripencc|20210815|86|34|157|694
ripencc|20210915|85|36|165|717
ripencc|20211015|84|40|160|719
ripencc|20211115|88|39|155|722
ripencc|20211215|87|36|156|728
ripencc|20220115|81|40|159|734
ripencc|20220215|82|40|157|731
ripencc|20220315|83|41|162|732
ripencc|20220415|85|43|160|727
ripencc|20220515|87|39|161|731
ripencc|20220615|89|43|163|746
ripencc|20220715|93|42|165|763
ripencc|20220815|92|42|166|779
ripencc|20220915|95|43|165|784
ripencc|20221015|96|41|161|770
ripencc|20221115|97|43|162|779
ripencc|20221215|99|41|163|798
ripencc|20230115|92|42|161|802
ripencc|20230215|95|40|161|819
ripencc|20230315|95|40|167|867
ripencc|20230415|97|41|163|842
ripencc|20230515|96|42|167|851
ripencc|20230615|97|45|166|838
ripencc|20230715|98|46|168|834
ripencc|20230815|101|47|166|853
ripencc|20230915|102|52|166|875
ripencc|20231015|100|42|164|881
ripencc|20231115|103|44|163|889
ripencc|20231215|106|46|168|891
ripencc|20240115|103|43|170|901
ripencc|20240215|104|46|173|916
ripencc|20240315|110|45|174|914
ripencc|20240415|106|44|178|918
ripencc|20240515|107|44|181|936
ripencc|20240615|107|45|183|933
internet|20140615|94|33|80|611
internet|20140715|92|32|80|629
internet|20140815|93|32|86|649
internet|20140915|97|30|89|657
internet|20141015|104|31|88|669
internet|20141115|109|32|87|705
internet|20141215|113|31|93|714
internet|20150115|114|30|94|717
internet|20150215|114|30|94|717
internet|20150315|122|31|96|727
internet|20150415|121|31|97|734
internet|20150515|120|35|100|756
internet|20150615|123|37|101|768
internet|20150715|119|37|105|780
internet|20150815|114|40|105|787
internet|20150915|120|43|106|767
internet|20151015|130|41|108|802
internet|20151115|135|43|104|840
internet|20151215|141|45|107|859
internet|20160115|144|46|109|871
internet|20160215|144|46|109|871
internet|20160315|159|49|111|928
internet|20160415|156|49|114|925
internet|20160515|166|53|114|951
internet|20160615|175|59|119|970
internet|20160715|187|60|122|981
internet|20160815|186|69|121|985
internet|20160915|188|66|126|992
internet|20161015|196|62|128|1026
internet|20161115|206|60|131|1046
internet|20161215|210|63|134|1072
internet|20170115|221|58|136|1071
internet|20170215|224|65|137|1087
internet|20170315|227|75|139|1112
internet|20170415|227|75|139|1112
internet|20170515|235|78|138|1136
internet|20170615|244|86|144|1168
internet|20170715|244|86|144|1168
internet|20170815|254|86|159|1214
internet|20170915|254|86|159|1214
internet|20171015|242|92|154|1219
internet|20171115|267|98|168|1277
internet|20171215|272|97|164|1319
internet|20180115|275|98|166|1349
internet|20180215|289|99|165|1346
internet|20180315|288|106|171|1358
internet|20180415|296|111|168|1385
internet|20180515|304|118|170|1385
internet|20180615|311|117|174|1437
internet|20180715|334|119|184|1498
internet|20180815|334|119|184|1498
internet|20180915|341|131|186|1576
internet|20181015|351|133|190|1621
internet|20181115|370|129|178|1659
internet|20181215|380|134|188|1686
internet|20190115|385|137|187|1702
internet|20190215|385|137|187|1702
internet|20190315|404|144|185|1713
internet|20190415|407|153|178|1756
internet|20190515|414|160|187|1790
internet|20190615|448|175|189|1807
internet|20190715|448|175|189|1807
internet|20190815|459|190|190|1870
internet|20190915|459|190|190|1870
internet|20191015|495|221|196|1960
internet|20191115|510|221|201|1993
internet|20191215|518|221|209|2016
internet|20200115|527|220|212|2055
internet|20200215|525|236|202|2081
internet|20200315|529|245|211|2113
internet|20200415|548|254|216|2197
internet|20200515|573|280|215|2204
internet|20200615|589|297|206|2217
internet|20200715|611|312|221|2291
internet|20200815|621|317|212|2286
internet|20200915|661|339|217|2405
internet|20201015|671|364|223|2405
internet|20201115|695|375|225|2449
internet|20201215|715|390|234|2484
internet|20210115|732|405|232|2534
internet|20210215|760|418|234|2549
internet|20210315|805|441|240|2595
internet|20210415|819|464|242|2616
internet|20210515|828|499|238|2689
internet|20210615|860|525|249|2814
internet|20210715|859|518|249|2787
internet|20210815|887|521|251|2797
internet|20210915|920|563|253|2879
internet|20211015|938|573|256|2906
internet|20211115|947|580|249|2898
internet|20211215|968|574|254|2934
internet|20220115|982|568|255|2941
internet|20220215|987|573|248|2985
internet|20220315|1006|594|255|3029
internet|20220415|1002|602|260|3035
internet|20220515|1018|620|251|3034
internet|20220615|1056|617|259|3090
internet|20220715|1097|636|265|3161
internet|20220815|1118|639|263|3226
internet|20220915|1134|666|269|3280
internet|20221015|1132|671|262|3251
internet|20221115|1142|690|269|3306
internet|20221215|1169|708|273|3348
internet|20230115|1162|713|271|3390
internet|20230215|1182|728|280|3467
internet|20230315|1217|764|288|3579
internet|20230415|1244|749|283|3514
internet|20230515|1253|750|290|3551
internet|20230615|1265|754|285|3525
internet|20230715|1267|780|288|3549
internet|20230815|1293|808|291|3620
internet|20230915|1315|858|302|3732
internet|20231015|1291|819|294|3668
internet|20231115|1319|818|291|3673
internet|20231215|1331|831|302|3703
internet|20240115|1323|826|295|3737
internet|20240215|1356|831|304|3769
internet|20240315|1364|853|301|3790
internet|20240415|1362|859|311|3815
internet|20240515|1366|869|322|3902
internet|20240615|1372|875|321|3919
