#as_type|date|disagg_1|disagg_2|disagg_3|disagg_4plus
business|20140615|15|3|7|75
business|20140715|14|3|9|78
business|20140815|14|2|10|82
business|20140915|15|1|11|85
business|20141015|14|3|11|86
business|20141115|15|3|11|87
business|20141215|14|3|11|92
business|20150115|14|3|12|88
business|20150215|14|3|12|88
business|20150315|16|2|11|94
business|20150415|16|2|12|92
business|20150515|16|4|13|95
business|20150615|16|4|13|101
business|20150715|17|4|13|98
business|20150815|16|4|13|96
business|20150915|17|3|13|91
business|20151015|18|3|13|95
business|20151115|18|4|13|105
business|20151215|17|4|14|104
business|20160115|18|4|15|108
business|20160215|18|4|15|108
business|20160315|19|4|16|117
business|20160415|19|3|16|114
business|20160515|19|4|17|120
business|20160615|19|3|18|115
business|20160715|21|5|18|122
business|20160815|21|6|17|125
business|20160915|23|4|18|128
business|20161015|21|6|18|130
business|20161115|22|4|17|131
business|20161215|21|6|17|132
business|20170115|22|6|18|132
business|20170215|24|6|17|140
business|20170315|24|6|18|140
business|20170415|24|6|18|140
business|20170515|20|7|17|135
business|20170615|25|8|19|142
business|20170715|25|8|19|142
business|20170815|27|8|24|148
business|20170915|27|8|24|148
business|20171015|23|9|21|149
business|20171115|26|9|21|158
business|20171215|31|9|21|157
business|20180115|30|8|22|158
business|20180215|30|8|22|160
business|20180315|30|8|22|161
business|20180415|30|8|21|161
business|20180515|31|8|22|163
business|20180615|33|8|22|168
business|20180715|35|8|23|174
business|20180815|35|8|23|174
business|20180915|36|7|20|172
business|20181015|33|9|20|187
business|20181115|35|9|20|185
business|20181215|35|10|22|186
business|20190115|36|10|22|188
business|20190215|36|10|22|188
business|20190315|38|11|22|192
business|20190415|36|12|22|188
business|20190515|37|15|24|193
business|20190615|39|13|22|189
business|20190715|39|13|22|189
business|20190815|34|10|23|200
business|20190915|34|10|23|200
business|20191015|37|14|22|196
business|20191115|39|14|23|201
business|20191215|39|15|24|197
business|20200115|38|14|24|205
business|20200215|41|14|22|204
business|20200315|40|13|23|211
business|20200415|43|14|23|216
business|20200515|44|13|22|224
business|20200615|47|13|20|225
business|20200715|46|13|22|228
business|20200815|46|13|22|237
business|20200915|50|15|24|248
business|20201015|51|15|24|239
business|20201115|54|15|24|250
business|20201215|53|16|24|250
business|20210115|53|15|24|250
business|20210215|56|18|22|248
business|20210315|56|20|23|247
business|20210415|54|21|25|251
business|20210515|57|19|25|264
business|20210615|57|25|27|282
business|20210715|59|26|27|282
business|20210815|60|25|29|287
business|20210915|62|28|30|291
business|20211015|62|32|31|295
business|20211115|66|32|29|300
business|20211215|65|36|30|299
business|20220115|66|35|30|303
business|20220215|68|35|29|302
business|20220315|69|36|28|304
business|20220415|72|40|29|302
business|20220515|75|40|29|298
business|20220615|71|39|28|306
business|20220715|76|42|28|313
business|20220815|82|41|28|325
business|20220915|87|44|31|333
business|20221015|87|42|32|331
business|20221115|91|44|30|339
business|20221215|93|42|32|334
business|20230115|92|44|29|340
business|20230215|91|46|31|356
business|20230315|90|47|34|370
business|20230415|95|47|32|366
business|20230515|92|51|30|378
business|20230615|90|53|30|374
business|20230715|92|58|31|379
