region|date|from1to24|from25to49|from50to74|from75to99
afrinic|20140615|3|5|7|0
afrinic|20140715|3|6|7|0
afrinic|20140815|3|5|7|0
afrinic|20140915|3|6|5|0
afrinic|20141015|5|6|6|0
afrinic|20141115|5|5|5|0
afrinic|20141215|6|3|6|0
afrinic|20150115|6|3|6|0
afrinic|20150215|6|3|6|0
afrinic|20150315|4|4|6|0
afrinic|20150415|6|4|7|0
afrinic|20150515|7|4|8|0
afrinic|20150615|6|4|7|0
afrinic|20150715|7|3|8|0
afrinic|20150815|5|4|9|0
afrinic|20150915|5|3|10|0
afrinic|20151015|5|3|10|0
afrinic|20151115|6|4|10|0
afrinic|20151215|6|4|11|0
afrinic|20160115|6|4|10|0
afrinic|20160215|6|4|10|0
afrinic|20160315|7|3|10|0
afrinic|20160415|5|5|10|0
afrinic|20160515|5|5|12|0
afrinic|20160615|5|5|12|0
afrinic|20160715|7|5|11|0
afrinic|20160815|7|5|8|0
afrinic|20160915|7|6|8|0
afrinic|20161015|8|4|10|0
afrinic|20161115|7|4|10|0
afrinic|20161215|7|5|9|0
afrinic|20170115|8|6|9|0
afrinic|20170215|8|6|8|0
afrinic|20170315|8|6|7|0
afrinic|20170415|8|6|7|0
afrinic|20170515|9|4|10|0
afrinic|20170615|10|5|10|0
afrinic|20170715|10|5|10|0
afrinic|20170815|10|4|11|0
afrinic|20170915|10|7|9|0
afrinic|20171015|10|7|9|0
afrinic|20171115|10|9|8|0
afrinic|20171215|12|6|9|0
afrinic|20180115|14|4|10|0
afrinic|20180215|17|4|9|0
afrinic|20180315|17|5|11|0
afrinic|20180415|18|5|13|0
afrinic|20180515|16|6|11|0
afrinic|20180615|16|7|10|0
afrinic|20180715|16|8|9|0
afrinic|20180815|16|8|9|0
afrinic|20180915|16|11|9|0
afrinic|20181015|16|11|11|0
afrinic|20181115|17|11|13|0
afrinic|20181215|17|11|14|0
afrinic|20190115|17|11|15|0
afrinic|20190215|17|11|15|0
afrinic|20190315|16|12|12|0
afrinic|20190415|17|13|9|0
afrinic|20190515|17|14|9|0
afrinic|20190615|16|16|11|0
afrinic|20190715|16|16|11|0
afrinic|20190815|15|16|10|0
afrinic|20190915|15|16|10|0
afrinic|20191015|14|19|12|0
afrinic|20191115|18|18|9|0
afrinic|20191215|17|19|11|0
afrinic|20200115|18|19|12|0
afrinic|20200215|18|17|11|0
afrinic|20200315|18|19|8|0
afrinic|20200415|20|17|12|0
afrinic|20200515|20|14|12|0
afrinic|20200615|19|18|12|0
afrinic|20200715|19|17|11|0
afrinic|20200815|18|19|10|0
afrinic|20200915|19|21|10|0
afrinic|20201015|21|21|10|0
afrinic|20201115|21|21|12|0
afrinic|20201215|21|21|11|0
afrinic|20210115|22|19|14|0
afrinic|20210215|25|24|11|0
afrinic|20210315|25|27|10|0
afrinic|20210415|24|26|12|0
afrinic|20210515|24|25|13|0
afrinic|20210615|26|26|13|0
afrinic|20210715|26|26|13|0
afrinic|20210815|28|25|13|0
afrinic|20210915|27|28|14|0
afrinic|20211015|28|28|13|0
afrinic|20211115|29|28|15|0
afrinic|20211215|31|29|11|0
afrinic|20220115|31|30|12|0
afrinic|20220215|31|31|13|0
afrinic|20220315|30|31|14|0
afrinic|20220415|36|26|15|0
afrinic|20220515|34|27|16|0
afrinic|20220615|35|26|15|0
afrinic|20220715|35|26|19|0
afrinic|20220815|39|25|21|0
afrinic|20220915|42|25|20|0
afrinic|20221015|38|28|19|0
afrinic|20221115|36|31|18|0
afrinic|20221215|37|37|13|0
afrinic|20230115|33|41|14|0
afrinic|20230215|34|38|18|0
afrinic|20230315|36|40|16|0
afrinic|20230415|34|39|16|0
afrinic|20230515|35|37|15|0
afrinic|20230615|34|36|15|0
afrinic|20230715|35|35|17|2
afrinic|20230815|35|35|17|2
afrinic|20230915|34|34|21|2
afrinic|20231015|34|36|19|1
afrinic|20231115|36|36|22|1
afrinic|20231215|41|36|20|0
afrinic|20240115|39|38|20|0
afrinic|20240215|40|40|19|0
afrinic|20240315|38|37|22|0
afrinic|20240415|41|36|22|0
afrinic|20240515|42|40|21|0
afrinic|20240615|43|40|20|1
apnic|20140615|77|56|47|1
apnic|20140715|76|57|49|1
apnic|20140815|78|60|54|1
apnic|20140915|81|60|52|1
apnic|20141015|77|62|53|1
apnic|20141115|77|73|48|0
apnic|20141215|77|69|51|0
apnic|20150115|84|66|51|0
apnic|20150215|84|66|51|0
apnic|20150315|80|64|57|0
apnic|20150415|83|67|56|0
apnic|20150515|88|65|56|0
apnic|20150615|84|69|50|0
apnic|20150715|92|75|49|0
