region|date|observed_ases|use_moreSpecific|moreSpecific_fraction
apnic|20140615|1237|181|14.63
apnic|20140715|1235|183|14.82
apnic|20140815|1262|193|15.29
apnic|20140915|1271|194|15.26
apnic|20141015|1280|193|15.08
apnic|20141115|1291|198|15.34
apnic|20141215|1305|197|15.10
apnic|20150115|1306|201|15.39
apnic|20150215|1306|201|15.39
apnic|20150315|1328|201|15.14
apnic|20150415|1342|206|15.35
apnic|20150515|1361|209|15.36
apnic|20150615|1360|203|14.93
apnic|20150715|1381|216|15.64
apnic|20150815|1383|211|15.26
apnic|20150915|1383|203|14.68
apnic|20151015|1401|214|15.27
apnic|20151115|1442|226|15.67
apnic|20151215|1457|229|15.72
apnic|20160115|1463|227|15.52
apnic|20160215|1463|227|15.52
apnic|20160315|1520|238|15.66
apnic|20160415|1524|242|15.88
apnic|20160515|1536|243|15.82
apnic|20160615|1550|250|16.13
apnic|20160715|1565|253|16.17
apnic|20160815|1578|253|16.03
apnic|20160915|1620|256|15.80
apnic|20161015|1662|268|16.13
apnic|20161115|1661|269|16.20
apnic|20161215|1708|274|16.04
apnic|20170115|1701|272|15.99
apnic|20170215|1728|278|16.09
apnic|20170315|1744|272|15.60
apnic|20170415|1765|271|15.35
apnic|20170515|1765|271|15.35
apnic|20170615|1820|287|15.77
apnic|20170715|1820|287|15.77
apnic|20170815|1837|285|15.51
apnic|20170915|1837|285|15.51
apnic|20171015|1856|290|15.62
apnic|20171115|1901|304|15.99
apnic|20171215|1923|301|15.65
apnic|20180115|1946|311|15.98
apnic|20180215|1986|320|16.11
apnic|20180315|2000|323|16.15
apnic|20180415|2017|324|16.06
apnic|20180515|2053|326|15.88
apnic|20180615|2085|337|16.16
apnic|20180715|2156|352|16.33
apnic|20180815|2156|352|16.33
apnic|20180915|2218|372|16.77
apnic|20181015|2248|375|16.68
apnic|20181115|2273|387|17.03
apnic|20181215|2322|396|17.05
apnic|20190115|2337|401|17.16
apnic|20190215|2337|401|17.16
apnic|20190315|2366|409|17.29
apnic|20190415|2402|418|17.40
apnic|20190515|2433|428|17.59
apnic|20190615|2441|431|17.66
apnic|20190715|2441|431|17.66
apnic|20190815|2485|449|18.07
apnic|20190915|2485|449|18.07
apnic|20191015|2558|463|18.10
apnic|20191115|2569|479|18.65
apnic|20191215|2596|483|18.61
apnic|20200115|2625|497|18.93
apnic|20200215|2642|501|18.96
apnic|20200315|2650|500|18.87
apnic|20200415|2702|515|19.06
apnic|20200515|2729|516|18.91
apnic|20200615|2747|511|18.60
apnic|20200715|2803|519|18.52
apnic|20200815|2804|515|18.37
apnic|20200915|2865|538|18.78
apnic|20201015|2874|534|18.58
apnic|20201115|2890|539|18.65
apnic|20201215|2937|545|18.56
apnic|20210115|2947|546|18.53
apnic|20210215|3011|558|18.53
apnic|20210315|3031|573|18.90
apnic|20210415|3071|587|19.11
apnic|20210515|3125|595|19.04
apnic|20210615|7358|617|8.39
apnic|20210715|7347|606|8.25
apnic|20210815|7445|621|8.34
apnic|20210915|7500|632|8.43
apnic|20211015|7536|638|8.47
apnic|20211115|7540|638|8.46
apnic|20211215|7605|624|8.21
apnic|20220115|7721|625|8.09
apnic|20220215|7743|633|8.18
apnic|20220315|7816|645|8.25
apnic|20220415|7807|645|8.26
apnic|20220515|7814|647|8.28
apnic|20220615|7846|664|8.46
apnic|20220715|7904|685|8.67
apnic|20220815|7972|698|8.76
apnic|20220915|8000|714|8.92
apnic|20221015|8028|708|8.82
apnic|20221115|8126|725|8.92
apnic|20221215|8203|731|8.91
apnic|20230115|8255|752|9.11
apnic|20230215|8339|763|9.15
apnic|20230315|8448|780|9.23
apnic|20230415|8447|771|9.13
apnic|20230515|8466|779|9.20
apnic|20230615|8510|772|9.07
apnic|20230715|8517|776|9.11
apnic|20230815|8635|792|9.17
apnic|20230915|8735|814|9.32
apnic|20231015|8741|799|9.14
apnic|20231115|8747|793|9.07
apnic|20231215|8724|793|9.09
apnic|20240115|8803|800|9.09
apnic|20240215|8833|810|9.17
apnic|20240315|8878|810|9.12
apnic|20240415|8919|823|9.23
apnic|20240515|8947|835|9.33
apnic|20240615|8965|837|9.34
internet|20140615|8418|818|9.72
internet|20140715|8504|833|9.80
internet|20140815|8634|860|9.96
internet|20140915|8736|873|9.99
internet|20141015|8839|892|10.09
internet|20141115|8988|933|10.38
internet|20141215|9124|951|10.42
internet|20150115|9217|955|10.36
internet|20150215|9217|955|10.36
internet|20150315|9431|976|10.35
internet|20150415|9529|983|10.32
internet|20150515|9661|1011|10.46
internet|20150615|9851|1029|10.45
internet|20150715|9962|1041|10.45
internet|20150815|10062|1046|10.40
internet|20150915|10143|1036|10.21
internet|20151015|10352|1081|10.44
internet|20151115|10573|1122|10.61
internet|20151215|10773|1152|10.69
internet|20160115|10884|1170|10.75
internet|20160215|10884|1170|10.75
internet|20160315|11287|1247|11.05
internet|20160415|11382|1244|10.93
internet|20160515|11551|1284|11.12
internet|20160615|11679|1323|11.33
internet|20160715|11879|1350|11.36
internet|20160815|12000|1361|11.34
internet|20160915|12125|1372|11.32
internet|20161015|12296|1412|11.48
internet|20161115|12382|1443|11.65
internet|20161215|12603|1479|11.74
internet|20170115|12663|1486|11.73
internet|20170215|12921|1513|11.71
