#data|internet|afrinic|arin|apnic|lacnic|ripencc
20140615|18392|167|6422|3349|1351|7103
20140715|18874|170|6778|3377|1408|7141
20140815|19359|172|7004|3489|1460|7234
20140915|19887|175|7165|3567|1507|7473
20141015|20117|183|7256|3581|1596|7501
20141115|21086|180|7684|3736|1697|7789
20141215|21440|201|7848|3635|1739|8017
20150115|21858|178|8194|3658|1710|8118
20150215|21858|178|8194|3658|1710|8118
20150315|22740|184|8621|3724|2017|8194
20150415|22904|207|8414|3806|2077|8400
20150515|22824|213|8289|3875|2032|8415
20150615|23594|252|8714|3805|2194|8629
20150715|23992|288|8626|4023|2296|8759
20150815|24444|203|8835|3981|2489|8936
20150915|24280|226|8509|3923|2640|8982
20151015|25170|228|8784|4205|2799|9154
20151115|25982|242|9248|4221|2896|9375
20151215|26584|246|9355|4249|3178|9556
20160115|27115|221|9478|4403|3333|9680
20160215|27115|221|9478|4403|3333|9680
20160315|29514|264|10705|4703|3570|10272
20160415|29709|278|10415|4978|3678|10360
20160515|30838|374|11084|5021|3744|10615
20160615|31384|391|11099|5089|3851|10954
20160715|32795|426|11936|5173|4050|11210
20160815|33608|428|12216|5397|4199|11368
20160915|33702|443|11805|5598|4288|11568
20161015|34875|449|12518|5872|4263|11773
20161115|35022|459|12418|5808|4331|12006
20161215|36532|465|13257|6140|4505|12165
20170115|37070|463|13636|6186|4551|12234
20170215|38182|476|13903|6539|4726|12538
20170315|39463|479|14717|6491|4942|12834
20170415|39463|479|14717|6491|4942|12834
20170515|40998|509|14537|7264|5528|13160
20170615|42391|508|15212|7511|5778|13382
20170715|42391|508|15212|7511|5778|13382
20170815|44705|531|15951|8079|6338|13806
20170915|44705|531|15951|8079|6338|13806
20171015|45371|563|16118|8113|6708|13869
20171115|47059|592|16565|8319|7249|14334
20171215|47307|598|16698|8302|7324|14385
20180115|48866|604|16997|9129|7459|14677
20180215|50521|569|17359|9277|7715|15601
20180315|50910|587|17411|9276|7919|15717
20180415|51494|598|16925|9642|8225|16104
20180515|52974|641|17056|10451|8465|16361
20180615|54023|690|17338|10580|8815|16600
20180715|57126|700|18099|11878|9230|17219
20180815|57126|700|18099|11878|9230|17219
20180915|58950|709|18344|13493|9356|17048
20181015|61733|730|19190|14236|9684|17893
20181115|63017|731|18872|14683|10277|18454
20181215|64722|746|19095|15487|10481|18913
20190115|65351|735|19206|15685|10653|19072
20190215|65351|735|19206|15685|10653|19072
20190315|67987|726|19718|16506|11094|19943
20190415|70418|741|20176|16942|11449|21110
20190515|71970|745|20375|17309|12035|21506
20190615|72835|733|20443|17524|12530|21605
20190715|72835|733|20443|17524|12530|21605
20190815|76722|750|20882|18810|13346|22934
20190915|76722|750|20882|18810|13346|22934
20191015|80025|899|21145|19611|15171|23199
20191115|81362|984|21303|20013|15714|23348
20191215|82213|928|21403|20553|15551|23778
20200115|83399|1017|21708|21295|15853|23526
20200215|84635|1010|22152|21622|16172|23679
20200315|85915|1025|22406|21630|16757|24097
20200415|89051|1020|23078|21939|17757|25257
20200515|92076|1021|24930|22692|18278|25155
20200615|95399|1023|25168|24579|18937|25692
20200715|96284|1038|25776|23287|19600|26583
20200815|97272|1028|26280|23865|19208|26891
20200915|102891|1061|26733|26083|21293|27721
20201015|104372|1086|27056|26614|21652|27964
20201115|107013|1080|27569|28176|21541|28647
20201215|110132|1107|27544|29214|22172|30095
20210115|116266|1164|28107|33700|23786|29509
20210215|117148|1236|28124|34006|24616|29166
20210315|120271|1265|28247|35398|25630|29731
20210415|127703|1282|28489|41191|26252|30489
20210515|131896|1275|29828|42277|26992|31524
20210615|141443|1362|30898|47765|28336|33082
20210715|142478|1370|30983|48676|28554|32895
20210815|147196|1389|31608|53164|28761|32274
20210915|150238|1373|32379|53620|29673|33193
20211015|150321|1366|32842|53642|30072|32399
20211115|151233|1390|35330|51646|30551|32316
20211215|151828|1425|36504|50078|31453|32368
20220115|155228|1424|35408|53408|31671|33317
20220215|157384|1452|35453|53831|32881|33767
20220315|160222|1474|36222|54385|33704|34437
20220415|163870|1489|38056|54849|34983|34493
20220515|164196|1551|36894|55123|35386|35242
20220615|165398|1596|37407|55993|34811|35591
20220715|168865|1596|37615|57327|35706|36621
20220815|172925|1666|38391|58448|36498|37922
20220915|175196|1648|38020|59721|37222|38585
20221015|174988|1614|38140|60507|36328|38399
20221115|176991|1648|38257|60852|36674|39560
20221215|181206|1673|38926|61269|39573|39765
20230115|182931|1705|38807|62456|39551|40412
20230215|187857|1739|39977|63001|41048|42092
20230315|191371|1779|41080|63508|42205|42799
20230415|191442|1794|41751|63379|43156|41362
20230515|196820|1775|42324|67506|43969|41246
20230615|201831|1808|42753|71855|44073|41342
20230715|201991|1884|42538|69674|44903|42992
20230815|205976|2095|44076|70579|46076|43150
20230915|212626|2152|45173|72012|47744|45545
20231015|212876|2187|45704|71399|46855|46731
20231115|211420|2217|42979|70656|47395|48173
20231215|211788|2294|43848|71142|48623|45881
20240115|214320|2285|44572|71171|49604|46688
20240215|215697|2365|43812|72247|50060|47213
20240315|218972|2390|44634|74283|50285|47380
20240415|225979|2535|45624|80394|50072|47354
20240515|229453|2573|46762|80595|50936|48587
20240615|223747|2552|46818|80621|51401|48455
