#date|internet|business|education|government|hosting|isp|none
20140615|18392|2405|942|311|5558|6530|2646
20140715|18874|2473|908|317|5634|6672|2870
20140815|19359|2549|914|321|5763|6899|2913
20140915|19887|2606|928|328|5915|7071|3039
20141015|20117|2648|936|337|6056|7104|3036
20141115|21086|2726|944|353|6311|7621|3131
20141215|21440|2753|932|349|6477|7774|3155
20150115|21858|2895|946|354|6552|7959|3152
20150215|21858|2895|946|354|6552|7959|3152
20150315|22740|2984|944|408|6932|8357|3115
20150415|22904|2912|958|371|7036|8483|3144
20150515|22824|2958|987|372|7137|8181|3189
20150615|23594|3154|1004|374|7311|8542|3209
20150715|23992|3061|1023|378|7440|8755|3335
20150815|24444|3113|1042|387|7660|8927|3315
20150915|24280|2909|1038|374|7645|8940|3374
20151015|25170|2984|1030|377|7867|9475|3437
20151115|25982|3269|1044|394|8147|9639|3489
20151215|26584|3323|1018|399|8256|9967|3621
20160115|27115|3360|1028|401|8293|10384|3649
20160215|27115|3360|1028|401|8293|10384|3649
20160315|29514|3648|1070|413|8566|11932|3885
20160415|29709|3476|1081|404|8679|12175|3894
20160515|30838|3729|1089|424|8866|12718|4012
20160615|31384|3658|1102|409|9320|12798|4097
20160715|32795|4129|1112|426|9597|13378|4153
20160815|33608|4181|1097|436|9835|13758|4301
20160915|33702|3953|1098|430|10002|13892|4327
20161015|34875|4187|1107|442|10278|14544|4317
20161115|35021|4155|1120|436|10465|14575|4270
20161215|36531|4328|1181|449|10735|15518|4320
20170115|37069|4345|1194|456|10782|15932|4360
20170215|38181|4431|1168|463|10951|16711|4457
20170315|39462|4522|1181|469|11223|17640|4427
20170415|39462|4522|1181|469|11223|17640|4427
20170515|40997|4501|1203|462|11425|19168|4238
20170615|42390|4697|1201|484|11811|19722|4475
20170715|42390|4697|1201|484|11811|19722|4475
20170815|44704|5057|1243|509|12161|21090|4644
20170915|44704|5057|1243|509|12161|21090|4644
20171015|45370|5095|1259|494|12555|21378|4589
20171115|47059|5240|1295|512|13039|22294|4679
20171215|47307|5358|1288|522|13013|22528|4598
20180115|48866|5421|1440|531|13359|23437|4678
20180215|50521|5667|1437|553|13827|24364|4673
20180315|50910|5631|1487|558|13987|24563|4684
20180415|51494|5587|1486|562|14404|24802|4653
20180515|52974|5633|1339|562|14574|26124|4742
20180615|54023|5736|1356|564|14775|26883|4709
20180715|57126|5882|1481|574|15555|28779|4855
20180815|57126|5882|1481|574|15555|28779|4855
20180915|58950|5774|1516|564|16105|30287|4704
20181015|61733|6095|1543|567|16268|32469|4791
20181115|63017|6158|1519|567|16586|33398|4789
20181215|64722|6351|1561|572|16985|34383|4870
20190115|65350|6544|1563|569|17143|34761|4770
20190215|65350|6544|1563|569|17143|34761|4770
20190315|67982|6709|1621|580|17610|36717|4745
20190415|70412|6692|1648|586|17899|38845|4742
20190515|71968|6737|1679|594|18337|40079|4542
20190615|72833|6698|1685|633|18445|40851|4521
20190715|72833|6698|1685|633|18445|40851|4521
20190815|76720|6900|1713|647|19225|43618|4617
20190915|76720|6900|1713|647|19225|43618|4617
20191015|80023|7130|1794|648|20193|45535|4723
20191115|81360|7146|1806|658|20718|46389|4643
20191215|82212|7246|1789|670|20923|46962|4622
20200115|83399|7437|1808|677|21431|47267|4779
20200215|84635|7669|1781|678|21507|48245|4755
20200315|85915|7766|1766|679|21637|49332|4735
20200415|89047|8034|1788|682|22384|51237|4922
20200515|92072|8445|1810|681|22822|53661|4653
20200615|95396|8724|1823|687|22969|56203|4990
20200715|96280|9034|1816|695|23364|56200|5171
20200815|97270|9216|1782|708|23665|56895|5004
20200915|102888|9376|2338|716|24168|60402|5888
20201015|104371|9461|2327|711|24264|61867|5741
20201115|107012|9910|2360|722|24769|63484|5767
20201215|110131|10550|2701|729|25939|64347|5865
20210115|116259|12402|3179|749|25888|68134|5907
20210215|117142|11482|2886|751|25199|70475|6349
20210315|120265|11635|2757|736|25637|73319|6181
20210415|127698|11706|2769|756|26074|80173|6220
20210515|131891|12822|2809|764|27339|81768|6389
20210615|137342|13439|2956|777|28618|84448|7104
20210715|138377|14117|2960|776|28685|84416|7423
20210815|143094|13996|3412|781|29262|88610|7033
20210915|146137|14099|3444|797|30181|90318|7298
20211015|146219|14642|3342|807|30252|90304|6872
20211115|147131|14119|3376|812|32598|89607|6619
20211215|147727|14203|3311|818|33684|89616|6095
20220115|151126|14741|3450|837|32498|92978|6622
20220215|153283|14947|3529|878|32644|95113|6172
20220315|156110|15234|3509|903|32730|97408|6326
20220415|159773|15288|3493|911|33837|100010|6234
20220515|160099|15288|3548|919|32977|101290|6379
20220615|161301|15183|3543|919|33571|101075|6904
20220715|164767|15495|3573|995|34493|104025|6186
20220815|168826|16546|3571|998|35092|106099|6520
20220915|171098|16574|3658|897|36466|106683|6820
20221015|170889|16083|3625|893|37186|105831|7271
20221115|172893|17232|3662|901|37299|107231|6568
20221215|177108|17172|3687|934|37730|111049|6536
20230115|178834|17243|3674|939|38269|111850|6859
20230215|183760|17153|3715|962|39346|116033|6551
20230315|187274|17679|3759|997|40770|117749|6320
20230415|187343|17618|3705|933|41140|118224|5723
20230515|192721|17964|3626|934|40974|123539|5684
20230615|197733|17858|3729|937|41215|128534|5460
20230715|197893|17541|3752|930|42568|127213|5889
20230815|201879|17418|4686|942|43309|130085|5439
20230915|208529|17334|5260|959|43798|135332|5846
20231015|208778|17140|5287|953|44260|136224|4914
20231115|207322|17268|4395|950|44207|136001|4501
20231215|207690|17394|4414|949|43828|137147|3958
20240115|210223|18103|4414|949|44224|138516|3924
20240215|211600|18228|4419|941|44909|139456|3647
20240315|214874|18175|4427|946|45661|141878|3787
20240415|221881|18420|4435|1066|46865|147583|3512
20240515|225355|18746|4433|1123|48452|149423|3178
20240615|229644|19054|4496|1124|48262|149303|3575
