#region|date|total_ases|use_selective
afrinic|20140615|112|8
afrinic|20140715|114|9
afrinic|20140815|118|7
afrinic|20140915|119|9
afrinic|20141015|119|9
afrinic|20141115|120|9
afrinic|20141215|118|9
afrinic|20150115|120|10
afrinic|20150215|123|10
afrinic|20150315|125|9
afrinic|20150415|126|10
afrinic|20150515|125|10
afrinic|20150615|125|11
afrinic|20150715|131|12
afrinic|20150815|132|8
afrinic|20150915|129|9
afrinic|20151015|132|11
afrinic|20151115|131|12
afrinic|20151215|133|12
afrinic|20160115|136|9
afrinic|20160215|142|13
afrinic|20160315|139|15
afrinic|20160415|149|15
afrinic|20160515|141|15
afrinic|20160615|145|16
afrinic|20160715|155|17
afrinic|20160815|161|16
afrinic|20160915|170|14
afrinic|20161015|176|20
afrinic|20161115|184|22
afrinic|20161215|187|19
afrinic|20170115|184|18
afrinic|20170215|188|20
afrinic|20170315|191|22
afrinic|20170415|187|20
afrinic|20170515|190|26
afrinic|20170615|194|26
afrinic|20170715|192|25
afrinic|20170815|202|27
afrinic|20170915|207|31
afrinic|20171015|211|28
afrinic|20171115|223|30
afrinic|20171215|225|30
afrinic|20180115|225|30
afrinic|20180215|228|32
afrinic|20180315|229|39
afrinic|20180415|228|41
afrinic|20180515|227|39
afrinic|20180615|235|40
afrinic|20180715|241|40
afrinic|20180815|252|37
afrinic|20180915|265|40
afrinic|20181015|265|43
afrinic|20181115|271|42
afrinic|20181215|279|44
afrinic|20190115|275|47
afrinic|20190215|276|48
afrinic|20190315|279|47
afrinic|20190415|282|47
afrinic|20190515|285|47
afrinic|20190615|290|49
afrinic|20190715|294|51
afrinic|20190815|305|48
afrinic|20190915|305|46
afrinic|20191015|312|50
afrinic|20191115|314|54
afrinic|20191215|321|54
afrinic|20200115|326|56
afrinic|20200215|321|57
afrinic|20200315|324|53
afrinic|20200415|333|56
afrinic|20200515|337|58
afrinic|20200615|324|58
afrinic|20200715|342|60
afrinic|20200815|346|59
afrinic|20200915|352|60
afrinic|20201015|336|60
afrinic|20201115|340|59
afrinic|20201215|357|58
afrinic|20210115|392|67
afrinic|20210215|436|69
afrinic|20210315|445|69
afrinic|20210415|451|72
afrinic|20210515|457|73
afrinic|20210615|471|78
afrinic|20210715|466|82
afrinic|20210815|467|82
afrinic|20210915|474|81
afrinic|20211015|468|83
afrinic|20211115|485|84
afrinic|20211215|493|87
afrinic|20220115|487|90
afrinic|20220215|490|92
afrinic|20220315|490|82
afrinic|20220415|485|90
afrinic|20220515|491|81
afrinic|20220615|493|91
afrinic|20220715|498|93
afrinic|20220815|513|98
afrinic|20220915|496|99
afrinic|20221015|498|99
afrinic|20221115|500|99
afrinic|20221215|514|99
afrinic|20230115|524|98
afrinic|20230215|544|97
afrinic|20230315|552|98
afrinic|20230415|549|89
afrinic|20230515|545|96
afrinic|20230615|537|95
afrinic|20230715|544|99
afrinic|20230815|544|99
afrinic|20230915|560|99
afrinic|20231015|560|101
afrinic|20231115|559|106
afrinic|20231215|555|105
afrinic|20240115|557|106
afrinic|20240215|563|109
afrinic|20240315|543|103
afrinic|20240415|569|110
afrinic|20240515|576|110
afrinic|20240615|566|113
arin|20140615|2159|386
arin|20140715|2186|392
arin|20140815|2210|398
arin|20140915|2223|404
arin|20141015|2244|417
arin|20141115|2270|425
arin|20141215|2282|426
arin|20150115|2325|442
arin|20150215|2328|447
arin|20150315|2358|453
arin|20150415|2353|453
arin|20150515|2384|459
arin|20150615|2435|484
arin|20150715|2454|495
arin|20150815|2483|500
arin|20150915|2501|496
arin|20151015|2534|499
arin|20151115|2555|508
arin|20151215|2587|504
arin|20160115|2610|507
arin|20160215|2641|529
arin|20160315|2693|532
arin|20160415|2721|536
arin|20160515|2741|541
arin|20160615|2766|546
arin|20160715|2787|541
arin|20160815|2803|548
arin|20160915|2814|556
arin|20161015|2839|573
arin|20161115|2864|603
arin|20161215|2882|615
arin|20170115|2878|611
arin|20170215|2914|618
arin|20170315|2935|623
arin|20170415|2955|642
arin|20170515|2990|643
arin|20170615|3006|650
arin|20170715|3061|666
arin|20170815|3108|670
arin|20170915|3137|664
arin|20171015|3166|661
arin|20171115|3209|690
arin|20171215|3215|686
arin|20180115|3241|702
arin|20180215|3247|710
arin|20180315|3231|724
arin|20180415|3253|729
arin|20180515|3279|734
arin|20180615|3308|746
arin|20180715|3357|771
arin|20180815|3337|756
arin|20180915|3350|759
arin|20181015|3388|752
arin|20181115|3372|752
arin|20181215|3405|756
arin|20190115|3398|762
arin|20190215|3425|761
arin|20190315|3438|779
arin|20190415|3459|776
arin|20190515|3482|800
arin|20190615|3504|801
arin|20190715|3531|790
arin|20190815|3546|797
arin|20190915|3564|799
arin|20191015|3596|803
arin|20191115|3601|802
arin|20191215|3613|817
arin|20200115|3652|818
arin|20200215|3671|810
arin|20200315|3690|831
arin|20200415|3697|831
arin|20200515|3715|843
arin|20200615|3707|836
arin|20200715|3745|851
arin|20200815|3745|858
arin|20200915|3789|883
arin|20201015|3786|875
arin|20201115|3817|882
arin|20201215|3824|887
arin|20210115|3831|881
arin|20210215|3859|889
arin|20210315|3871|900
arin|20210415|3884|905
arin|20210515|3917|915
arin|20210615|3965|926
arin|20210715|3956|916
arin|20210815|3973|921
arin|20210915|4012|932
arin|20211015|4012|927
arin|20211115|4023|935
arin|20211215|4032|931
arin|20220115|4042|937
arin|20220215|4078|955
arin|20220315|4103|955
arin|20220415|4143|948
arin|20220515|4152|955
arin|20220615|4170|963
arin|20220715|4230|981
arin|20220815|4272|994
arin|20220915|4293|989
arin|20221015|4289|983
arin|20221115|4321|984
arin|20221215|4345|986
arin|20230115|4368|990
arin|20230215|4393|1014
arin|20230315|4454|1030
arin|20230415|4446|1039
arin|20230515|4470|1040
arin|20230615|4485|1047
arin|20230715|4510|1027
arin|20230815|4538|1043
arin|20230915|4588|1070
arin|20231015|4570|1074
arin|20231115|4567|1059
arin|20231215|4579|1064
arin|20240115|4623|1060
arin|20240215|4675|1065
arin|20240315|4680|1074
arin|20240415|4703|1083
arin|20240515|4765|1105
arin|20240615|4783|1115
apnic|20140615|1244|167
apnic|20140715|1242|166
apnic|20140815|1266|169
apnic|20140915|1275|173
apnic|20141015|1286|176
apnic|20141115|1296|176
apnic|20141215|1309|182
apnic|20150115|1310|182
apnic|20150215|1319|183
apnic|20150315|1330|178
apnic|20150415|1345|186
apnic|20150515|1362|192
apnic|20150615|1361|192
apnic|20150715|1382|207
apnic|20150815|1385|201
apnic|20150915|1403|212
apnic|20151015|1421|228
apnic|20151115|1445|235
apnic|20151215|1460|231
apnic|20160115|1467|238
apnic|20160215|1486|241
apnic|20160315|1523|249
apnic|20160415|1534|260
apnic|20160515|1539|255
apnic|20160615|1557|266
apnic|20160715|1570|268
apnic|20160815|1582|272
apnic|20160915|1636|288
apnic|20161015|1664|296
apnic|20161115|1675|290
apnic|20161215|1715|300
apnic|20170115|1708|286
apnic|20170215|1734|288
apnic|20170315|1748|290
apnic|20170415|1754|290
apnic|20170515|1785|291
apnic|20170615|1825|299
apnic|20170715|1829|319
apnic|20170815|1843|320
apnic|20170915|1866|326
apnic|20171015|1866|327
apnic|20171115|1908|347
apnic|20171215|1929|351
apnic|20180115|1954|345
apnic|20180215|1996|354
apnic|20180315|2008|352
apnic|20180415|2028|367
apnic|20180515|2059|375
apnic|20180615|2093|385
apnic|20180715|2164|400
apnic|20180815|2197|399
apnic|20180915|2228|402
apnic|20181015|2256|402
apnic|20181115|2281|419
apnic|20181215|2332|431
apnic|20190115|2343|431
apnic|20190215|2360|441
apnic|20190315|2375|457
apnic|20190415|2411|467
apnic|20190515|2445|476
apnic|20190615|2464|475
apnic|20190715|2488|483
apnic|20190815|2503|493
apnic|20190915|2551|512
apnic|20191015|2567|518
apnic|20191115|2580|512
apnic|20191215|2607|515
apnic|20200115|2632|526
apnic|20200215|2652|530
apnic|20200315|2662|541
apnic|20200415|2712|559
apnic|20200515|2737|552
apnic|20200615|2757|555
apnic|20200715|2812|546
