# type|date|total_ases|use_selective
business|20140615|1392|143
business|20140715|1413|147
business|20140815|1444|146
business|20140915|1482|158
business|20141015|1509|160
business|20141115|1547|159
business|20141215|1567|165
business|20150115|1597|172
business|20150215|1612|172
business|20150315|1626|176
business|20150415|1647|173
business|20150515|1667|178
business|20150615|1710|187
business|20150715|1719|194
business|20150815|1736|195
business|20150915|1746|196
business|20151015|1770|199
business|20151115|1802|203
business|20151215|1832|203
business|20160115|1850|206
business|20160215|1880|214
business|20160315|1924|222
business|20160415|1936|229
business|20160515|1954|232
business|20160615|1966|231
business|20160715|1999|233
business|20160815|2015|236
business|20160915|2051|239
business|20161015|2073|244
business|20161115|2101|257
business|20161215|2123|256
business|20170115|2136|255
business|20170215|2172|262
business|20170315|2203|270
business|20170415|2220|270
business|20170515|2262|273
business|20170615|2300|278
business|20170715|2331|286
business|20170815|2361|296
business|20170915|2390|295
business|20171015|2406|289
business|20171115|2475|313
business|20171215|2486|321
business|20180115|2505|321
business|20180215|2538|327
business|20180315|2556|342
business|20180415|2582|346
business|20180515|2601|345
business|20180615|2646|353
business|20180715|2693|360
business|20180815|2710|353
business|20180915|2743|350
business|20181015|2768|361
business|20181115|2784|374
business|20181215|2842|392
business|20190115|2853|395
business|20190215|2889|405
business|20190315|2923|408
business|20190415|2944|410
business|20190515|2982|422
business|20190615|2995|419
business|20190715|3025|418
business|20190815|3040|428
business|20190915|3067|427
business|20191015|3106|431
business|20191115|3134|448
business|20191215|3171|448
business|20200115|3216|453
business|20200215|3252|454
business|20200315|3268|468
business|20200415|3309|481
business|20200515|3347|499
business|20200615|3377|499
business|20200715|3458|515
business|20200815|3463|527
business|20200915|3527|540
business|20201015|3540|523
business|20201115|3595|526
business|20201215|3647|538
business|20210115|3656|537
business|20210215|3740|555
business|20210315|3791|566
business|20210415|3807|573
business|20210515|3857|586
business|20210615|3938|623
business|20210715|3961|606
business|20210815|3990|620
business|20210915|4066|643
business|20211015|4096|635
business|20211115|4128|641
business|20211215|4210|653
business|20220115|4307|670
business|20220215|4359|688
business|20220315|4436|693
business|20220415|4474|686
business|20220515|4515|710
business|20220615|4572|722
business|20220715|4642|743
business|20220815|4712|765
business|20220915|4735|785
business|20221015|4748|775
business|20221115|4825|782
business|20221215|4876|784
business|20230115|4919|801
business|20230215|4995|825
business|20230315|5104|857
business|20230415|5119|838
business|20230515|5176|847
business|20230615|5212|833
business|20230715|5267|820
business|20230815|5352|867
business|20230915|5435|907
business|20231015|5469|879
business|20231115|5493|904
business|20231215|5535|915
business|20240115|5593|921
business|20240215|5674|952
business|20240315|5726|947
business|20240415|5825|974
business|20240515|5870|1006
business|20240615|5970|1035
education|20140615|561|69
education|20140715|557|69
education|20140815|562|67
education|20140915|566|64
education|20141015|570|67
education|20141115|571|72
education|20141215|579|71
education|20150115|579|74
education|20150215|578|78
education|20150315|583|78
education|20150415|586|80
education|20150515|594|80
education|20150615|602|85
education|20150715|600|89
education|20150815|609|89
education|20150915|610|90
education|20151015|614|88
education|20151115|616|89
education|20151215|627|94
education|20160115|635|93
education|20160215|636|98
education|20160315|646|98
education|20160415|654|101
education|20160515|660|99
education|20160615|667|103
education|20160715|671|101
education|20160815|665|96
education|20160915|668|92
education|20161015|671|93
education|20161115|676|102
education|20161215|690|99
education|20170115|691|97
education|20170215|692|96
education|20170315|694|100
education|20170415|698|105
education|20170515|704|105
education|20170615|707|104
education|20170715|715|106
education|20170815|726|106
education|20170915|717|105
education|20171015|720|108
education|20171115|726|110
education|20171215|726|117
education|20180115|737|119
education|20180215|739|117
education|20180315|747|118
education|20180415|754|120
education|20180515|758|115
education|20180615|762|117
education|20180715|770|117
education|20180815|777|115
education|20180915|780|115
education|20181015|786|115
education|20181115|788|112
education|20181215|788|117
education|20190115|790|120
education|20190215|791|122
education|20190315|793|132
education|20190415|799|127
education|20190515|813|131
education|20190615|818|129
education|20190715|818|127
education|20190815|811|133
education|20190915|829|134
education|20191015|837|130
education|20191115|837|130
education|20191215|841|125
education|20200115|841|127
education|20200215|835|118
education|20200315|844|119
education|20200415|849|121
education|20200515|852|125
education|20200615|853|122
education|20200715|856|120
education|20200815|852|122
education|20200915|863|121
education|20201015|861|121
education|20201115|870|120
education|20201215|880|126
education|20210115|889|130
education|20210215|893|131
education|20210315|892|129
education|20210415|891|129
education|20210515|898|133
education|20210615|926|141
education|20210715|938|137
education|20210815|940|137
education|20210915|947|138
education|20211015|923|135
education|20211115|930|134
education|20211215|933|137
education|20220115|930|140
education|20220215|942|140
education|20220315|955|148
education|20220415|952|145
education|20220515|955|149
education|20220615|954|152
education|20220715|968|153
education|20220815|969|153
education|20220915|956|147
education|20221015|958|151
education|20221115|964|153
education|20221215|969|153
education|20230115|971|146
education|20230215|978|150
education|20230315|1005|144
education|20230415|1001|160
education|20230515|1001|161
education|20230615|1004|166
education|20230715|1002|163
education|20230815|1007|160
education|20230915|1018|163
education|20231015|1021|158
education|20231115|1021|162
education|20231215|1026|160
education|20240115|1037|156
education|20240215|1045|158
education|20240315|1040|159
education|20240415|1045|159
education|20240515|1045|159
education|20240615|1049|157
government|20140615|166|17
government|20140715|171|20
government|20140815|174|18
government|20140915|180|19
government|20141015|183|18
government|20141115|183|17
government|20141215|183|20
government|20150115|183|19
government|20150215|184|21
government|20150315|183|18
government|20150415|184|17
government|20150515|181|18
government|20150615|181|21
government|20150715|184|21
government|20150815|188|24
government|20150915|190|21
government|20151015|194|23
government|20151115|196|23
government|20151215|197|23
government|20160115|200|22
government|20160215|206|25
government|20160315|205|26
government|20160415|212|28
government|20160515|214|26
government|20160615|215|28
government|20160715|218|29
government|20160815|225|27
government|20160915|224|26
government|20161015|226|27
government|20161115|230|29
government|20161215|225|28
government|20170115|222|28
government|20170215|226|31
government|20170315|227|34
government|20170415|230|31
government|20170515|230|33
government|20170615|231|36
government|20170715|234|33
government|20170815|237|32
government|20170915|238|32
government|20171015|235|31
government|20171115|239|36
government|20171215|244|34
government|20180115|244|36
government|20180215|246|35
government|20180315|249|37
government|20180415|252|35
government|20180515|254|37
government|20180615|255|37
government|20180715|261|38
government|20180815|260|38
government|20180915|259|35
government|20181015|263|35
government|20181115|261|37
government|20181215|262|39
government|20190115|265|38
government|20190215|270|39
government|20190315|268|39
government|20190415|272|40
government|20190515|274|41
government|20190615|276|41
government|20190715|277|43
government|20190815|282|44
government|20190915|286|44
government|20191015|293|45
government|20191115|299|48
government|20191215|309|49
government|20200115|313|51
government|20200215|312|53
government|20200315|312|53
government|20200415|319|45
government|20200515|321|44
government|20200615|326|42
government|20200715|333|42
government|20200815|335|45
government|20200915|335|45
government|20201015|336|45
government|20201115|343|47
government|20201215|349|44
government|20210115|356|44
government|20210215|360|45
government|20210315|358|44
government|20210415|362|47
government|20210515|361|48
government|20210615|372|50
government|20210715|374|49
government|20210815|377|49
government|20210915|379|53
government|20211015|380|54
government|20211115|382|54
government|20211215|386|54
government|20220115|384|51
government|20220215|387|52
government|20220315|394|52
government|20220415|393|54
government|20220515|395|57
government|20220615|398|57
government|20220715|404|56
government|20220815|404|57
government|20220915|407|55
government|20221015|403|55
government|20221115|406|55
government|20221215|415|55
government|20230115|416|55
government|20230215|414|58
government|20230315|423|59
government|20230415|423|57
government|20230515|426|56
government|20230615|428|56
government|20230715|432|56
government|20230815|433|56
government|20230915|437|57
government|20231015|435|56
government|20231115|434|58
government|20231215|438|61
government|20240115|436|58
government|20240215|437|53
government|20240315|438|55
government|20240415|438|57
government|20240515|446|58
government|20240615|449|57
hosting|20140615|2262|413
hosting|20140715|2288|430
hosting|20140815|2315|439
hosting|20140915|2338|456
hosting|20141015|2369|452
hosting|20141115|2390|464
hosting|20141215|2413|466
hosting|20150115|2434|470
hosting|20150215|2474|479
hosting|20150315|2511|479
hosting|20150415|2534|483
hosting|20150515|2555|500
hosting|20150615|2597|516
hosting|20150715|2627|538
hosting|20150815|2641|537
hosting|20150915|2669|538
hosting|20151015|2718|559
hosting|20151115|2747|575
hosting|20151215|2776|584
hosting|20160115|2798|593
hosting|20160215|2839|621
hosting|20160315|2883|617
hosting|20160415|2930|619
hosting|20160515|2949|639
hosting|20160615|2983|652
hosting|20160715|3015|644
hosting|20160815|3055|664
hosting|20160915|3093|691
hosting|20161015|3131|718
hosting|20161115|3170|729
hosting|20161215|3203|746
hosting|20170115|3218|737
hosting|20170215|3261|751
hosting|20170315|3295|753
hosting|20170415|3340|756
hosting|20170515|3362|756
hosting|20170615|3382|777
hosting|20170715|3421|795
hosting|20170815|3441|790
hosting|20170915|3463|812
hosting|20171015|3488|811
hosting|20171115|3543|855
hosting|20171215|3583|846
hosting|20180115|3607|850
hosting|20180215|3636|867
hosting|20180315|3653|876
hosting|20180415|3700|899
hosting|20180515|3728|924
hosting|20180615|3772|932
hosting|20180715|3845|983
hosting|20180815|3856|969
hosting|20180915|3869|978
hosting|20181015|3882|981
hosting|20181115|3926|988
hosting|20181215|3972|1018
hosting|20190115|3978|1020
hosting|20190215|3987|1034
hosting|20190315|4024|1054
hosting|20190415|4042|1074
hosting|20190515|4106|1094
hosting|20190615|4152|1118
hosting|20190715|4192|1123
hosting|20190815|4205|1116
hosting|20190915|4254|1135
hosting|20191015|4294|1161
hosting|20191115|4333|1184
hosting|20191215|4365|1205
hosting|20200115|4401|1225
hosting|20200215|4442|1219
hosting|20200315|4464|1240
hosting|20200415|4520|1234
hosting|20200515|4555|1260
hosting|20200615|4551|1265
hosting|20200715|4641|1285
hosting|20200815|4672|1286
hosting|20200915|4722|1329
hosting|20201015|4749|1334
hosting|20201115|4791|1355
hosting|20201215|4829|1372
hosting|20210115|4862|1385
hosting|20210215|4910|1409
hosting|20210315|4937|1436
hosting|20210415|4998|1449
hosting|20210515|5045|1465
hosting|20210615|5095|1505
hosting|20210715|5100|1482
hosting|20210815|5134|1500
hosting|20210915|5194|1529
hosting|20211015|5224|1525
hosting|20211115|5261|1522
hosting|20211215|5291|1535
hosting|20220115|5321|1568
hosting|20220215|5368|1613
hosting|20220315|5416|1617
hosting|20220415|5421|1609
hosting|20220515|5457|1613
hosting|20220615|5486|1649
hosting|20220715|5549|1681
hosting|20220815|5612|1688
hosting|20220915|5620|1689
hosting|20221015|5636|1686
hosting|20221115|5695|1700
hosting|20221215|5737|1702
hosting|20230115|5765|1706
hosting|20230215|5798|1733
hosting|20230315|5876|1782
hosting|20230415|5927|1773
hosting|20230515|5980|1780
hosting|20230615|6010|1767
hosting|20230715|6058|1750
hosting|20230815|6133|1795
hosting|20230915|6204|1845
hosting|20231015|6192|1852
hosting|20231115|6243|1833
hosting|20231215|6294|1847
hosting|20240115|6365|1870
hosting|20240215|6449|1908
hosting|20240315|6520|1932
hosting|20240415|6603|1948
hosting|20240515|6673|1979
hosting|20240615|6717|1987
isp|20140615|2679|302
isp|20140715|2720|308
isp|20140815|2761|324
isp|20140915|2790|329
isp|20141015|2833|348
isp|20141115|2902|357
isp|20141215|2957|361
isp|20150115|2992|372
isp|20150215|3020|369
isp|20150315|3068|365
isp|20150415|3109|375
isp|20150515|3156|371
isp|20150615|3239|380
isp|20150715|3297|386
isp|20150815|3347|392
isp|20150915|3416|400
isp|20151015|3521|413
isp|20151115|3596|420
isp|20151215|3699|419
isp|20160115|3750|433
isp|20160215|3831|461
isp|20160315|3911|467
isp|20160415|3987|487
isp|20160515|4044|487
isp|20160615|4134|504
isp|20160715|4208|510
isp|20160815|4265|521
isp|20160915|4352|530
isp|20161015|4398|573
isp|20161115|4451|580
isp|20161215|4546|593
isp|20170115|4573|587
isp|20170215|4700|603
isp|20170315|4787|620
isp|20170415|4833|626
isp|20170515|4919|646
isp|20170615|4997|673
isp|20170715|5049|694
isp|20170815|5164|697
isp|20170915|5241|711
isp|20171015|5292|729
isp|20171115|5501|789
isp|20171215|5480|801
isp|20180115|5530|815
isp|20180215|5608|836
isp|20180315|5664|863
isp|20180415|5724|887
isp|20180515|5821|894
isp|20180615|5959|921
isp|20180715|6125|975
isp|20180815|6146|970
isp|20180915|6200|978
isp|20181015|6307|1020
isp|20181115|6382|1017
isp|20181215|6536|1076
isp|20190115|6598|1099
isp|20190215|6692|1107
isp|20190315|6741|1128
isp|20190415|6817|1122
isp|20190515|6946|1149
isp|20190615|7036|1193
isp|20190715|7183|1224
isp|20190815|7275|1253
isp|20190915|7377|1300
isp|20191015|7528|1342
isp|20191115|7597|1369
isp|20191215|7726|1411
isp|20200115|7857|1451
isp|20200215|7990|1473
isp|20200315|8126|1525
isp|20200415|8383|1527
isp|20200515|8579|1575
isp|20200615|8615|1635
isp|20200715|8901|1696
isp|20200815|8921|1678
isp|20200915|9211|1777
isp|20201015|9269|1786
isp|20201115|9386|1821
isp|20201215|9552|1843
isp|20210115|9698|1882
isp|20210215|9864|1910
isp|20210315|10027|1971
isp|20210415|10179|2015
isp|20210515|10321|2100
isp|20210615|10593|2231
isp|20210715|10536|2180
isp|20210815|10677|2239
isp|20210915|10853|2342
isp|20211015|10901|2379
isp|20211115|10975|2379
isp|20211215|11079|2414
isp|20220115|11144|2485
isp|20220215|11254|2542
isp|20220315|11398|2555
isp|20220415|11485|2566
isp|20220515|11543|2563
isp|20220615|11624|2625
isp|20220715|11758|2747
isp|20220815|11901|2764
isp|20220915|12033|2821
isp|20221015|12161|2843
isp|20221115|12313|2958
isp|20221215|12480|2978
isp|20230115|12595|3000
isp|20230215|12788|3098
isp|20230315|12999|3192
isp|20230415|13067|3200
isp|20230515|13167|3223
isp|20230615|13223|3205
isp|20230715|13315|3218
isp|20230815|13542|3336
isp|20230915|13778|3471
isp|20231015|13722|3378
isp|20231115|13771|3434
isp|20231215|13867|3462
isp|20240115|14003|3490
isp|20240215|14131|3490
isp|20240315|14226|3548
isp|20240415|14327|3577
isp|20240515|14451|3663
isp|20240615|14524|3674
none|20140615|1393|151
none|20140715|1387|143
none|20140815|1407|146
none|20140915|1411|148
none|20141015|1416|152
none|20141115|1433|150
none|20141215|1456|151
none|20150115|1468|147
none|20150215|1477|139
none|20150315|1491|149
none|20150415|1507|140
