#region|date|baixa|media|alta
afrinic|20140615|0|2|6
afrinic|20140715|0|3|6
afrinic|20140815|0|2|5
afrinic|20140915|0|3|6
afrinic|20141015|0|3|6
afrinic|20141115|0|4|5
afrinic|20141215|0|3|6
afrinic|20150115|0|3|7
afrinic|20150215|0|3|7
afrinic|20150315|0|2|7
afrinic|20150415|0|4|6
afrinic|20150515|0|4|6
afrinic|20150615|0|5|6
afrinic|20150715|1|4|7
afrinic|20150815|0|2|6
afrinic|20150915|0|4|5
afrinic|20151015|0|4|7
afrinic|20151115|1|3|8
afrinic|20151215|1|2|9
afrinic|20160115|1|1|7
afrinic|20160215|1|2|10
afrinic|20160315|1|3|11
afrinic|20160415|2|2|11
afrinic|20160515|1|3|11
afrinic|20160615|2|3|11
afrinic|20160715|2|3|12
afrinic|20160815|1|5|10
afrinic|20160915|3|3|8
afrinic|20161015|3|4|13
afrinic|20161115|3|4|15
afrinic|20161215|3|4|12
afrinic|20170115|3|2|13
afrinic|20170215|3|4|13
afrinic|20170315|4|5|13
afrinic|20170415|3|4|13
afrinic|20170515|6|4|16
afrinic|20170615|5|3|18
afrinic|20170715|5|2|18
afrinic|20170815|3|5|19
afrinic|20170915|4|7|20
afrinic|20171015|3|6|19
afrinic|20171115|6|8|16
afrinic|20171215|3|8|19
afrinic|20180115|4|8|18
afrinic|20180215|5|10|17
afrinic|20180315|6|10|23
afrinic|20180415|6|9|26
afrinic|20180515|6|8|25
afrinic|20180615|4|9|27
afrinic|20180715|3|13|24
afrinic|20180815|5|9|23
afrinic|20180915|6|10|24
afrinic|20181015|5|15|23
afrinic|20181115|4|18|20
afrinic|20181215|6|14|24
afrinic|20190115|5|17|25
afrinic|20190215|6|14|28
afrinic|20190315|7|16|24
afrinic|20190415|9|13|25
afrinic|20190515|9|13|25
afrinic|20190615|8|12|29
afrinic|20190715|7|14|30
afrinic|20190815|7|12|29
afrinic|20190915|6|15|25
afrinic|20191015|8|16|26
afrinic|20191115|9|17|28
afrinic|20191215|7|18|29
afrinic|20200115|8|20|28
afrinic|20200215|8|20|29
afrinic|20200315|12|14|27
afrinic|20200415|8|14|34
afrinic|20200515|6|17|35
afrinic|20200615|6|14|38
afrinic|20200715|6|18|36
afrinic|20200815|6|17|36
afrinic|20200915|8|16|36
afrinic|20201015|8|14|38
afrinic|20201115|8|17|34
afrinic|20201215|9|13|36
afrinic|20210115|12|15|40
afrinic|20210215|11|21|37
afrinic|20210315|7|23|39
