#as_type|date|baixa|media|alta
business|20140615|23|61|59
business|20140715|24|66|57
business|20140815|22|64|60
business|20140915|22|65|71
business|20141015|23|69|68
business|20141115|24|71|64
business|20141215|24|72|69
business|20150115|25|75|72
business|20150215|28|74|70
business|20150315|31|77|68
business|20150415|32|72|69
business|20150515|32|77|69
business|20150615|31|78|78
business|20150715|29|84|81
business|20150815|30|83|82
business|20150915|34|79|83
business|20151015|36|75|88
business|20151115|35|86|82
business|20151215|39|80|84
business|20160115|38|90|78
business|20160215|40|94|80
business|20160315|43|96|83
business|20160415|45|96|88
business|20160515|47|103|82
business|20160615|48|102|81
business|20160715|47|102|84
business|20160815|49|98|89
business|20160915|48|104|87
business|20161015|49|106|89
business|20161115|55|106|96
business|20161215|54|111|91
business|20170115|58|110|87
business|20170215|62|110|90
business|20170315|62|115|93
business|20170415|59|111|100
business|20170515|62|113|98
business|20170615|64|117|97
business|20170715|65|123|98
business|20170815|67|132|97
business|20170915|72|128|95
business|20171015|69|125|95
business|20171115|71|139|103
business|20171215|75|137|109
business|20180115|75|142|104
business|20180215|75|139|113
business|20180315|73|155|114
business|20180415|76|153|117
business|20180515|76|153|116
business|20180615|78|162|113
business|20180715|81|157|122
business|20180815|79|157|117
business|20180915|82|155|113
business|20181015|80|159|122
business|20181115|85|165|124
business|20181215|90|173|129
business|20190115|95|166|134
business|20190215|94|175|136
business|20190315|91|172|145
business|20190415|94|170|146
business|20190515|91|174|157
business|20190615|93|176|150
business|20190715|91|177|150
business|20190815|90|182|156
business|20190915|93|175|159
business|20191015|88|184|159
business|20191115|94|189|165
business|20191215|91|187|170
business|20200115|91|192|170
business|20200215|96|197|161
business|20200315|97|197|174
business|20200415|96|209|176
business|20200515|96|217|186
business|20200615|88|218|193
business|20200715|102|215|198
business|20200815|105|222|200
business|20200915|108|230|202
business|20201015|108|211|204
business|20201115|110|215|201
business|20201215|110|211|217
business|20210115|117|201|219
business|20210215|120|206|229
business|20210315|116|220|230
business|20210415|118|216|239
business|20210515|122|218|246
business|20210615|127|246|250
business|20210715|118|249|239
business|20210815|126|254|240
business|20210915|136|261|246
business|20211015|135|253|247
business|20211115|137|250|254
business|20211215|140|256|257
business|20220115|142|263|265
business|20220215|145|271|272
business|20220315|149|275|269
business|20220415|145|280|261
business|20220515|146|286|278
business|20220615|150|285|287
business|20220715|154|293|296
business|20220815|161|293|311
business|20220915|167|298|320
business|20221015|167|287|321
business|20221115|148|310|324
business|20221215|154|310|320
business|20230115|156|325|320
business|20230215|155|349|321
business|20230315|179|363|315
business|20230415|168|362|308
business|20230515|169|359|319
business|20230615|172|345|316
business|20230715|174|343|303
business|20230815|191|364|312
business|20230915|211|378|318
business|20231015|200|365|314
business|20231115|206|373|325
business|20231215|214|375|326
business|20240115|218|375|328
business|20240215|233|391|328
business|20240315|232|394|321
business|20240415|235|389|350
business|20240515|244|417|345
business|20240615|244|429|362
education|20140615|8|20|41
education|20140715|6|20|43
education|20140815|6|21|40
education|20140915|6|20|38
education|20141015|7|16|44
education|20141115|8|17|47
education|20141215|7|17|47
education|20150115|7|18|49
education|20150215|7|24|47
education|20150315|6|19|53
education|20150415|5|22|53
education|20150515|5|20|55
education|20150615|8|22|55
education|20150715|9|26|54
education|20150815|11|21|57
education|20150915|10|24|56
education|20151015|11|21|56
education|20151115|12|22|55
education|20151215|11|25|58
education|20160115|12|25|56
education|20160215|13|23|62
education|20160315|14|24|60
education|20160415|12|24|65
education|20160515|10|24|65
education|20160615|11|25|67
education|20160715|11|26|64
education|20160815|9|28|59
education|20160915|9|28|55
education|20161015|8|25|60
education|20161115|8|30|64
education|20161215|10|30|59
education|20170115|11|26|60
education|20170215|9|27|60
education|20170315|9|29|62
education|20170415|11|29|65
education|20170515|12|32|61
education|20170615|10|32|62
education|20170715|10|35|61
education|20170815|8|36|62
education|20170915|8|36|61
education|20171015|11|34|63
education|20171115|14|29|67
education|20171215|14|31|72
education|20180115|18|31|70
education|20180215|15|34|68
education|20180315|17|29|72
education|20180415|14|30|76
education|20180515|15|30|70
education|20180615|15|31|71
education|20180715|12|33|72
education|20180815|12|31|72
education|20180915|12|32|71
education|20181015|14|30|71
education|20181115|12|31|69
education|20181215|12|37|68
education|20190115|9|36|75
education|20190215|9|41|72
education|20190315|12|41|79
education|20190415|13|39|75
education|20190515|15|38|78
education|20190615|14|42|73
education|20190715|13|43|71
education|20190815|13|43|77
education|20190915|16|45|73
education|20191015|14|45|71
education|20191115|17|41|72
education|20191215|15|42|68
education|20200115|15|45|67
education|20200215|15|38|65
education|20200315|17|32|70
education|20200415|15|37|69
education|20200515|17|38|70
education|20200615|17|41|64
education|20200715|16|37|67
education|20200815|15|38|69
education|20200915|20|36|65
education|20201015|17|40|64
education|20201115|18|42|60
education|20201215|20|44|62
education|20210115|21|46|63
education|20210215|20|42|69
education|20210315|18|40|71
education|20210415|16|44|69
education|20210515|18|44|71
education|20210615|19|45|77
education|20210715|17|42|78
education|20210815|17|45|75
education|20210915|24|42|72
education|20211015|21|43|71
education|20211115|20|42|72
education|20211215|19|45|73
education|20220115|22|47|71
education|20220215|22|47|71
education|20220315|19|56|73
education|20220415|20|53|72
education|20220515|21|53|75
education|20220615|19|53|80
education|20220715|19|56|78
education|20220815|17|57|79
education|20220915|20|49|78
education|20221015|20|52|79
education|20221115|20|53|80
education|20221215|19|55|79
education|20230115|18|55|73
education|20230215|22|52|76
education|20230315|24|48|72
education|20230415|20|60|80
education|20230515|20|59|82
education|20230615|21|60|85
education|20230715|19|63|81
education|20230815|19|64|77
education|20230915|18|66|79
education|20231015|19|61|78
education|20231115|18|65|79
education|20231215|21|58|81
education|20240115|23|58|75
education|20240215|22|60|76
education|20240315|22|59|78
education|20240415|22|61|76
education|20240515|26|56|77
education|20240615|25|52|80
government|20140615|2|7|8
government|20140715|2|7|11
government|20140815|1|7|10
government|20140915|1|8|10
government|20141015|2|8|8
government|20141115|1|9|7
government|20141215|0|9|11
government|20150115|0|9|10
government|20150215|0|9|12
government|20150315|0|7|11
government|20150415|0|10|7
government|20150515|0|10|8
