region|date|from1to24|from25to49|from50to74|from75to100
afrinic|20140615|0|2|2|4
afrinic|20140715|0|2|3|4
afrinic|20140815|0|2|3|2
afrinic|20140915|0|1|5|3
afrinic|20141015|0|2|4|3
afrinic|20141115|0|1|4|4
afrinic|20141215|2|0|3|4
afrinic|20150115|2|0|5|3
afrinic|20150215|2|0|5|3
afrinic|20150315|2|0|4|3
afrinic|20150415|2|0|3|5
afrinic|20150515|1|0|3|6
afrinic|20150615|1|0|4|6
afrinic|20150715|2|0|3|7
afrinic|20150815|1|1|3|3
afrinic|20150915|1|0|2|6
afrinic|20151015|1|0|3|7
afrinic|20151115|1|0|5|6
afrinic|20151215|1|1|5|5
afrinic|20160115|1|0|3|5
afrinic|20160215|1|1|5|6
afrinic|20160315|1|1|6|7
afrinic|20160415|1|1|6|7
afrinic|20160515|0|2|7|6
afrinic|20160615|0|2|6|8
afrinic|20160715|0|2|5|10
afrinic|20160815|1|0|5|10
afrinic|20160915|1|0|4|9
afrinic|20161015|1|1|7|11
afrinic|20161115|1|2|7|12
afrinic|20161215|0|3|7|9
afrinic|20170115|0|3|7|8
afrinic|20170215|0|2|5|13
afrinic|20170315|0|2|6|14
afrinic|20170415|0|2|6|12
afrinic|20170515|0|3|8|15
afrinic|20170615|0|4|6|16
afrinic|20170715|0|5|6|14
afrinic|20170815|0|6|5|16
afrinic|20170915|0|6|8|17
afrinic|20171015|0|6|6|16
afrinic|20171115|0|5|4|21
afrinic|20171215|1|6|9|14
afrinic|20180115|1|5|6|18
afrinic|20180215|0|6|6|20
afrinic|20180315|1|5|11|22
afrinic|20180415|1|5|15|20
afrinic|20180515|0|6|11|22
afrinic|20180615|0|8|11|21
afrinic|20180715|0|6|12|22
afrinic|20180815|2|4|8|23
afrinic|20180915|2|5|9|24
afrinic|20181015|1|5|12|25
afrinic|20181115|1|6|10|25
afrinic|20181215|1|7|11|25
afrinic|20190115|1|10|13|23
afrinic|20190215|0|8|14|26
afrinic|20190315|1|6|16|24
afrinic|20190415|2|5|15|25
afrinic|20190515|1|5|14|27
afrinic|20190615|0|7|8|34
afrinic|20190715|0|6|12|33
afrinic|20190815|0|6|12|30
afrinic|20190915|0|4|7|35
afrinic|20191015|0|5|8|37
afrinic|20191115|1|5|9|39
afrinic|20191215|1|6|9|38
afrinic|20200115|1|3|8|44
afrinic|20200215|1|5|9|42
afrinic|20200315|2|6|8|37
afrinic|20200415|1|4|9|42
afrinic|20200515|0|8|9|41
afrinic|20200615|1|7|7|43
afrinic|20200715|0|8|13|39
afrinic|20200815|2|8|12|37
afrinic|20200915|2|8|12|38
afrinic|20201015|0|9|8|43
afrinic|20201115|1|6|9|43
afrinic|20201215|1|5|12|40
afrinic|20210115|1|7|13|46
afrinic|20210215|0|8|17|44
afrinic|20210315|2|7|18|42
afrinic|20210415|3|8|16|45
afrinic|20210515|3|7|19|44
afrinic|20210615|2|8|18|50
afrinic|20210715|2|9|19|52
afrinic|20210815|2|7|19|54
afrinic|20210915|2|6|19|54
afrinic|20211015|2|7|21|53
afrinic|20211115|3|8|19|54
afrinic|20211215|2|7|17|61
afrinic|20220115|2|6|22|60
afrinic|20220215|2|8|15|67
afrinic|20220315|2|7|12|61
afrinic|20220415|2|4|15|69
afrinic|20220515|2|8|14|57
afrinic|20220615|1|9|21|60
afrinic|20220715|1|5|25|62
afrinic|20220815|1|6|22|69
afrinic|20220915|0|5|31|63
afrinic|20221015|0|6|32|61
afrinic|20221115|0|5|29|65
afrinic|20221215|0|4|31|64
afrinic|20230115|1|5|27|65
afrinic|20230215|0|8|23|66
afrinic|20230315|1|5|27|65
afrinic|20230415|2|7|22|58
afrinic|20230515|3|7|23|63
afrinic|20230615|5|6|23|61
afrinic|20230715|3|7|24|65
afrinic|20230815|4|8|24|63
afrinic|20230915|2|10|22|65
afrinic|20231015|2|7|23|69
afrinic|20231115|4|9|21|72
afrinic|20231215|4|9|20|72
afrinic|20240115|3|9|22|72
afrinic|20240215|2|10|22|75
afrinic|20240315|3|9|22|69
afrinic|20240415|5|11|21|73
afrinic|20240515|5|12|12|81
afrinic|20240615|5|11|16|81
apnic|20140615|6|10|39|112
apnic|20140715|7|13|41|105
apnic|20140815|7|15|38|109
apnic|20140915|7|14|48|104
apnic|20141015|8|9|50|109
apnic|20141115|6|13|47|110
apnic|20141215|7|14|50|111
apnic|20150115|6|14|50|112
apnic|20150215|7|11|51|114
apnic|20150315|6|14|48|110
apnic|20150415|7|14|49|116
apnic|20150515|8|11|57|116
apnic|20150615|13|14|52|113
apnic|20150715|11|15|54|127
apnic|20150815|9|12|57|123
apnic|20150915|14|14|58|126
apnic|20151015|16|16|66|130
apnic|20151115|13|16|73|133
apnic|20151215|11|22|63|135
apnic|20160115|12|22|70|134
apnic|20160215|16|15|69|141
apnic|20160315|11|16|63|159
apnic|20160415|13|15|71|161
apnic|20160515|12|17|67|159
apnic|20160615|15|18|65|168
apnic|20160715|14|17|68|169
apnic|20160815|14|17|74|167
apnic|20160915|14|18|81|175
apnic|20161015|14|17|88|177
apnic|20161115|11|17|82|180
apnic|20161215|16|15|76|193
apnic|20170115|11|16|68|191
apnic|20170215|12|15|66|195
apnic|20170315|12|18|74|186
apnic|20170415|9|18|72|191
apnic|20170515|11|19|73|188
apnic|20170615|11|18|75|195
apnic|20170715|11|22|72|214
apnic|20170815|14|25|70|211
apnic|20170915|15|19|64|228
apnic|20171015|9|21|64|233
apnic|20171115|12|22|73|240
apnic|20171215|11|29|82|229
apnic|20180115|13|28|79|225
apnic|20180215|15|26|81|232
apnic|20180315|11|26|80|235
apnic|20180415|15|26|82|244
apnic|20180515|13|28|89|245
apnic|20180615|15|25|96|249
apnic|20180715|16|24|91|269
apnic|20180815|16|24|90|269
apnic|20180915|19|23|99|261
apnic|20181015|19|24|101|258
apnic|20181115|17|28|101|273
apnic|20181215|12|26|103|290
apnic|20190115|12|25|102|291
apnic|20190215|13|23|102|303
apnic|20190315|12|20|119|306
apnic|20190415|12|21|131|302
apnic|20190515|12|19|138|307
apnic|20190615|13|21|132|309
apnic|20190715|13|23|124|323
apnic|20190815|18|25|118|332
apnic|20190915|17|27|121|347
apnic|20191015|13|29|117|359
apnic|20191115|12|32|113|355
apnic|20191215|18|33|110|354
apnic|20200115|19|27|120|360
apnic|20200215|20|25|110|375
apnic|20200315|24|27|114|376
apnic|20200415|21|38|125|375
apnic|20200515|14|34|114|390
apnic|20200615|17|33|107|398
apnic|20200715|18|33|102|393
apnic|20200815|21|29|115|376
apnic|20200915|17|31|118|389
apnic|20201015|17|25|119|392
apnic|20201115|19|29|127|398
apnic|20201215|19|32|119|398
apnic|20210115|17|32|112|397
apnic|20210215|20|32|112|404
apnic|20210315|22|35|110|410
apnic|20210415|24|35|115|419
apnic|20210515|24|40|126|423
apnic|20210615|27|37|136|460
apnic|20210715|23|35|124|460
apnic|20210815|24|42|130|491
apnic|20210915|21|41|136|509
apnic|20211015|23|45|138|491
apnic|20211115|21|39|130|503
apnic|20211215|24|44|132|505
apnic|20220115|25|45|133|519
apnic|20220215|22|48|137|523
apnic|20220315|30|45|143|536
apnic|20220415|38|45|137|528
apnic|20220515|27|43|142|535
apnic|20220615|26|46|149|545
apnic|20220715|28|42|145|575
apnic|20220815|30|41|139|573
apnic|20220915|33|44|129|576
apnic|20221015|37|48|136|574
apnic|20221115|34|44|155|587
apnic|20221215|30|44|144|575
apnic|20230115|34|48|146|584
apnic|20230215|34|41|137|624
apnic|20230315|39|46|149|622
apnic|20230415|35|47|150|620
apnic|20230515|32|45|150|624
apnic|20230615|40|45|142|625
apnic|20230715|40|48|142|619
apnic|20230815|49|47|152|651
apnic|20230915|47|58|148|661
apnic|20231015|49|64|141|664
apnic|20231115|41|57|148|660
apnic|20231215|46|59|152|643
apnic|20240115|47|60|156|664
apnic|20240215|42|63|143|670
apnic|20240315|45|64|156|678
apnic|20240415|46|71|150|684
apnic|20240515|52|68|146|700
apnic|20240615|40|75|151|695
arin|20140615|6|17|115|248
arin|20140715|7|19|110|256
arin|20140815|7|21|111|259
arin|20140915|9|21|108|266
arin|20141015|10|26|112|269
arin|20141115|9|27|110|279
arin|20141215|7|29|106|284
arin|20150115|8|25|120|289
arin|20150215|6|25|119|297
arin|20150315|8|25|117|303
arin|20150415|8|28|118|299
arin|20150515|10|29|118|302
arin|20150615|11|32|133|308
arin|20150715|15|31|133|316
arin|20150815|9|34|136|321
arin|20150915|12|31|130|323
arin|20151015|12|35|131|321
arin|20151115|12|36|135|325
arin|20151215|11|40|126|327
arin|20160115|10|39|127|331
arin|20160215|13|43|131|342
arin|20160315|13|36|143|340
arin|20160415|13|31|146|346
arin|20160515|11|31|151|348
arin|20160615|11|32|140|363
arin|20160715|9|30|144|358
arin|20160815|8|30|148|362
arin|20160915|12|37|154|353
arin|20161015|10|37|159|367
arin|20161115|8|41|171|383
arin|20161215|12|43|165|395
arin|20170115|15|39|164|393
arin|20170215|17|40|161|400
arin|20170315|16|31|165|411
arin|20170415|18|37|169|418
arin|20170515|17|38|167|421
arin|20170615|19|35|165|431
arin|20170715|15|37|167|447
arin|20170815|16|45|162|447
arin|20170915|17|38|152|457
arin|20171015|15|40|153|453
arin|20171115|10|51|168|461
arin|20171215|10|55|168|453
arin|20180115|10|56|177|459
arin|20180215|12|55|174|469
arin|20180315|14|55|183|472
arin|20180415|12|55|189|473
arin|20180515|11|50|197|476
arin|20180615|20|44|200|482
arin|20180715|22|52|208|489
arin|20180815|16|42|204|494
arin|20180915|15|44|206|494
arin|20181015|11|45|192|504
arin|20181115|11|43|193|505
arin|20181215|13|42|186|515
arin|20190115|13|44|189|516
arin|20190215|10|44|194|513
arin|20190315|12|47|187|533
arin|20190415|11|46|185|534
arin|20190515|13|49|196|542
arin|20190615|12|52|194|543
arin|20190715|12|57|185|536
arin|20190815|14|52|190|541
arin|20190915|11|42|192|554
arin|20191015|13|40|189|561
arin|20191115|13|42|183|564
arin|20191215|13|42|187|575
arin|20200115|13|44|182|579
arin|20200215|15|44|177|574
arin|20200315|16|41|192|582
arin|20200415|15|45|209|562
arin|20200515|18|54|203|568
arin|20200615|16|47|198|575
arin|20200715|18|44|199|590
arin|20200815|18|42|202|595
arin|20200915|14|41|205|622
arin|20201015|16|47|207|605
arin|20201115|15|44|205|617
arin|20201215|13|47|197|630
arin|20210115|16|49|194|622
arin|20210215|20|45|195|629
arin|20210315|22|45|206|627
arin|20210415|19|53|213|620
arin|20210515|21|44|220|630
arin|20210615|20|45|207|654
arin|20210715|17|41|217|640
arin|20210815|19|47|208|646
arin|20210915|22|48|217|645
arin|20211015|21|51|210|645
arin|20211115|27|52|211|645
arin|20211215|23|47|209|652
arin|20220115|19|50|215|653
arin|20220215|24|51|216|664
arin|20220315|18|53|229|655
arin|20220415|24|53|225|646
arin|20220515|23|56|217|659
arin|20220615|18|62|219|664
arin|20220715|22|65|220|674
arin|20220815|23|66|215|690
arin|20220915|23|64|217|685
arin|20221015|22|55|216|690
arin|20221115|21|60|218|685
arin|20221215|17|61|220|687
arin|20230115|21|64|218|687
arin|20230215|21|61|235|697
arin|20230315|18|70|229|713
arin|20230415|19|67|226|727
arin|20230515|19|72|219|730
arin|20230615|16|67|237|727
arin|20230715|15|66|225|721
arin|20230815|16|63|227|737
arin|20230915|18|68|226|758
arin|20231015|19|69|228|758
arin|20231115|22|67|224|746
arin|20231215|23|65|225|751
arin|20240115|21|62|230|747
arin|20240215|23|61|227|754
arin|20240315|23|70|225|756
arin|20240415|28|73|224|758
arin|20240515|30|67|213|795
arin|20240615|27|71|222|795
internet|20140615|29|79|331|656
internet|20140715|32|81|335|669
internet|20140815|33|82|350|675
internet|20140915|32|91|370|681
internet|20141015|35|86|380|696
internet|20141115|35|92|374|718
internet|20141215|37|92|364|741
internet|20150115|35|93|375|751
internet|20150215|32|89|379|758
internet|20150315|34|94|366|771
internet|20150415|37|94|366|771
internet|20150515|34|95|379|784
internet|20150615|44|108|398|799
internet|20150715|48|111|396|839
internet|20150815|39|113|413|832
internet|20150915|53|121|405|834
internet|20151015|58|123|416|853
internet|20151115|60|124|432|865
internet|20151215|54|132|414|895
internet|20160115|55|142|411|915
internet|20160215|63|131|437|971
internet|20160315|56|124|439|1001
internet|20160415|59|132|450|1013
internet|20160515|60|130|469|1026
internet|20160615|58|137|452|1079
internet|20160715|54|135|451|1075
internet|20160815|54|113|479|1096
internet|20160915|69|119|495|1098
internet|20161015|59|136|518|1145
internet|20161115|51|143|524|1186
internet|20161215|59|135|511|1229
internet|20170115|59|131|514|1213
internet|20170215|68|137|510|1235
internet|20170315|64|135|540|1255
internet|20170415|66|148|526|1273
internet|20170515|65|154|536|1284
internet|20170615|72|148|556|1329
internet|20170715|67|160|547|1376
internet|20170815|69|170|529|1385
internet|20170915|65|171|506|1441
internet|20171015|64|172|519|1437
internet|20171115|65|195|559|1524
internet|20171215|75|200|582|1494
internet|20180115|76|201|574|1526
internet|20180215|75|205|587|1556
