as_type|date|from1to24|from25to49|from50to74|from75to100
business|20140615|2|8|51|82
business|20140715|1|10|50|86
business|20140815|2|11|46|87
business|20140915|1|9|59|89
business|20141015|2|11|56|91
business|20141115|1|13|47|98
business|20141215|1|12|54|98
business|20150115|1|12|56|103
business|20150215|1|14|52|105
business|20150315|1|12|55|108
business|20150415|1|11|51|110
business|20150515|1|14|49|114
business|20150615|3|16|54|114
business|20150715|3|18|58|115
business|20150815|4|18|55|118
business|20150915|4|19|57|116
business|20151015|6|18|54|121
business|20151115|4|18|55|126
business|20151215|4|17|56|126
business|20160115|3|16|53|134
business|20160215|3|14|52|145
business|20160315|3|15|56|148
business|20160415|4|14|57|154
business|20160515|2|12|63|155
business|20160615|2|13|57|159
business|20160715|3|13|59|158
business|20160815|3|13|64|156
business|20160915|4|14|65|156
business|20161015|4|14|65|161
business|20161115|5|12|70|170
business|20161215|5|10|70|171
business|20170115|5|9|68|173
business|20170215|6|12|67|177
business|20170315|4|10|77|179
business|20170415|5|12|82|171
business|20170515|2|13|83|175
business|20170615|2|11|77|188
business|20170715|2|15|80|189
business|20170815|1|13|82|200
business|20170915|2|15|74|204
business|20171015|2|16|74|197
business|20171115|3|17|82|211
business|20171215|4|18|92|207
business|20180115|3|17|89|212
business|20180215|3|19|84|221
business|20180315|3|21|88|230
business|20180415|4|22|89|231
business|20180515|3|20|95|227
business|20180615|5|15|95|238
business|20180715|5|18|107|230
business|20180815|5|17|94|237
business|20180915|6|15|98|231
business|20181015|6|13|101|241
business|20181115|5|9|108|252
business|20181215|6|13|106|267
business|20190115|4|16|111|264
business|20190215|6|16|112|271
business|20190315|6|14|109|279
business|20190415|6|12|117|275
business|20190515|5|20|118|279
business|20190615|8|19|113|279
business|20190715|7|19|113|279
business|20190815|5|20|113|290
business|20190915|7|18|114|288
business|20191015|8|22|108|293
business|20191115|9|29|111|299
business|20191215|8|31|106|303
business|20200115|8|28|108|309
business|20200215|6|29|103|316
business|20200315|7|25|107|329
business|20200415|7|25|118|331
business|20200515|6|30|124|339
business|20200615|7|29|125|338
business|20200715|6|29|128|352
business|20200815|7|29|135|356
business|20200915|8|26|132|374
business|20201015|7|29|129|358
business|20201115|8|26|130|362
business|20201215|13|35|130|360
business|20210115|12|33|132|360
business|20210215|15|33|137|370
business|20210315|11|30|144|381
business|20210415|10|29|155|379
